asset_id,cooperative,province,district,subdistrict,village,status,surveyor,latitude,longitude
71,KOPERASI DESA MERAH PUTIH NANGGUNG KECAMATAN NANGGUNG,JAWA BARAT,KAB. BOGOR,Nanggung,Nanggung,Terverifikasi,TNI,-6.608418,108.532955999999
2371,KOPERASI DESA MERAH PUTIH MALASARI KECAMATAN NANGGUNG,JAWA BARAT,KAB. BOGOR,Nanggung,Malasari,Terverifikasi,Agrinas,-6.67934166666666,106.521244999999
8304,KOPERASI DESA MERAH PUTIH BANTARKARET KECAMATAN NANGGUNG,JAWA BARAT,KAB. BOGOR,Nanggung,Bantarkaret,Terverifikasi,Agrinas,-6.6561564,106.573795
11719,KOPERASI DESA MERAH PUTIH CURUGBITUNG KECAMATAN NANGGUNG,JAWA BARAT,KAB. BOGOR,Nanggung,Curugbitung,Terverifikasi,Agrinas,-6.6358444,106.5351462
11950,KOPERASI DESA MERAH PUTIH BATU TULIS KECAMATAN NANGGUNG,JAWA BARAT,KAB. BOGOR,Nanggung,Batu Tulis,Terverifikasi,Agrinas,-6.5749067,106.5480543
12017,KOPERASI DESA MERAH PUTIH HAMBARO KECAMATAN NANGGUNG,JAWA BARAT,KAB. BOGOR,Nanggung,Hambaro,Terverifikasi,Agrinas,-6.5793865,106.5602381
14928,KOPERASI DESA MERAH PUTIH KALONGLIUD KECAMATAN NANGGUNG,JAWA BARAT,KAB. BOGOR,Nanggung,Kalongliud,Terverifikasi,Agrinas,-6.5781401,106.5482793
15421,KOPERASI DESA MERAH PUTIH PANGKALJAYA KECAMATAN NANGGUNG,JAWA BARAT,KAB. BOGOR,Nanggung,Pangkaljaya,Terverifikasi,Agrinas,-6.6079244,106.5456314
15479,KOPERASI DESA MERAH PUTIH PARAKANMUNCANG KECAMATAN NANGGUNG,JAWA BARAT,KAB. BOGOR,Nanggung,Parakanmuncang,Terverifikasi,Agrinas,-6.5624082,106.5475428
23610,KOPERASI DESA MERAH PUTIH SUKALUYU KECAMATAN NANGGUNG,JAWA BARAT,KAB. BOGOR,Nanggung,Sukaluyu,Terverifikasi,Agrinas,-6.5794133,106.5711233
23899,KOPERASI DESA MERAH PUTIH CISARUA KECAMATAN NANGGUNG,JAWA BARAT,KAB. BOGOR,Nanggung,Cisarua,Terverifikasi,Agrinas,-6.632913,106.545513999999
1091,KOPERASI DESA MERAH PUTIH PUTAT NUTUG KECAMATAN CISEENG,JAWA BARAT,KAB. BOGOR,Ciseeng,Putat Nutug,Sedang Diverifikasi,KOPERASI,-6.4612064,106.6664415
40289,KOPERASI DESA MERAH PUTIH BABAKAN KECAMATAN CISEENG,JAWA BARAT,KAB. BOGOR,Ciseeng,Babakan,Sedang Diverifikasi,KOPERASI,-6.4609972,106.6986251
45312,KOPERASI DESA MERAH PUTIH KURIPAN KECAMATAN CISEENG,JAWA BARAT,KAB. BOGOR,Ciseeng,Kuripan,Terverifikasi,Agrinas,-6.43153333333333,106.667118333333
78511,KOPERASI DESA MERAH PUTIH CIBENTANG KECAMATAN CISEENG,JAWA BARAT,KAB. BOGOR,Ciseeng,Cibentang,Tidak Ada Lahan,,,
78513,KOPERASI DESA MERAH PUTIH CIHOE KECAMATAN CISEENG,JAWA BARAT,KAB. BOGOR,Ciseeng,Cihowe,Tidak Ada Lahan,,,
78908,KOPERASI DESA MERAH PUTIH CIBEUTEUNG UDIK KECAMATAN CISEENG,JAWA BARAT,KAB. BOGOR,Ciseeng,Cibeuteung Udik,Tidak Ada Lahan,,null,null
79215,KOPERASI DESA MERAH PUTIH CISEENG KECAMATAN CISEENG,JAWA BARAT,KAB. BOGOR,Ciseeng,Ciseeng,Tidak Ada Lahan,,,
2370,KOPERASI DESA MERAH PUTIH KOLEANG KECAMATAN JASINGA,JAWA BARAT,KAB. BOGOR,Jasinga,Koleang,Sedang Diverifikasi,KOPERASI,-6.4662427,106.4489989
14058,KOPERASI DESA MERAH PUTIH PANGRADIN KECAMATAN JASINGA,JAWA BARAT,KAB. BOGOR,Jasinga,Pangradin,Terverifikasi,Agrinas,-6.509025,106.472998
14086,KOPERASI DESA MERAH PUTIH JUGALA JAYA KECAMATAN JASINGA,JAWA BARAT,KAB. BOGOR,Jasinga,Jugalajaya,Sedang Diverifikasi,KOPERASI,-6.486486486486487,106.46531858013404
14108,KOPERASI DESA MERAH PUTIH SETU KECAMATAN JASINGA,JAWA BARAT,KAB. BOGOR,Jasinga,Setu,Sedang Diverifikasi,BUSINESS ASSISTANCE,-6.5163478,106.4639618
