cooperative_id,name,province,district,subdistrict,latitude,longitude
84,KOPERASI DESA MERAH PUTIH SUMBERKOLAK,JAWA TIMUR,KAB. SITUBONDO,Panarukan,-6.20000000,106.80000000
5579,KOPERASI DESA MERAH PUTIH ALASMALANG KECAMATAN PANARUKAN,JAWA TIMUR,KAB. SITUBONDO,Panarukan,-7.68790078,113.99061950
6284,KOPERASI DESA MERAH PUTIH DUWET KECAMATAN PANARUKAN,JAWA TIMUR,KAB. SITUBONDO,Panarukan,-7.64925000,113.98451500
6712,KOPERASI DESA MERAH PUTIH KILENSARI,JAWA TIMUR,KAB. SITUBONDO,Panarukan,-7.70340700,113.94512500
12829,KOPERASI DESA MERAH PUTIH WRINGINANOM PANARUKAN,JAWA TIMUR,KAB. SITUBONDO,Panarukan,-7.69800869,113.96625500
13089,KOPERASI DESA MERAH PUTIH PELEYAN,JAWA TIMUR,KAB. SITUBONDO,Panarukan,-7.68114321,113.96557600
48177,KOPERASI DESA MERAH PUTIH GELUNG,JAWA TIMUR,KAB. SITUBONDO,Panarukan,-7.64501373,113.99969530
57894,KOPERASI DESA MERAH PUTIH PAOWAN,JAWA TIMUR,KAB. SITUBONDO,Panarukan,-7.71957720,113.96108980
94,KOPERASI DESA MERAH PUTIH CURAH COTTOK KECAMATAN KAPONGAN,JAWA TIMUR,KAB. SITUBONDO,Kapongan,-7.72182001,114.06360970
10016,KOPERASI DESA MERAH PUTIH KAPONGAN,JAWA TIMUR,KAB. SITUBONDO,Kapongan,-7.69394236,114.07124050
16895,KOPERASI DESA MERAH PUTIH GEBANGAN,JAWA TIMUR,KAB. SITUBONDO,Kapongan,-7.67860014,114.06024580
19092,KOPERASI DESA MERAH PUTIH POKAAN,JAWA TIMUR,KAB. SITUBONDO,Kapongan,-7.66429550,114.06042740
19873,KOPERASI DESA MERAH PUTIH PELEYAN KECAMATAN KAPONGAN,JAWA TIMUR,KAB. SITUBONDO,Kapongan,-7.71412201,114.07453190
25115,KOPERASI DESA MERAH PUTIH KESAMBIRAMPAK,JAWA TIMUR,KAB. SITUBONDO,Kapongan,-7.68924037,114.05745150
28722,KOPERASI DESA MERAH PUTIH KANDANG KECAMATAN KAPONGAN,JAWA TIMUR,KAB. SITUBONDO,Kapongan,-7.74239137,114.07794950
31638,KOPERASI DESA MERAH PUTIH SELETRENG,JAWA TIMUR,KAB. SITUBONDO,Kapongan,-7.71579442,114.10176370
40173,KOPERASI DESA MERAH PUTIH LANDANGAN,JAWA TIMUR,KAB. SITUBONDO,Kapongan,-7.68164193,114.07906560
40405,KOPERASI DESA MERAH PUTIH WONOKOYO KECAMATAN KAPONGAN,JAWA TIMUR,KAB. SITUBONDO,Kapongan,-7.71358950,114.08022810
523,KOPERASI DESA MERAH PUTIH KALIMAS KECAMATAN BESUKI,JAWA TIMUR,KAB. SITUBONDO,Besuki,-7.73847101,113.70063740
1588,KOPERASI DESA MERAH PUTIH DEMUNG,JAWA TIMUR,KAB. SITUBONDO,Besuki,-7.72569362,113.70682740
1746,KOPERASI DESA MERAH PUTIH WIDOROPAYUNG,JAWA TIMUR,KAB. SITUBONDO,Besuki,-7.77771503,113.71023840
3730,KOPERASI DESA MERAH PUTIH PESISIR KECAMATAN BESUKI,JAWA TIMUR,KAB. SITUBONDO,Besuki,-7.72743045,113.68701460
3771,KOPERASI DESA MERAH PUTIH BLIMBING KECAMATAN BESUKI,JAWA TIMUR,KAB. SITUBONDO,Besuki,-7.76196048,113.69722410
3886,KOPERASI DESA MERAH PUTIH JETIS KECAMATAN BESUKI,JAWA TIMUR,KAB. SITUBONDO,Besuki,-7.75764238,113.70904380
