metric,value
total_cooperatives,83404
total_legal_entity,83382
with_account,79709
with_npwp,80978
with_nib,60807
stats_updated_at,2026-08-05T08:20:09+07:00
landing_total_village,83762
landing_legal_entity_cooperative,83382
landing_simkopdes_cooperative,79816
landing_management_and_supervisor_cooperative,697800
landing_total_transaction,179554188112.00
landing_total_transaction_count,70633
landing_total_member_cooperative,1815199
landing_distinct_management_cooperative,439882
land_sedang_diverifikasi,389
land_terverifikasi,35859
land_lahan_diajukan,38099
land_lahan_yang_dipertimbangkan,1567
land_pengajuan_lahan_lp2b_lsd,85
land_pengajuan_lahan_15_20,199
land_lahan_diberikan_catatan,963
land_lahan_terverifikasi,35859
land_lahan_terverifikasi_belum_bangun,457
land_lahan_dalam_pembangunan,15849
land_lahan_selesai_pembangunan,19553
