province_id,province,rat_period,total_rat,total_done_rat,total_verified_rat,total_draft_rat,total_no_rat,build_upto_20,build_21_50,build_51_75,build_76_99,build_100,economic_total_volume,economic_total_value,updated_at
1,ACEH,2024,0,0,0,0,6534,131,190,354,518,623,59,510343085,2026-08-05T09:18:58+07:00
17,BALI,2024,0,0,0,0,718,10,7,12,27,81,1030,1327063562,2026-08-05T09:18:57+07:00
16,BANTEN,2024,0,0,0,0,1553,110,39,73,166,349,4936,7513811312,2026-08-05T09:18:57+07:00
7,BENGKULU,2024,0,0,0,0,1508,86,115,74,61,435,15,306708880,2026-08-05T09:18:57+07:00
14,DAERAH ISTIMEWA YOGYAKARTA,2024,0,0,0,0,438,77,9,17,27,61,227,1087498440,2026-08-05T09:18:56+07:00
11,DKI JAKARTA,2024,0,0,0,0,269,2,0,0,0,7,2151,4679971659,2026-08-05T09:13:28+07:00
29,GORONTALO,2024,0,0,0,0,731,20,42,26,41,123,355,66207250,2026-08-05T09:18:57+07:00
5,JAMBI,2024,0,0,0,0,1591,170,162,103,92,322,82,44408200,2026-08-05T09:18:57+07:00
12,JAWA BARAT,2024,0,0,0,0,5970,453,286,476,622,1629,3826,15944469949,2026-08-05T09:18:59+07:00
13,JAWA TENGAH,2024,0,0,0,0,8524,266,177,222,856,4772,12217,22128252291,2026-08-05T09:18:59+07:00
15,JAWA TIMUR,2024,0,0,0,0,8494,329,322,376,697,4826,30371,70334895385,2026-08-05T08:21:41+07:00
20,KALIMANTAN BARAT,2024,0,0,0,0,2156,38,64,109,117,367,1941,5354937095,2026-08-05T09:18:58+07:00
22,KALIMANTAN SELATAN,2024,0,0,0,0,2013,62,116,85,79,223,1395,1719659580,2026-08-05T08:59:15+07:00
21,KALIMANTAN TENGAH,2024,0,0,0,0,1543,76,128,107,77,96,265,4829024960,2026-08-05T09:18:58+07:00
23,KALIMANTAN TIMUR,2024,0,0,0,0,1037,30,64,78,93,238,369,2167682289,2026-08-05T09:18:58+07:00
24,KALIMANTAN UTARA,2024,0,0,0,0,411,21,37,21,14,31,60,1231127000,2026-08-05T09:18:58+07:00
9,KEPULAUAN BANGKA BELITUNG,2024,0,0,0,0,394,17,34,41,38,151,1,414000,2026-08-05T09:18:58+07:00
10,KEPULAUAN RIAU,2024,0,0,0,0,407,61,24,16,26,77,0,0,2026-08-05T09:18:58+07:00
8,LAMPUNG,2024,0,0,0,0,2651,85,145,180,299,816,1166,6752593880,2026-08-05T09:18:59+07:00
31,MALUKU,2024,0,0,0,0,1236,206,125,35,16,51,14,196965360,2026-08-05T09:18:58+07:00
32,MALUKU UTARA,2024,0,0,0,0,1191,64,45,16,16,13,4,29805000,2026-08-05T09:18:58+07:00
18,NUSA TENGGARA BARAT,2024,0,0,0,0,1172,112,158,78,67,132,466,378719879,2026-08-05T09:18:59+07:00
19,NUSA TENGGARA TIMUR,2024,0,0,0,0,3452,769,494,226,123,246,1489,6708340968,2026-08-05T09:19:00+07:00
33,PAPUA,2024,0,0,0,0,985,12,3,0,4,6,172,289785600,2026-08-05T09:18:59+07:00
34,PAPUA BARAT,2024,0,0,0,0,826,40,22,14,25,29,11,108326000,2026-08-05T09:18:59+07:00
38,PAPUA BARAT DAYA,2024,0,0,0,0,1024,6,2,3,6,2,0,0,2026-08-05T09:18:59+07:00
37,PAPUA PEGUNUNGAN,2024,0,0,0,0,2387,0,1,0,0,0,0,0,2026-08-05T09:18:59+07:00
35,PAPUA SELATAN,2024,0,0,0,0,640,12,4,4,9,3,0,0,2026-08-05T09:18:59+07:00
36,PAPUA TENGAH,2024,0,0,0,0,1200,10,0,1,5,1,0,0,2026-08-05T09:18:59+07:00
4,RIAU,2024,0,0,0,0,1866,74,194,213,174,435,107,89912000,2026-08-05T09:19:00+07:00
30,SULAWESI BARAT,2024,0,0,0,0,648,36,139,55,37,209,2696,81520868,2026-08-05T09:19:00+07:00
27,SULAWESI SELATAN,2024,0,0,0,0,3081,118,118,138,142,617,1096,1138175100,2026-08-05T09:19:01+07:00
26,SULAWESI TENGAH,2024,0,0,0,0,1983,166,268,86,64,189,17,155493760,2026-08-05T09:19:00+07:00
28,SULAWESI TENGGARA,2024,0,0,0,0,2273,134,235,130,88,270,34,25220100,2026-08-05T09:19:00+07:00
25,SULAWESI UTARA,2024,0,0,0,0,1839,23,88,65,42,57,90,232867000,2026-08-05T09:19:00+07:00
3,SUMATERA BARAT,2024,0,0,0,0,1270,52,44,22,62,142,1377,3508997860,2026-08-05T09:19:01+07:00
6,SUMATERA SELATAN,2024,0,0,0,0,3265,73,172,395,655,665,1632,10881391900,2026-08-05T09:19:01+07:00
2,SUMATERA UTARA,2024,0,0,0,0,6102,246,373,444,488,867,977,9733795900,2026-08-05T09:19:02+07:00
