province_id,province,product,volume,value
1,ACEH,Pupuk NPK Phonska,98021,180358640
1,ACEH,BERAS MEDIUM SPHP 5 KG,2922,171588000
1,ACEH,Pupuk Urea N 46%,81838,147308400
1,ACEH,PUPUK,20,5400000
1,ACEH,BARANG LAINNYA,1161,5210000
1,ACEH,MINYAK KITA REFILL 1L,24,420000
1,ACEH,GAS LPG 3 KG,2,42000
1,ACEH,PSM GULA PASIR 1KG,1,17500
17,BALI,BARANG LAINNYA,18426,412847919.81
17,BALI,Pupuk NPK Phonska,125091,230167440
17,BALI,Pupuk Urea N 46%,124377,223878600
17,BALI,BERAS MEDIUM SPHP 5 KG,3730,214604500
17,BALI,MINYAK KITA 1 LITER,5818,93274100.45
17,BALI,Pupuk NPK Formula Khusus,9800,25872000
17,BALI,GAS LPG 3 KG,1320,23761000
17,BALI,MINYAK KITA 1 LITER,934,14682201.45
17,BALI,BERAS,95,11260500
17,BALI,MINYAK KITA BOTOL 1L,600,9300000
16,BANTEN,MINYAK GORENG,451776,6556444800
16,BANTEN,BERAS SPHP,33250,365750000
16,BANTEN,BARANG LAINNYA,20143,334284167
16,BANTEN,GAS LPG 3 KG,4734,90246000
16,BANTEN,GULA DN,2765,47551900
16,BANTEN,BERAS,1971,34244700
16,BANTEN,RINSO ANTI NODA+MOLTO CLASSIC FRESH BAG 770GR,1251,33143000
16,BANTEN,BERAS MEDIUM SPHP 5 KG,198,11650000
16,BANTEN,MINYAK KITA 1L,624,9796800
16,BANTEN,KAPAL API KOPI SUSU 10+1X31G,55,3387000
7,BENGKULU,Pupuk NPK Phonska,97147,178750480
7,BENGKULU,Pupuk Urea N 46%,71088,127958400
14,DAERAH ISTIMEWA YOGYAKARTA,Pupuk NPK Phonska,319828,588483520
14,DAERAH ISTIMEWA YOGYAKARTA,Pupuk Urea N 46%,223339,402306600
14,DAERAH ISTIMEWA YOGYAKARTA,MINYAK GORENG,3030,43935000
14,DAERAH ISTIMEWA YOGYAKARTA,BERAS SPHP,2850,31350000
14,DAERAH ISTIMEWA YOGYAKARTA,Pupuk Organik Granul,15283,9781120
14,DAERAH ISTIMEWA YOGYAKARTA,BARANG LAINNYA,656,9075000
14,DAERAH ISTIMEWA YOGYAKARTA,BERAS,65,962000
14,DAERAH ISTIMEWA YOGYAKARTA,GULA DN,48,835200
14,DAERAH ISTIMEWA YOGYAKARTA,BERAS MEDIUM SPHP 5 KG,10,590000
14,DAERAH ISTIMEWA YOGYAKARTA,TEPUNG TERIGU,20,180000
11,DKI JAKARTA,MINYAK GORENG,203580,2951910000
11,DKI JAKARTA,BERAS SPHP,124500,1369500000
11,DKI JAKARTA,BARANG LAINNYA,22139,322978900
11,DKI JAKARTA,BERAS,617,13941500
11,DKI JAKARTA,GAS LPG 3 KG,867,13872000
11,DKI JAKARTA,BERAS MEDIUM SPHP 5 KG,124,7436000
11,DKI JAKARTA,GAS LPG 12 KG,1,210000
11,DKI JAKARTA,LE MINERAL 600ML,3,165000
11,DKI JAKARTA,ULTRA MILK UHT COKLAT 250ML,8,68000
11,DKI JAKARTA,MINYAK GORENG SAWIT MINYAKITA KARTON POUCH 2 LITER,1,37000
29,GORONTALO,BERAS,569,28085000
29,GORONTALO,BARANG LAINNYA,1574,24226750
29,GORONTALO,BERAS MEDIUM SPHP 5 KG,209,12262000
29,GORONTALO,PSM GULA PASIR 1KG,12,1084000
29,GORONTALO,MINYAK KITA REFILL 1L,35,549500
5,JAMBI,Pupuk NPK Phonska,7200,13248000
5,JAMBI,Pupuk Urea N 46%,7250,13050000
5,JAMBI,TELUR AYAM,170,9100000
5,JAMBI,BERAS,220,3385000
5,JAMBI,BARANG LAINNYA,426,3131000
5,JAMBI,PUPUK,5,1950000
5,JAMBI,BERAS MEDIUM SPHP 5 KG,4,236000
5,JAMBI,GAS LPG 3 KG,8,160000
5,JAMBI,MINYAK KITA REFILL 1L,8,126200
5,JAMBI,PSM GULA PASIR 1KG,2,36000
12,JAWA BARAT,BERAS SPHP,772800,8500800000
12,JAWA BARAT,MINYAK GORENG,257440,3746041800
12,JAWA BARAT,BARANG LAINNYA,27595,1551330866
12,JAWA BARAT,Pupuk Urea N 46%,434036,802592800
12,JAWA BARAT,Pupuk NPK Phonska,350392,651036480
12,JAWA BARAT,BERAS MEDIUM SPHP 5 KG,8286,329913503
12,JAWA BARAT,BERAS,10298,235661600
12,JAWA BARAT,GULA DN,3498,59599600
12,JAWA BARAT,TEPUNG TERIGU,2240,19144000
12,JAWA BARAT,MINYAK GORENG BANTAL POUCH MINYAK KITA 1L,448,16282000
13,JAWA TENGAH,MINYAK GORENG,556204,8214620600
13,JAWA TENGAH,BERAS SPHP,641485,7056335000
13,JAWA TENGAH,Pupuk NPK Phonska,1215330,2236207200
13,JAWA TENGAH,Pupuk Urea N 46%,1191045,2144626600
13,JAWA TENGAH,BARANG LAINNYA,17018,938242651
13,JAWA TENGAH,BERAS,55776,826788700
13,JAWA TENGAH,GULA DN,18659,316248100
13,JAWA TENGAH,GAS LPG 3 KG,10446,184935000
13,JAWA TENGAH,BERAS MEDIUM SPHP 5 KG,1885,112922500
13,JAWA TENGAH,Pupuk Organik Granul,61981,39667840
15,JAWA TIMUR,BERAS SPHP,3021250,33802686700
15,JAWA TIMUR,MINYAK GORENG,779324,11340500800
15,JAWA TIMUR,BARANG LAINNYA,341658,2469172104.6
15,JAWA TIMUR,Pupuk NPK Phonska,1171139,2154895760
15,JAWA TIMUR,Pupuk Urea N 46%,994197,1837456200
15,JAWA TIMUR,BERAS,54989,1375694967.34
15,JAWA TIMUR,BERAS MEDIUM SPHP 5 KG,21979,1118403950
15,JAWA TIMUR,SUNCO MINYAK GORENG POUCH 2L,11442,515596805.74
15,JAWA TIMUR,GULA DN,25335,406002200
15,JAWA TIMUR,GULA KTM 1KG,16222,285098230.87
20,KALIMANTAN BARAT,BERAS SPHP,346850,3919405000
20,KALIMANTAN BARAT,MINYAK GORENG,60132,892672200
20,KALIMANTAN BARAT,BERAS MEDIUM SPHP 5 KG,4079,151817000
20,KALIMANTAN BARAT,BERAS,9560,137107950
20,KALIMANTAN BARAT,BARANG LAINNYA,5824,91471700
20,KALIMANTAN BARAT,Pupuk NPK Phonska,42830,78807200
20,KALIMANTAN BARAT,Pupuk Urea N 46%,38005,68409000
20,KALIMANTAN BARAT,GULA DN,837,15244500
20,KALIMANTAN BARAT,TELUR AYAM,1,2500
20,KALIMANTAN BARAT,GAS LPG 3 KG,1,31
22,KALIMANTAN SELATAN,Pupuk NPK Phonska,516962,951210080
22,KALIMANTAN SELATAN,Pupuk Urea N 46%,314675,566415000
22,KALIMANTAN SELATAN,BARANG LAINNYA,6463,107281900
22,KALIMANTAN SELATAN,GAS LPG 3 KG,2094,42581000
22,KALIMANTAN SELATAN,MINYAK GORENG,2220,32190000
22,KALIMANTAN SELATAN,GULA DN,300,5100000
22,KALIMANTAN SELATAN,Pupuk Organik Granul,6850,4384000
22,KALIMANTAN SELATAN,BERAS,169,3700000
22,KALIMANTAN SELATAN,BERAS MEDIUM SPHP 5 KG,48,3120000
22,KALIMANTAN SELATAN,Pupuk NPK Formula Khusus,615,1623600
21,KALIMANTAN TENGAH,MINYAK GORENG,144567,2137348558.6
21,KALIMANTAN TENGAH,Pupuk NPK Phonska,880744,1620568960
21,KALIMANTAN TENGAH,Pupuk Urea N 46%,287683,517829400
21,KALIMANTAN TENGAH,BERAS SPHP,38350,433355000
21,KALIMANTAN TENGAH,BERAS,6075,93292500
21,KALIMANTAN TENGAH,Pupuk Organik Granul,28240,18073600
21,KALIMANTAN TENGAH,GAS LPG 3 KG,193,5755000
21,KALIMANTAN TENGAH,BERAS MEDIUM SPHP 5 KG,18,1170000
21,KALIMANTAN TENGAH,TELUR AYAM,14,852000
21,KALIMANTAN TENGAH,BARANG LAINNYA,47,771000
23,KALIMANTAN TIMUR,BERAS SPHP,132980,1502674000
23,KALIMANTAN TIMUR,MINYAK GORENG,22962,336725400
23,KALIMANTAN TIMUR,BERAS,7111,117009877
23,KALIMANTAN TIMUR,BERAS MEDIUM SPHP 5 KG,1677,95886000
23,KALIMANTAN TIMUR,Pupuk NPK Phonska,29400,54096000
23,KALIMANTAN TIMUR,Pupuk Urea N 46%,14250,25650000
23,KALIMANTAN TIMUR,GULA DN,830,14321000
23,KALIMANTAN TIMUR,TELUR AYAM,157,9717000
23,KALIMANTAN TIMUR,BARANG LAINNYA,321,9295512
23,KALIMANTAN TIMUR,TELUR 1 IKAT (6 RAK),21,1365000
24,KALIMANTAN UTARA,BARANG LAINNYA,8,921398000
24,KALIMANTAN UTARA,BERAS SPHP,20480,231424000
24,KALIMANTAN UTARA,MINYAK GORENG,4320,62640000
24,KALIMANTAN UTARA,BERAS,650,9850000
24,KALIMANTAN UTARA,GULA DN,350,5755000
24,KALIMANTAN UTARA,BERAS MEDIUM SPHP 5 KG,1,60000
9,KEPULAUAN BANGKA BELITUNG,Pupuk NPK Phonska,225,414000
8,LAMPUNG,Pupuk NPK Phonska,1968377,3621813680
8,LAMPUNG,Pupuk Urea N 46%,1606964,2892535200
8,LAMPUNG,Pupuk NPK Formula Khusus,28000,73920000
8,LAMPUNG,BARANG LAINNYA,19744,70842000
8,LAMPUNG,BERAS MEDIUM SPHP 5 KG,2686,55277000
8,LAMPUNG,GAS LPG 3 KG,1777,36525000
8,LAMPUNG,BERAS,128,1675000
8,LAMPUNG,2KELINCI KACANG GARING 145G(S),1,6000
31,MALUKU,Pupuk NPK Phonska,64404,118503360
31,MALUKU,Pupuk Urea N 46%,32950,59310000
31,MALUKU,Pupuk Organik Granul,29925,19152000
32,MALUKU UTARA,BARANG LAINNYA,900,29805000
18,NUSA TENGGARA BARAT,BARANG LAINNYA,21421,278065800
18,NUSA TENGGARA BARAT,BERAS,549,22792000
