province_id,province,district_id,district,cooperatives,accounts_count,npwp_count,nib_count,rat_count,transaction_volume,transaction_value,simpanan_pokok_amount,simpanan_pokok_members,simpanan_pokok_tx,simpanan_wajib_amount,simpanan_wajib_members,simpanan_wajib_tx,savings_total_amount
1,ACEH,5,KAB. ACEH BARAT,321,310,321,264,0,0,0,26100000,200,202,5045010,74,258,31145010
1,ACEH,12,KAB. ACEH BARAT DAYA,152,152,152,72,0,0,0,13000000,140,140,1325000,138,138,14325000
1,ACEH,6,KAB. ACEH BESAR,603,603,603,381,0,26679,48614080,50675000,927,927,19625000,541,1753,70300000
1,ACEH,14,KAB. ACEH JAYA,172,172,172,87,0,0,0,50000,1,1,0,0,0,50000
1,ACEH,1,KAB. ACEH SELATAN,261,261,261,242,0,0,0,7375000,134,134,640000,50,75,8015000
1,ACEH,8,KAB. ACEH SINGKIL,116,113,116,98,0,0,0,9000000,125,125,3580000,94,358,12580000
1,ACEH,16,KAB. ACEH TAMIANG,216,216,216,198,0,0,0,4950000,101,101,5980000,97,603,10930000
1,ACEH,4,KAB. ACEH TENGAH,298,284,298,248,0,0,0,9345000,167,167,1420000,124,184,10765000
1,ACEH,2,KAB. ACEH TENGGARA,386,379,386,102,0,850,2125000,5250000,63,63,340000,20,20,5590000
1,ACEH,3,KAB. ACEH TIMUR,521,506,517,364,0,20,5400000,11700000,234,234,3395030,160,344,15095030
1,ACEH,10,KAB. ACEH UTARA,852,834,852,570,0,3,53000,70057000,554,554,8055000,266,1194,78112000
1,ACEH,17,KAB. BENER MERIAH,233,221,233,107,0,0,0,5170000,116,116,10870000,95,1087,16040000
1,ACEH,11,KAB. BIREUEN,610,607,610,541,0,153180,279052960,21350000,208,208,4080000,142,700,25430000
1,ACEH,13,KAB. GAYO LUES,136,129,136,102,0,0,0,100000,1,1,0,0,0,100000
1,ACEH,15,KAB. NAGAN RAYA,222,214,222,149,0,0,0,3950000,58,58,1760000,48,150,5710000
1,ACEH,9,KAB. PIDIE,751,728,750,348,0,0,0,15322200,349,349,4935020,166,793,20257220
1,ACEH,18,KAB. PIDIE JAYA,222,222,222,196,0,0,0,50000,1,1,0,0,0,50000
1,ACEH,7,KAB. SIMEULUE,138,138,138,113,0,0,0,14975000,130,130,1220000,82,96,16195000
1,ACEH,19,KOTA BANDA ACEH,90,86,90,52,0,155,815045,16100000,183,183,4020000,144,322,20120000
1,ACEH,22,KOTA LANGSA,66,66,66,66,0,3102,174283000,21225000,419,419,5715000,268,537,26940000
1,ACEH,21,KOTA LHOKSEUMAWE,68,68,68,54,0,0,0,480000,20,20,825000,19,165,1305000
1,ACEH,20,KOTA SABANG,18,18,18,18,0,0,0,18200000,364,364,12505000,333,769,30705000
1,ACEH,23,KOTA SUBULUSSALAM,82,77,82,77,0,0,0,8330000,141,141,4160000,107,382,12490000
17,BALI,269,KAB. BADUNG,64,63,63,39,0,57941,106731500,27350000,124,124,3430000,98,191,30780000
17,BALI,272,KAB. BANGLI,72,72,72,37,0,0,0,201230000,1816,1816,51410000,1803,3806,252640000
17,BALI,274,KAB. BULELENG,148,148,147,96,0,437,7909000,84715000,1350,1351,42800000,1076,4497,127515000
17,BALI,270,KAB. GIANYAR,70,70,70,19,0,0,0,29820000,202,202,2070000,154,414,31890000
17,BALI,267,KAB. JEMBRANA,51,51,51,50,0,86500,165370000,15600000,312,312,3955000,101,731,19555000
17,BALI,273,KAB. KARANGASEM,78,78,78,50,0,0,0,137610000,583,583,24555000,392,1682,162165000
17,BALI,271,KAB. KLUNGKUNG,59,59,59,40,0,48,90000,15755000,228,228,14700000,223,1430,30455000
17,BALI,268,KAB. TABANAN,133,133,133,123,0,125542,576951040,124585000,1954,1954,71036000,1584,8867,195621000
17,BALI,275,KOTA DENPASAR,43,43,43,43,0,24233,470012022,309700000,1601,1601,107445000,1256,5722,417145000
16,BANTEN,260,KAB. LEBAK,345,344,344,306,0,29437,436488600,61880000,1664,1664,36830000,1394,3011,98710000
16,BANTEN,259,KAB. PANDEGLANG,339,336,339,216,0,7241,105566600,2146632700,2381,2381,71876320,2129,5387,2218509020
16,BANTEN,262,KAB. SERANG,326,320,326,284,0,138797,1991752100,58465000,2773,2823,32325000,1779,3967,90790000
16,BANTEN,261,KAB. TANGERANG,275,274,275,270,0,193096,2770099528,300700000,5524,5525,170670000,4332,9870,471370000
16,BANTEN,264,KOTA CILEGON,43,43,43,42,0,32661,473324900,21890000,266,267,10880000,230,506,32770000
16,BANTEN,265,KOTA SERANG,67,67,67,67,0,95080,1393435600,36315000,1119,1119,28695000,910,3010,65010000
16,BANTEN,263,KOTA TANGERANG,104,104,104,102,0,19891,307645000,30950000,382,382,39000000,302,1554,69950000
16,BANTEN,266,KOTA TANGERANG SELATAN,54,54,54,54,0,2144,35498984,23570000,398,398,14150000,329,806,37720000
7,BENGKULU,115,KAB. BENGKULU SELATAN,155,155,155,146,0,0,0,31155000,460,460,10260580,479,1210,41415580
7,BENGKULU,123,KAB. BENGKULU TENGAH,144,144,144,43,0,0,0,5400000,67,67,2525000,61,227,7925000
7,BENGKULU,117,KAB. BENGKULU UTARA,219,219,219,160,0,48900,89138000,3975000,44,44,1330000,38,38,5305000
7,BENGKULU,118,KAB. KAUR,196,194,196,113,0,0,0,5600000,112,112,3605000,105,481,9205000
7,BENGKULU,122,KAB. KEPAHIANG,117,117,116,88,0,0,0,800000,8,8,130000,2,13,930000
7,BENGKULU,121,KAB. LEBONG,104,103,104,45,0,0,0,10300000,195,195,9130000,101,573,19430000
7,BENGKULU,120,KAB. MUKOMUKO,150,150,149,105,0,119335,217570880,4750000,63,63,1410000,54,108,6160000
7,BENGKULU,116,KAB. REJANG LEBONG,156,156,156,66,0,0,0,27351400,199,199,2185705,135,248,29537105
7,BENGKULU,119,KAB. SELUMA,200,200,200,169,0,0,0,33005000,763,763,21565000,697,2904,54570000
7,BENGKULU,124,KOTA BENGKULU,67,67,67,67,0,0,0,24850000,297,297,5395000,171,481,30245000
14,DAERAH ISTIMEWA YOGYAKARTA,217,KAB. BANTUL,75,75,75,73,0,38330,86070380,207300000,2069,2069,63945000,1461,7106,271245000
