province_id,province,latitude,longitude,cooperatives,accounts_count,npwp_count,nib_count,rat_count,transaction_volume,transaction_value,simpanan_pokok_amount,simpanan_pokok_members,simpanan_pokok_tx,simpanan_wajib_amount,simpanan_wajib_members,simpanan_wajib_tx,savings_total_amount,health_score,health_status,health_total_cooperative,healthy_count,fairly_healthy_count,unhealthy_count,average_health_index
1,ACEH,4.695135,96.749397,6534,6404,6529,4449,4474,183989,510343085,332754200,4636,4638,99495060,2968,9928,432249260,30,unhealthy,2092,17,117,1958,53
17,BALI,-8.409518,115.188916,718,717,716,497,641,294635,1325639562,946365000,8170,8171,321401000,6687,27340,1267766000,30,unhealthy,411,14,50,347,55
16,BANTEN,-6.405817,106.060018,1553,1542,1553,1342,756,518337,7513657312,2680402700,14507,14559,404426320,11405,28111,3084829020,30,unhealthy,749,25,58,666,54
7,BENGKULU,-3.792845,102.260764,1508,1505,1506,1002,900,168235,306708880,147186400,2208,2208,57536285,1843,6283,204722685,30,unhealthy,467,2,5,460,52
14,DAERAH ISTIMEWA YOGYAKARTA,-7.875385,110.426209,438,438,438,403,398,565129,1087498440,397915000,4964,4970,152291000,3948,16847,550206000,30,unhealthy,285,14,45,226,56
11,DKI JAKARTA,-6.2088,106.8456,269,267,267,267,266,351853,4679971659,296250000,3432,3432,224835000,2266,8447,521085000,30,unhealthy,212,16,35,161,57
29,GORONTALO,0.699937,122.455093,731,729,731,637,431,2399,66207250,176865000,1906,1907,36115025,1057,2179,212980025,30,unhealthy,311,3,6,302,53
5,JAMBI,-1.618608,102.770125,1591,1573,1586,1059,812,15293,44408200,446206600,6335,6335,168495400,4482,14506,614702000,30,unhealthy,543,4,24,515,53
12,JAWA BARAT,-7.090911,107.668887,5970,5944,5964,5264,3492,1869824.8,15944469949,3575432085,73178,74367,2921489414,56456,177739,6496921499,30,unhealthy,2368,146,267,1955,55
13,JAWA TENGAH,-7.150975,110.140259,8524,8522,8523,8153,6831,3773264.2,22128252291,4376954650,55661,55712,1507247760,42598,145097,5884202410,30,unhealthy,5726,110,534,5082,55
15,JAWA TIMUR,-7.536064,112.238402,8494,8485,8494,7882,6366,8459770.68,70334895385,3207710700,47233,47259,1341722400,38581,129520,4549433100,30,unhealthy,4684,102,363,4219,55
20,KALIMANTAN BARAT,-0.278781,111.475285,2156,2143,2151,1406,646,508119,5354937095,296505050,4060,4060,109670020,3350,9045,406175070,30,unhealthy,276,9,4,263,52
22,KALIMANTAN SELATAN,-3.092642,115.283759,2013,2012,2013,1652,1651,850427,1719659580,2799396110,11155,11166,376439000,9044,39052,3175835110,30,unhealthy,892,18,17,857,54
21,KALIMANTAN TENGAH,-1.681488,113.382356,1543,1542,1543,741,465,1385931,4829024960,248695000,2518,2518,123905000,1752,8204,372600000,30,unhealthy,157,1,5,151,51
23,KALIMANTAN TIMUR,1.640629,116.419389,1037,1034,1036,707,564,209733,2167682289,344600000,3187,3187,178777000,2659,10155,523377000,30,unhealthy,376,6,16,354,53
24,KALIMANTAN UTARA,3.073121,116.041389,411,411,411,311,195,25809,1231127000,19020450,164,164,37880000,139,845,56900450,30,unhealthy,115,0,7,108,52
9,KEPULAUAN BANGKA BELITUNG,-2.741051,106.440587,394,393,393,385,324,225,414000,64430200,999,999,34455030,705,2518,98885230,30,unhealthy,176,4,4,168,54
10,KEPULAUAN RIAU,3.945651,108.142867,407,407,407,305,181,0,0,82500000,837,837,29520000,654,1634,112020000,30,unhealthy,80,1,6,73,53
8,LAMPUNG,-4.558584,105.400044,2651,2647,2651,2107,1791,3627677,6752593880,1146509400,12119,12123,367789701,8588,29307,1514299101,30,unhealthy,1340,17,69,1254,54
31,MALUKU,-3.238461,130.145273,1236,1235,1236,682,574,127279,196965360,53590000,519,519,19240000,401,1193,72830000,30,unhealthy,175,1,6,168,51
32,MALUKU UTARA,1.570999,127.808769,1191,1079,1187,616,280,900,29805000,117600000,751,751,74090000,611,2059,191690000,30,unhealthy,87,1,3,83,52
18,NUSA TENGGARA BARAT,-8.652933,117.361648,1172,1164,1170,985,892,31969,377909879,773190200,6790,6790,214212280,4207,12749,987402480,30,unhealthy,610,10,37,563,54
19,NUSA TENGGARA TIMUR,-8.657382,121.07937,3452,3422,3451,2219,2053,214579,6708340968,2030978493,14462,14714,286705930,9651,21691,2317684423,30,unhealthy,1470,23,58,1389,54
33,PAPUA,-4.269928,138.080353,985,870,881,256,373,107465,289785600,48970050,575,578,19645000,443,1232,68615050,30,unhealthy,134,7,2,125,52
34,PAPUA BARAT,-1.336106,133.174716,826,679,668,210,274,59406,108326000,9960000,207,207,3125000,154,225,13085000,30,unhealthy,231,7,5,219,51
38,PAPUA BARAT DAYA,-1,132,1024,697,956,209,218,0,0,16611000,250,250,5470000,151,203,22081000,30,unhealthy,118,1,1,116,52
37,PAPUA PEGUNUNGAN,-4.5,139,2387,712,954,134,145,0,0,140000,9,9,40000,8,8,180000,30,unhealthy,16,1,1,14,53
35,PAPUA SELATAN,-7.5,139,640,570,260,41,104,0,0,2240000,24,24,680000,36,54,2920000,30,unhealthy,37,1,1,35,50
36,PAPUA TENGAH,-4,136,1200,479,1041,143,277,0,0,11145000,155,155,3540000,66,123,14685000,30,unhealthy,51,3,3,45,52
4,RIAU,0.507068,101.543137,1866,1862,1864,1109,1064,39776,89912000,632527978,5851,5857,117410000,3906,11624,749937978,30,unhealthy,492,4,12,476,52
30,SULAWESI BARAT,-2.844048,119.232078,648,647,648,510,547,3629,81520868,186225000,2516,2517,52865060,1161,5019,239090060,30,unhealthy,275,3,8,264,53
27,SULAWESI SELATAN,-3.668799,119.974053,3081,3045,3074,2517,2241,446042,1138175100,775236115,6939,6941,282888965,4950,15064,1058125080,30,unhealthy,1109,33,55,1021,54
26,SULAWESI TENGAH,-1.430061,121.445618,1983,1971,1982,1284,1245,64696,155493760,351040000,4033,4034,54300860,2544,3908,405340860,30,unhealthy,383,4,4,375,53
28,SULAWESI TENGGARA,-4.14491,122.174605,2273,2267,2270,1556,1125,1055,25220100,623164050,4227,4227,165800080,3003,9137,788964130,30,unhealthy,539,9,20,510,53
25,SULAWESI UTARA,0.624693,123.975005,1839,1802,1838,1145,1160,24450,232867000,400900950,4281,4282,105615840,3169,8213,506516790,30,unhealthy,464,17,23,424,53
3,SUMATERA BARAT,-0.73994,100.808651,1270,1267,1270,1149,1256,611372,3508997860,499427100,6122,6122,200808000,4531,16052,700235100,30,unhealthy,793,13,37,743,55
6,SUMATERA SELATAN,-3.319437,104.914365,3265,3256,3262,2655,2433,1655800,10881391900,819828559,13123,13124,377108120,10255,25560,1196936679,30,unhealthy,1337,29,110,1198,54
2,SUMATERA UTARA,2.112108,99.13481,6102,5970,6054,4818,2729,940351,9733795900,518962975,7087,7089,173985400,4404,11858,692948375,30,unhealthy,1741,17,68,1656,52
