province_id,province,district_id,district,subdistrict_id,subdistrict,cooperatives,accounts_count,npwp_count,nib_count,rat_count,transaction_volume,transaction_value,simpanan_pokok_amount,simpanan_pokok_members,simpanan_pokok_tx,simpanan_wajib_amount,simpanan_wajib_members,simpanan_wajib_tx,savings_total_amount
1,ACEH,5,KAB. ACEH BARAT,76,Arongan Lambalek,27,27,27,23,0,0,0,5000000,25,25,100000,1,1,5100000
1,ACEH,5,KAB. ACEH BARAT,75,Bubon,17,17,17,17,0,0,0,7000000,68,70,160010,17,17,7160010
1,ACEH,5,KAB. ACEH BARAT,70,Johan Pahlawan,21,19,21,18,0,0,0,0,0,0,0,0,0,0
1,ACEH,5,KAB. ACEH BARAT,71,Kaway XVI,43,42,43,41,0,0,0,5100000,17,17,100000,5,5,5200000
1,ACEH,5,KAB. ACEH BARAT,78,Meureubo,26,26,26,25,0,0,0,5900000,59,59,4680000,50,234,10580000
1,ACEH,5,KAB. ACEH BARAT,77,Pante Ceureumen,25,25,25,24,0,0,0,0,0,0,0,0,0,0
1,ACEH,5,KAB. ACEH BARAT,81,Panton Reu,19,18,19,16,0,0,0,0,0,0,0,0,0,0
1,ACEH,5,KAB. ACEH BARAT,74,Samatiga,32,31,32,28,0,0,0,3100000,31,31,0,0,0,3100000
1,ACEH,5,KAB. ACEH BARAT,72,Sungai Mas,18,18,18,15,0,0,0,0,0,0,0,0,0,0
1,ACEH,5,KAB. ACEH BARAT,73,Woyla,43,40,43,30,0,0,0,0,0,0,0,0,0,0
1,ACEH,5,KAB. ACEH BARAT,79,Woyla Barat,24,23,24,18,0,0,0,0,0,0,0,0,0,0
1,ACEH,5,KAB. ACEH BARAT,80,Woyla Timur,26,24,26,9,0,0,0,0,0,0,5000,1,1,5000
1,ACEH,12,KAB. ACEH BARAT DAYA,193,Babah Rot,14,14,14,8,0,0,0,0,0,0,0,0,0,0
1,ACEH,12,KAB. ACEH BARAT DAYA,188,Blangpidie,20,20,20,15,0,0,0,0,0,0,0,0,0,0
1,ACEH,12,KAB. ACEH BARAT DAYA,195,Jeumpa,12,12,12,4,0,0,0,0,0,0,0,0,0,0
1,ACEH,12,KAB. ACEH BARAT DAYA,192,Kuala Batee,21,21,21,2,0,0,0,50000,1,1,0,0,0,50000
1,ACEH,12,KAB. ACEH BARAT DAYA,196,Lembah Sabil,14,14,14,3,0,0,0,10000000,100,100,1000000,100,100,11000000
1,ACEH,12,KAB. ACEH BARAT DAYA,190,Manggeng,18,18,18,10,0,0,0,2000000,20,20,180000,18,18,2180000
1,ACEH,12,KAB. ACEH BARAT DAYA,194,Setia,9,9,9,5,0,0,0,0,0,0,0,0,0,0
1,ACEH,12,KAB. ACEH BARAT DAYA,191,Susoh,29,29,29,16,0,0,0,950000,19,19,145000,20,20,1095000
1,ACEH,12,KAB. ACEH BARAT DAYA,189,Tangan-Tangan,15,15,15,9,0,0,0,0,0,0,0,0,0,0
1,ACEH,6,KAB. ACEH BESAR,91,Baitussalam,13,13,13,11,0,0,0,1700000,34,34,285000,18,57,1985000
1,ACEH,6,KAB. ACEH BESAR,124,Blang Bintang,26,26,26,10,0,0,0,1020000,22,22,615000,45,62,1635000
1,ACEH,6,KAB. ACEH BESAR,116,Darul Imarah,32,32,32,25,0,0,0,3200000,30,30,315000,30,57,3515000
1,ACEH,6,KAB. ACEH BESAR,122,Darul Kamal,14,14,14,13,0,0,0,3900000,78,78,1800000,64,360,5700000
1,ACEH,6,KAB. ACEH BESAR,88,Darussalam,29,29,29,15,0,0,0,200000,4,4,0,0,0,200000
1,ACEH,6,KAB. ACEH BESAR,84,Indrapuri,52,52,52,31,0,0,0,2550000,41,41,0,0,0,2550000
1,ACEH,6,KAB. ACEH BESAR,118,Ingin Jaya,50,50,50,40,0,0,0,450000,5,5,0,0,0,450000
1,ACEH,6,KAB. ACEH BESAR,90,Kota Jantho,13,13,13,12,0,0,0,0,0,0,0,0,0,0
1,ACEH,6,KAB. ACEH BESAR,123,Krueng Barona Jaya,12,12,12,11,0,0,0,0,0,0,0,0,0,0
1,ACEH,6,KAB. ACEH BESAR,87,Kuta Baro,47,47,47,15,0,0,0,10000,1,1,5000,1,1,15000
1,ACEH,6,KAB. ACEH BESAR,6641,Kuta Cot Glie,32,32,32,20,0,0,0,550000,11,11,230000,9,23,780000
1,ACEH,6,KAB. ACEH BESAR,120,Kuta Malaka,15,15,15,8,0,0,0,0,0,0,0,0,0,0
1,ACEH,6,KAB. ACEH BESAR,89,Lembah Seulawah,12,12,12,12,0,0,0,0,0,0,0,0,0,0
1,ACEH,6,KAB. ACEH BESAR,92,Leupung,6,6,6,5,0,0,0,20000,1,1,5000,1,1,25000
1,ACEH,6,KAB. ACEH BESAR,83,Lhoknga,28,28,28,17,0,0,0,8100000,135,135,2030000,29,203,10130000
1,ACEH,6,KAB. ACEH BESAR,82,Lhoong,28,28,28,20,0,26679,48614080,0,0,0,0,0,0,0
1,ACEH,6,KAB. ACEH BESAR,86,Mesjid Raya,13,13,13,8,0,0,0,0,0,0,0,0,0,0
1,ACEH,6,KAB. ACEH BESAR,114,Montasik,39,39,39,36,0,0,0,11025000,230,230,1640000,125,285,12665000
1,ACEH,6,KAB. ACEH BESAR,117,Peukan Bada,25,25,25,14,0,0,0,5650000,113,113,11320000,110,566,16970000
1,ACEH,6,KAB. ACEH BESAR,119,Pulo Aceh,17,17,17,6,0,0,0,0,0,0,0,0,0,0
1,ACEH,6,KAB. ACEH BESAR,85,Seulimeum,47,47,47,18,0,0,0,4300000,86,86,820000,81,82,5120000
1,ACEH,6,KAB. ACEH BESAR,121,Simpang Tiga,18,18,18,14,0,0,0,4000000,56,56,220000,22,22,4220000
1,ACEH,6,KAB. ACEH BESAR,115,Sukamakmur,35,35,35,20,0,0,0,4000000,80,80,340000,6,34,4340000
1,ACEH,14,KAB. ACEH JAYA,210,Darul Hikmah,19,19,19,1,0,0,0,0,0,0,0,0,0,0
1,ACEH,14,KAB. ACEH JAYA,209,Indra Jaya,14,14,14,8,0,0,0,0,0,0,0,0,0,0
1,ACEH,14,KAB. ACEH JAYA,208,Jaya,34,34,34,25,0,0,0,0,0,0,0,0,0,0
1,ACEH,14,KAB. ACEH JAYA,206,Krueng Sabee,17,17,17,12,0,0,0,50000,1,1,0,0,0,50000
1,ACEH,14,KAB. ACEH JAYA,6650,Panga,20,20,20,10,0,0,0,0,0,0,0,0,0,0
1,ACEH,14,KAB. ACEH JAYA,211,Pasie Raya,14,14,14,8,0,0,0,0,0,0,0,0,0,0
1,ACEH,14,KAB. ACEH JAYA,207,Sampoi Niet,19,19,19,5,0,0,0,0,0,0,0,0,0,0
1,ACEH,14,KAB. ACEH JAYA,6649,Setia Bakti,13,13,13,13,0,0,0,0,0,0,0,0,0,0
1,ACEH,14,KAB. ACEH JAYA,205,Teunom,22,22,22,5,0,0,0,0,0,0,0,0,0,0
1,ACEH,1,KAB. ACEH SELATAN,1,Bakongan,7,7,7,7,0,0,0,0,0,0,0,0,0,0
1,ACEH,1,KAB. ACEH SELATAN,15,Bakongan Timur,7,7,7,7,0,0,0,0,0,0,0,0,0,0
1,ACEH,1,KAB. ACEH SELATAN,3,Kluet Selatan,17,17,17,16,0,0,0,150000,2,2,40000,2,2,190000
1,ACEH,1,KAB. ACEH SELATAN,13,Kluet Tengah,13,13,13,13,0,0,0,0,0,0,0,0,0,0
1,ACEH,1,KAB. ACEH SELATAN,14,Kluet Timur,9,9,9,9,0,0,0,250000,5,5,10000,1,2,260000
1,ACEH,1,KAB. ACEH SELATAN,2,Kluet Utara,21,21,21,18,0,0,0,0,0,0,0,0,0,0
1,ACEH,1,KAB. ACEH SELATAN,17,Kota Bahagia,10,10,10,10,0,0,0,2800000,56,56,0,0,0,2800000
1,ACEH,1,KAB. ACEH SELATAN,4,Labuhanhaji,16,16,16,16,0,0,0,70000,2,2,0,0,0,70000
1,ACEH,1,KAB. ACEH SELATAN,12,Labuhanhaji Barat,15,15,15,15,0,0,0,85000,4,4,0,0,0,85000
1,ACEH,1,KAB. ACEH SELATAN,11,Labuhanhaji Timur,12,12,12,12,0,0,0,0,0,0,0,0,0,0
1,ACEH,1,KAB. ACEH SELATAN,5,Meukek,23,23,23,20,0,0,0,1220000,37,37,120000,24,24,1340000
1,ACEH,1,KAB. ACEH SELATAN,10,Pasie Raja,22,22,22,18,0,0,0,0,0,0,0,0,0,0
1,ACEH,1,KAB. ACEH SELATAN,6,Samadua,28,28,28,27,0,0,0,2800000,28,28,470000,23,47,3270000
1,ACEH,1,KAB. ACEH SELATAN,7,Sawang,15,15,15,15,0,0,0,0,0,0,0,0,0,0
1,ACEH,1,KAB. ACEH SELATAN,8,Tapaktuan,16,16,16,10,0,0,0,0,0,0,0,0,0,0
1,ACEH,1,KAB. ACEH SELATAN,9,Trumon,12,12,12,12,0,0,0,0,0,0,0,0,0,0
1,ACEH,1,KAB. ACEH SELATAN,18,Trumon Tengah,10,10,10,10,0,0,0,0,0,0,0,0,0,0
1,ACEH,1,KAB. ACEH SELATAN,16,Trumon Timur,8,8,8,7,0,0,0,0,0,0,0,0,0,0
