subdistrict_id,province,district,subdistrict,cooperatives,snapshot_tx_value,live_tx_value,snapshot_tx_volume,live_tx_volume,snapshot_savings,live_savings,tx_value_delta,savings_delta
3834,BANTEN,KOTA SERANG,Serang,12,340918700,353645000.0,21861.0,1841.0,42015000,42435000.0,12726300.0,420000.0
3183,JAWA TIMUR,KAB. MALANG,Tajinan,12,280428790,282200840.0,86458.0,1083.0,10690000,10690000.0,1772050.0,0.0
1670,LAMPUNG,KOTA BANDAR LAMPUNG,Telukbetung Timur,6,23186000,23826000.0,1157.0,192.0,21280000,23480000.0,640000.0,2200000.0
6919,NUSA TENGGARA TIMUR,KAB. TIMOR TENGAH SELATAN,Amanatun Selatan,13,0,0.0,0.0,0.0,18680000,18780000.0,0.0,100000.0
4026,NUSA TENGGARA TIMUR,KAB. KUPANG,Amarasi Barat,8,0,0.0,0.0,0.0,10980000,11410000.0,0.0,430000.0
3147,JAWA TIMUR,KAB. KEDIRI,Kandat,12,1053600,1053600.0,59.0,5.0,32560000,34870000.0,0.0,2310000.0
3766,BANTEN,KAB. TANGERANG,Rajeg,13,226696500,226696500.0,15439.0,331.0,39335000,39905000.0,0.0,570000.0
2087,JAWA BARAT,KAB. CIREBON,Sedong,11,60000,60000.0,2.0,2.0,24165000,24115000.0,0.0,-50000.0
1042,JAMBI,KAB. MUARO JAMBI,Jambi Luar Kota,21,0,0.0,0.0,0.0,18350000,18520000.0,0.0,170000.0
1908,JAWA BARAT,KAB. CIANJUR,Haurwangi,8,173648000,173648000.0,8332.0,62.0,39875000,39995000.0,0.0,120000.0
