village_id,province_t0,district_t0,subdistrict_t0,village_t0,transaction_value_t0,transaction_value_t1,savings_total_amount_t0,savings_total_amount_t1,transaction_delta
37723,JAWA TIMUR,KAB. SIDOARJO,Sedati,Pranti,365954200,412096200,0,0,46142000
37626,JAWA TIMUR,KAB. SIDOARJO,Balongbendo,Bakalanwringinpitu,1085165500,1128984500,40900000,40900000,43819000
72410,SUMATERA BARAT,KOTA PADANG,Lubuk Begalung,Pegambiran Ampalu Nan XX,367646500,393819500,15270000,15270000,26173000
37707,JAWA TIMUR,KAB. SIDOARJO,Gedangan,Bangah,141188000,167036600,0,0,25848600
37651,JAWA TIMUR,KAB. SIDOARJO,Taman,Sadang,285266760,307862100,10560000,10590000,22595340
47080,NUSA TENGGARA TIMUR,KOTA KUPANG,Alak,Alak,63168000,78288000,5800000,5800000,15120000
42966,BANTEN,KOTA SERANG,Serang,Terondol,155647200,168373500,24465000,24875000,12726300
43135,BALI,KAB. TABANAN,Selemadeg Barat,Angkah,355885000,367397500,3160000,3160000,11512500
64525,PAPUA,KOTA JAYAPURA,Muara Tami,Koya Tengah,43125000,53014600,1950000,1950000,9889600
74742,DKI JAKARTA,KOTA ADM. JAKARTA PUSAT,Sawah Besar,Karang Anyar,178557900,183009500,41500000,41500000,4451600
42480,BANTEN,KAB. TANGERANG,Solear,Cikuya,131507134,134178379,49820000,50280000,2671245
44666,NUSA TENGGARA BARAT,KOTA MATARAM,Mataram,Pejanggik,31819379,34276379,3220000,3220000,2457000
33412,JAWA TENGAH,KOTA SEMARANG,Gunungpati,Sadeng,19307801,21611106,8150000,8150000,2303305
35571,JAWA TIMUR,KAB. MALANG,Tajinan,Jambearjo,141768910,143540960,8890000,8890000,1772050
30669,JAWA TENGAH,KAB. KUDUS,Jekulo,Jekulo,16632000,17982000,13200000,13200000,1350000
50518,KALIMANTAN SELATAN,KAB. KOTABARU,Pulau Laut Kepulauan,Teluk Kemuning,4480000,5540000,8345000,8345000,1060000
61753,SULAWESI BARAT,KAB. MAMUJU TENGAH,Topoyo,Salupangkang,33396368,34240160,16700000,16700000,843792
33380,JAWA TENGAH,KOTA SEMARANG,Tembalang,Meteseh,2112000,2868000,21360000,21360000,756000
70454,ACEH,KOTA LANGSA,Langsa Lama,Meurandeh Tengah,29500000,30240600,1020000,1020000,740600
18778,LAMPUNG,KOTA BANDAR LAMPUNG,Telukbetung Timur,Kota Karang,23120000,23760000,14600000,16800000,640000
37621,JAWA TIMUR,KAB. SIDOARJO,Balongbendo,Sumokembangsri,95671500,96246500,14940000,14940000,575000
30744,JAWA TENGAH,KAB. JEPARA,Welahan,Kedungsarimulyo,8100000,8550000,7460000,7660000,450000
25390,JAWA TENGAH,KAB. CILACAP,Nusawungu,Banjarsari,21186000,21636000,12400000,12400000,450000
26722,JAWA TENGAH,KAB. KEBUMEN,Kuwarasan,Kuwaru,7560000,7920000,20090000,20090000,360000
52684,KALIMANTAN TIMUR,KAB. KUTAI TIMUR,Kaubun,Bukit Permata,3576000,3885400,3205000,3205000,309400
69125,ACEH,KAB. ACEH BESAR,Lhoknga,Meunasah Mon Cut,0,204100,4660000,4660000,204100
42279,BANTEN,KAB. TANGERANG,Cisoka,Sukatani,30697188,30877188,4380000,4380000,180000
43705,BALI,KOTA DENPASAR,Denpasar Barat,Tegal Harum,434793767,434853767,151225000,262075000,60000
74885,DKI JAKARTA,KOTA ADM. JAKARTA SELATAN,Mampang Prapatan,Kuningan Barat,152125959,152181359,3600000,3600000,55400
26992,JAWA TENGAH,KAB. PURWOREJO,Kaligesing,Jelok,811500,850500,3325000,3325000,39000
42851,BANTEN,KOTA TANGERANG,Cipondoh,Poris Plawad Utara,38000,57000,27350000,29175000,19000
