province,villages,cooperatives,pct_tx_nonzero,pct_savings_nonzero,pct_account_nonzero,total_tx_value
DKI JAKARTA,267,268,17.23,19.85,100.0,4687059659
BANTEN,1548,1553,16.47,21.9,99.35,7534707907
JAWA TIMUR,8491,8494,8.66,17.82,99.89,70537349380
DAERAH ISTIMEWA YOGYAKARTA,438,438,7.08,31.28,100.0,1087498440
JAWA TENGAH,8519,8524,7.07,21.14,99.98,22137354588
BALI,716,718,5.59,21.37,100.0,3468041262
JAWA BARAT,5952,5970,5.24,22.63,99.7,15947199949
KALIMANTAN TIMUR,1037,1037,4.05,11.57,99.71,2167991689
NUSA TENGGARA BARAT,1164,1172,3.78,18.73,99.83,2859815454
SUMATERA BARAT,1255,1270,3.67,18.49,100.0,3535170860
SUMATERA SELATAN,3257,3265,2.79,12.65,99.91,10883491900
SULAWESI SELATAN,3057,3080,2.39,11.19,99.44,9693759870
SULAWESI TENGGARA,2263,2273,1.77,9.72,99.87,3859632800
KALIMANTAN BARAT,2143,2156,1.73,4.43,99.91,5354937095
LAMPUNG,2650,2651,1.51,14.0,99.85,6754111880
KALIMANTAN UTARA,410,411,1.46,3.41,100.0,1231127000
KALIMANTAN TENGAH,1542,1543,1.43,5.9,100.0,4910963960
SUMATERA UTARA,6093,6102,1.43,5.33,97.88,9733795900
SULAWESI BARAT,648,648,1.39,14.2,99.85,423238560
SULAWESI UTARA,1828,1839,1.37,9.08,98.19,779945000
NUSA TENGGARA TIMUR,3436,3452,1.25,16.24,99.42,9793401468
KALIMANTAN SELATAN,2012,2013,1.14,19.28,99.95,1721624580
JAMBI,1581,1591,0.7,15.75,99.24,44408200
GORONTALO,728,731,0.69,14.97,100.0,66207250
RIAU,1858,1866,0.65,12.22,99.89,89912000
SULAWESI TENGAH,1979,1983,0.61,7.43,99.44,254240760
PAPUA BARAT,822,826,0.49,2.8,82.48,176148000
MALUKU,1231,1236,0.41,2.76,100.0,1059941860
PAPUA,978,985,0.41,3.17,88.45,308585400
PAPUA BARAT DAYA,1010,1024,0.4,0.69,68.91,318585000
KEPULAUAN BANGKA BELITUNG,393,393,0.25,12.21,100.0,414000
ACEH,6484,6534,0.2,4.95,98.5,514347785
PAPUA SELATAN,637,638,0.16,0.47,89.32,99590000
BENGKULU,1497,1508,0.13,8.02,99.93,306708880
PAPUA TENGAH,1197,1202,0.08,0.75,39.93,208800000
MALUKU UTARA,1185,1191,0.08,2.36,90.89,29805000
PAPUA PEGUNUNGAN,2356,2387,0.04,0.08,30.22,23200000
KEPULAUAN RIAU,407,407,0.0,9.09,100.0,0
