province,cooperatives,far_from_road,pct_far
PAPUA SELATAN,628,448,71.34
PAPUA TENGAH,1200,777,64.75
PAPUA BARAT DAYA,1024,642,62.7
PAPUA PEGUNUNGAN,2366,1469,62.09
KALIMANTAN UTARA,411,237,57.66
PAPUA BARAT,826,466,56.42
MALUKU,1236,693,56.07
PAPUA,984,548,55.69
MALUKU UTARA,1191,648,54.41
KALIMANTAN TENGAH,1543,743,48.15
SULAWESI TENGAH,1983,812,40.95
KALIMANTAN TIMUR,1037,389,37.51
KALIMANTAN BARAT,2155,709,32.9
RIAU,1866,580,31.08
KEPULAUAN RIAU,407,123,30.22
SULAWESI TENGGARA,2273,675,29.7
JAMBI,1591,438,27.53
GORONTALO,731,158,21.61
SULAWESI UTARA,1839,391,21.26
SUMATERA SELATAN,3265,694,21.26
BENGKULU,1508,316,20.95
KEPULAUAN BANGKA BELITUNG,393,80,20.36
SULAWESI BARAT,648,128,19.75
KALIMANTAN SELATAN,2013,367,18.23
SUMATERA BARAT,1270,218,17.17
SUMATERA UTARA,6102,909,14.9
NUSA TENGGARA BARAT,1172,169,14.42
NUSA TENGGARA TIMUR,3452,482,13.96
ACEH,6534,786,12.03
SULAWESI SELATAN,3080,315,10.23
LAMPUNG,2651,210,7.92
BALI,718,18,2.51
BANTEN,1553,28,1.8
JAWA TIMUR,8494,148,1.74
JAWA BARAT,5968,100,1.68
DKI JAKARTA,268,3,1.12
JAWA TENGAH,8524,81,0.95
DAERAH ISTIMEWA YOGYAKARTA,438,0,0.0
