province,osm_minimarkets,kdmp,minimarkets_per_100_kdmp
DKI JAKARTA,977,268,364.55
BALI,844,718,117.55
DAERAH ISTIMEWA YOGYAKARTA,361,438,82.42
NUSA TENGGARA BARAT,407,1172,34.73
KEPULAUAN RIAU,125,407,30.71
BANTEN,421,1553,27.11
JAWA BARAT,1149,5968,19.25
SUMATERA BARAT,235,1270,18.5
KALIMANTAN TIMUR,124,1037,11.96
JAWA TIMUR,988,8494,11.63
RIAU,188,1866,10.08
KALIMANTAN SELATAN,176,2013,8.74
SULAWESI UTARA,150,1839,8.16
JAWA TENGAH,500,8524,5.87
SULAWESI SELATAN,167,3080,5.42
KEPULAUAN BANGKA BELITUNG,21,393,5.34
LAMPUNG,97,2651,3.66
SUMATERA UTARA,211,6102,3.46
MALUKU,42,1236,3.4
SUMATERA SELATAN,93,3265,2.85
KALIMANTAN BARAT,55,2155,2.55
PAPUA BARAT DAYA,24,1024,2.34
NUSA TENGGARA TIMUR,70,3452,2.03
KALIMANTAN TENGAH,30,1543,1.94
GORONTALO,13,731,1.78
JAMBI,19,1591,1.19
ACEH,60,6534,0.92
PAPUA BARAT,6,826,0.73
KALIMANTAN UTARA,3,411,0.73
PAPUA,7,984,0.71
SULAWESI TENGAH,14,1983,0.71
PAPUA SELATAN,4,628,0.64
PAPUA PEGUNUNGAN,13,2366,0.55
SULAWESI TENGGARA,10,2273,0.44
MALUKU UTARA,5,1191,0.42
BENGKULU,4,1508,0.27
SULAWESI BARAT,1,648,0.15
PAPUA TENGAH,0,1200,0.0
