cooperative_id,cooperative,province,district,subdistrict,latitude,longitude,in_cemetery,cemetery_name,cemetery_osm_id,cemetery_depth_m,dist_cemetery_m,in_farmland,farmland_name,farmland_osm_id,farmland_depth_m,dist_farmland_m,in_marketplace,marketplace_name,marketplace_osm_id,marketplace_depth_m,dist_marketplace_m,dist_village_m,dist_worship_m,farmland_polygon_km2,farmland_polygon_villages,farmland_polygon_coarse,dist_village_core_m,outside_village_core,land_status,land_surveyor,own_cell_pop,pop_within_1_4km,km_non_track,km_any_road,roadside,imagery_url,near_people,deep_in_field,landcover_code,landcover,confirmed_agricultural
46150,KOPERASI DESA MERAH PUTIH SYARIAH KAMPUNG GOSONG TELAGA BARAT,ACEH,KAB. ACEH SINGKIL,Singkil Utara,2.31434411,97.88007015,False,,-1,,38248.9,True,Kebun PT. Nafasindo,348242126,2563.8,0.0,False,,-1,,57920.1,3817.5,5632.1,43.202,0,False,3817.5,True,Terverifikasi,Agrinas,13.0,337.0,2.508,2.508,False,"https://www.google.com/maps/@2.31434411,97.88007015,250m/data=!3m1!1e3",True,True,30,Grassland,False
33897,KOPERASI DESA MERAH PUTIH KEMBIRI,KEPULAUAN BANGKA BELITUNG,KAB. BELITUNG,Membalong,-3.04215767,107.7761441,False,,-1,,32642.1,True,,182674290,1944.4,0.0,False,,-1,,15802.0,580.0,32994.7,125.532,1,False,580.0,False,Terverifikasi,Agrinas,12.0,2185.0,1.056,0.924,False,"https://www.google.com/maps/@-3.04215767,107.7761441,250m/data=!3m1!1e3",True,True,10,Tree cover,False
12735,KOPERASI DESA MERAH PUTIH LEREPAKO,SULAWESI TENGGARA,KAB. KONAWE SELATAN,Laeya,-4.31995793,122.4569905,False,,-1,,30255.0,True,,279769680,1288.2,0.0,False,,-1,,7110.7,2263.4,2301.2,11.225,0,False,2263.4,True,Tidak Ada Lahan,,0.0,9859.0,1.32,0.264,False,"https://www.google.com/maps/@-4.31995793,122.4569905,250m/data=!3m1!1e3",True,True,40,Cropland,True
81255,KOPERASI DESA MERAH PUTIH SUKA MAJU KECAMATAN MARGA SAKTI SEBELAT,BENGKULU,KAB. BENGKULU UTARA,Marga Sakti Sebelat,-3.06309582,101.7251261,False,,-1,,23562.1,True,PT Alno Agro Utama,1459173833,1187.3,0.0,False,,-1,,12020.7,10494.9,11164.3,61.34,0,False,10494.9,True,Sedang Diverifikasi,KOPERASI,0.0,860.0,,,False,"https://www.google.com/maps/@-3.06309582,101.7251261,250m/data=!3m1!1e3",True,True,10,Tree cover,False
83360,KOPERASI DESA MERAH PUTIH KARANGSEGAR PEBAYURAN,JAWA BARAT,KAB. BEKASI,Pebayuran,-6.12851889,107.2308381,False,,-1,,610.7,True,,548658269,1067.3,0.0,False,,-1,,7343.6,2435.7,855.3,28.381,0,False,855.3,True,Sedang Diverifikasi,KOPERASI,238.0,18604.0,0.0,0.0,True,"https://www.google.com/maps/@-6.12851889,107.2308381,250m/data=!3m1!1e3",True,True,40,Cropland,True
56355,KOPERASI DESA MERAH PUTIH CERUKCUK,BANTEN,KAB. SERANG,Tanara,-6.02730297,106.3417139,False,,-1,,2411.2,True,,533925816,1027.1,0.0,False,,-1,,15787.9,1542.8,484.3,28.444,1,False,484.3,False,Sedang Diverifikasi,KOPERASI,522.0,17286.0,0.0,0.0,True,"https://www.google.com/maps/@-6.02730297,106.3417139,250m/data=!3m1!1e3",True,True,40,Cropland,True
15894,KOPERASI DESA MERAH PUTIH SUKAKARYA KECAMATAN SUKAKARYA,JAWA BARAT,KAB. BEKASI,Sukakarya,-6.138787,107.176023,False,,-1,,658.2,True,,549605364,983.5,0.0,False,,-1,,3455.2,46.5,246.0,33.95,1,False,46.5,False,Perlu Verifikasi Lanjutan,Agrinas,1947.0,43689.0,0.0,0.0,True,"https://www.google.com/maps/@-6.138787,107.176023,250m/data=!3m1!1e3",True,True,50,Built-up,False
82093,KOPERASI DESA MERAH PUTIH BENA,NUSA TENGGARA TIMUR,KAB. TIMOR TENGAH SELATAN,Amanuban Selatan,-10.12249535,124.2426574,False,,-1,,4374.2,True,Sawah Panite,150451092,973.8,0.0,False,,-1,,6525.4,3223.3,2319.1,13.556,1,False,2319.1,True,Sedang Diverifikasi,KOPERASI,0.0,2596.0,0.792,0.0,True,"https://www.google.com/maps/@-10.12249535,124.2426574,250m/data=!3m1!1e3",True,True,40,Cropland,True
18886,KOPERASI DESA MERAH PUTIH TANJUNG PASAR,KALIMANTAN BARAT,KAB. KETAPANG,Muara Pawan,-1.81586443,110.0775902,False,,-1,,188108.1,True,,321138463,961.3,0.0,False,,-1,,197175.9,2799.3,2886.8,66.961,0,False,2799.3,True,,,0.0,236.0,0.528,0.528,False,"https://www.google.com/maps/@-1.81586443,110.0775902,250m/data=!3m1!1e3",True,True,30,Grassland,False
2225,KOPERASI DESA MERAH PUTIH RACIKULON KECAMATAN SIDAYU,JAWA TIMUR,KAB. GRESIK,Sidayu,-7.000512,112.541094,False,,-1,,4347.5,True,,1499791918,941.7,0.0,False,,-1,,2835.3,15.3,2722.8,20.917,1,False,15.3,False,Terverifikasi,Agrinas,473.0,15980.0,0.0,0.0,True,"https://www.google.com/maps/@-7.000512,112.541094,250m/data=!3m1!1e3",True,True,50,Built-up,False
12052,KOPERASI DESA MERAH PUTIH DAKA INO,MALUKU UTARA,KAB. HALMAHERA TIMUR,Wasile Timur,1.08008498,128.1951291,False,,-1,,24567.6,True,,340801168,938.7,0.0,False,,-1,,24624.7,3055.3,2242.5,10.698,0,False,2242.5,True,Sedang Diverifikasi,PMO,23.0,8817.0,0.528,0.264,False,"https://www.google.com/maps/@1.08008498,128.1951291,250m/data=!3m1!1e3",True,True,30,Grassland,False
84863,KOPERASI KELURAHAN MERAH PUTIH TONGAUNA KECAMATAN TONGAUNA,SULAWESI TENGGARA,KAB. KONAWE,Tongauna,-3.81714693,122.0199351,False,,-1,,6320.3,True,Persawahan,844448542,872.2,0.0,False,,-1,,4502.8,1716.9,4317.6,10.775,0,False,1716.9,True,Tidak Ada Lahan,,2.0,7852.0,1.188,0.528,False,"https://www.google.com/maps/@-3.81714693,122.0199351,250m/data=!3m1!1e3",True,True,40,Cropland,True
27829,KOPERASI DESA MERAH PUTIH BAH BUTONG I KECAMATAN SIDAMANIK,SUMATERA UTARA,KAB. SIMALUNGUN,Sidamanik,2.84196546,98.9057617,False,,-1,,8265.0,True,,1051403660,812.5,0.0,False,,-1,,2500.6,585.7,555.1,5.903,1,False,555.1,False,Sedang Diverifikasi,BUSINESS ASSISTANCE,17.0,10746.0,0.396,0.396,False,"https://www.google.com/maps/@2.84196546,98.9057617,250m/data=!3m1!1e3",True,True,10,Tree cover,False
26722,KOPERASI DESA MERAH PUTIH BANJAR TIMUR KECAMATAN GAPURA,JAWA TIMUR,KAB. SUMENEP,Gapura,-7.014141,113.9436152,False,,-1,,32276.5,True,,240823630,809.1,0.0,False,,-1,,28178.1,1515.6,4602.9,11.935,0,False,1515.6,True,Terverifikasi,Agrinas,45.0,11802.0,0.264,0.264,False,"https://www.google.com/maps/@-7.014141,113.9436152,250m/data=!3m1!1e3",True,True,40,Cropland,True
53200,KOPERASI DESA MERAH PUTIH LEMPUYANG,BANTEN,KAB. SERANG,Tanara,-6.04012525,106.3471562,False,,-1,,3537.5,True,,533925816,808.5,0.0,False,,-1,,14850.1,1293.4,1344.6,28.444,1,False,1293.4,True,Sedang Diverifikasi,KOPERASI,8.0,25691.0,0.792,0.528,False,"https://www.google.com/maps/@-6.04012525,106.3471562,250m/data=!3m1!1e3",True,True,40,Cropland,True
14808,KOPERASI KELURAHAN MERAH PUTIH TALANG KERAMAT,SUMATERA SELATAN,KAB. BANYUASIN,Talang Kelapa,-2.86912154,104.7439951,False,,-1,,5175.0,True,,169004546,775.4,0.0,False,,-1,,8416.6,4415.9,3769.0,15.859,0,False,3769.0,True,,,0.0,8125.0,1.056,0.264,False,"https://www.google.com/maps/@-2.86912154,104.7439951,250m/data=!3m1!1e3",True,True,30,Grassland,False
15377,KOPERASI DESA MERAH PUTIH SUKAMURNI SUKAKARYA,JAWA BARAT,KAB. BEKASI,Sukakarya,-6.1247788,107.1476305,False,,-1,,986.8,True,,1258297898,734.9,0.0,False,,-1,,6036.2,954.7,2895.2,17.32,1,False,954.7,True,Terverifikasi,Agrinas,952.0,39551.0,0.132,0.132,True,"https://www.google.com/maps/@-6.1247788,107.1476305,250m/data=!3m1!1e3",True,True,40,Cropland,True
10329,KOPERASI DESA MERAH PUTIH PULAU MUNING,SUMATERA SELATAN,KAB. BANYUASIN,Sembawa,-2.83306993,104.5316195,False,,-1,,22954.4,True,,169004544,729.9,0.0,False,,-1,,18844.3,1113.9,3410.9,6.732,0,False,1113.9,True,Terverifikasi,Agrinas,2.0,630.0,0.132,0.132,True,"https://www.google.com/maps/@-2.83306993,104.5316195,250m/data=!3m1!1e3",True,True,30,Grassland,False
58809,KOPERASI DESA MERAH PUTIH TENJO AYU,BANTEN,KAB. SERANG,Tanara,-5.99564058,106.3728067,False,,-1,,3217.8,True,,533925816,722.4,0.0,False,,-1,,18658.3,1747.7,4328.0,28.444,1,False,1747.7,True,Tidak Ada Lahan,,8.0,6292.0,1.452,1.452,False,"https://www.google.com/maps/@-5.99564058,106.3728067,250m/data=!3m1!1e3",True,True,40,Cropland,True
67677,KOPERASI DESA MERAH PUTIH PILANGSARI KECAMATAN JATITUJUH,JAWA BARAT,KAB. MAJALENGKA,Jatitujuh,-6.60118803,108.2144294,False,,-1,,3407.9,True,,472456776,707.9,0.0,False,,-1,,17323.5,2076.0,7174.7,117.297,0,False,2076.0,True,Sedang Diverifikasi,BUSINESS ASSISTANCE,3.0,5221.0,0.528,0.132,True,"https://www.google.com/maps/@-6.60118803,108.2144294,250m/data=!3m1!1e3",True,True,40,Cropland,True
42542,KOPERASI DESA MERAH PUTIH SUKAWANGI KECAMATAN SUKAWANGI,JAWA BARAT,KAB. BEKASI,Sukawangi,-6.12870748,107.1292707,False,,-1,,715.8,True,,1258297898,693.0,0.0,False,,-1,,7082.4,887.6,2617.4,17.32,1,False,887.6,True,Tidak Ada Lahan,,162.0,35400.0,0.132,0.132,True,"https://www.google.com/maps/@-6.12870748,107.1292707,250m/data=!3m1!1e3",True,True,40,Cropland,True
6073,KOPERASI DESA MERAH PUTIH PASURUHAN,JAWA TENGAH,KAB. PATI,Kayen,-6.86831494,110.9567569,False,,-1,,4290.7,True,,692724366,691.3,0.0,False,,-1,,12694.3,1696.2,4229.4,14.49,0,False,1696.2,True,,,28.0,10367.0,0.396,0.132,True,"https://www.google.com/maps/@-6.86831494,110.9567569,250m/data=!3m1!1e3",True,True,40,Cropland,True
30084,KOPERASI DESA MERAH PUTIH KOPERASI DESA MERAH PUTIH CEMPI JAYA,NUSA TENGGARA BARAT,KAB. DOMPU,Hu'u,-8.7014176,118.4367853,False,,-1,,2680.6,True,,134633757,636.0,0.0,False,,-1,,2842.1,272.6,970.2,2.892,1,False,272.6,False,Terverifikasi,KOPERASI,3.0,3771.0,0.792,0.264,False,"https://www.google.com/maps/@-8.7014176,118.4367853,250m/data=!3m1!1e3",True,True,40,Cropland,True
50475,KOPERASI KELURAHAN MERAH PUTIH BONTORAYA,SULAWESI SELATAN,KAB. JENEPONTO,Batang,-5.60587183,119.8169013,False,,-1,,2582.1,True,Lahan Pertanian (kering);Sawah Tadah Hujan,240475921,624.6,0.0,False,,-1,,6886.3,376.8,1334.9,5.456,1,False,376.8,False,,,27.0,13077.0,0.792,0.792,False,"https://www.google.com/maps/@-5.60587183,119.8169013,250m/data=!3m1!1e3",True,True,40,Cropland,True
