province,cooperatives,in_cemetery,in_farmland,cemetery_within_2km,farmland_within_2km,village_node_within_2km,pct_cemetery_within_2km,pct_farmland_within_2km,pct_village_node_within_2km
GORONTALO,731,0,3,0,55,442,0.0,7.5,60.5
PAPUA SELATAN,638,0,2,6,11,121,0.9,1.7,19.0
SULAWESI BARAT,648,0,0,8,21,368,1.2,3.2,56.8
PAPUA TENGAH,1202,0,0,17,85,164,1.4,7.1,13.6
PAPUA,985,0,5,17,19,183,1.7,1.9,18.6
PAPUA PEGUNUNGAN,2387,0,18,50,243,714,2.1,10.2,29.9
KALIMANTAN TENGAH,1543,0,1,34,32,743,2.2,2.1,48.2
PAPUA BARAT DAYA,1024,0,0,25,7,305,2.4,0.7,29.8
PAPUA BARAT,826,0,0,23,18,278,2.8,2.2,33.7
KALIMANTAN BARAT,2156,0,1,62,62,1099,2.9,2.9,51.0
SULAWESI TENGAH,1983,0,1,63,65,1066,3.2,3.3,53.8
SULAWESI TENGGARA,2273,0,13,81,128,1621,3.6,5.6,71.3
MALUKU,1236,1,1,67,20,641,5.4,1.6,51.9
KALIMANTAN UTARA,411,0,0,24,6,157,5.8,1.5,38.2
SUMATERA SELATAN,3265,0,6,194,153,2153,5.9,4.7,65.9
NUSA TENGGARA TIMUR,3452,0,35,218,578,2536,6.3,16.7,73.5
SUMATERA BARAT,1270,0,30,84,329,889,6.6,25.9,70.0
LAMPUNG,2651,0,4,178,199,2146,6.7,7.5,81.0
ACEH,6534,0,802,519,3047,5611,7.9,46.6,85.9
SUMATERA UTARA,6102,0,23,487,643,4864,8.0,10.5,79.7
RIAU,1866,0,2,149,67,1066,8.0,3.6,57.1
MALUKU UTARA,1191,0,6,99,64,583,8.3,5.4,49.0
KALIMANTAN TIMUR,1037,0,4,103,120,522,9.9,11.6,50.3
JAMBI,1591,0,12,180,196,999,11.3,12.3,62.8
SULAWESI UTARA,1839,0,0,210,111,1300,11.4,6.0,70.7
KEPULAUAN RIAU,407,1,6,60,51,192,14.7,12.5,47.2
KALIMANTAN SELATAN,2013,0,16,302,150,1611,15.0,7.5,80.0
BALI,718,0,48,118,380,665,16.4,52.9,92.6
KEPULAUAN BANGKA BELITUNG,393,1,9,68,39,151,17.3,9.9,38.4
BENGKULU,1508,2,9,304,154,1200,20.2,10.2,79.6
JAWA TIMUR,8494,2,321,1851,2947,8050,21.8,34.7,94.8
SULAWESI SELATAN,3080,0,101,698,940,2416,22.7,30.5,78.4
JAWA BARAT,5970,3,150,1409,2578,5573,23.6,43.2,93.4
JAWA TENGAH,8524,3,288,2043,4061,8258,24.0,47.6,96.9
NUSA TENGGARA BARAT,1172,2,59,333,495,887,28.4,42.2,75.7
BANTEN,1553,2,219,491,826,1479,31.6,53.2,95.2
DAERAH ISTIMEWA YOGYAKARTA,438,1,12,322,345,433,73.5,78.8,98.9
DKI JAKARTA,268,4,2,222,118,267,82.8,44.0,99.6
