cooperative_id,name,province,district,lat_2026_08_05,lon_2026_08_05,diagnosis,lat_2026_08_09,lon_2026_08_09,lat_2026_08_13,lon_2026_08_13,first_snapshot_corrected
280,KOPERASI DESA MERAH PUTIH LENGKONG KECAMATAN LENGKONG KABUPATEN SUKABUMI,JAWA BARAT,KAB. SUKABUMI,7.126233,106.689856,latitude sign flipped (N instead of S),-7.131228,106.703442,-7.131228,106.703442,2026-08-09
3270,KOPERASI DESA MERAH PUTIH BAKALANKRAPYAK KALIWUNGU KUDUS,JAWA TENGAH,KAB. KUDUS,6.8007133,110.8268084,latitude sign flipped (N instead of S),-6.79635147,110.83168287,-6.79635147,110.83168287,2026-08-09
7520,KOPERASI DESA MERAH PUTIH SEMBOWO KECAMATAN SUDIMORO,JAWA TIMUR,KAB. PACITAN,8.175135,111.389583,latitude sign flipped (N instead of S),-8.16933917,111.39160859,-8.16933917,111.39160859,2026-08-09
13600,KOPERASI DESA MERAH PUTIH TEMBOK BANJARAN,JAWA TENGAH,KAB. TEGAL,6.9436345,109.1349116,latitude sign flipped (N instead of S),-6.9543492,109.1359597,-6.9543492,109.1359597,2026-08-09
14118,KOPERASI KELURAHAN MERAH PUTIH CIJORO PASIR,BANTEN,KAB. LEBAK,6.346547,106.265945,latitude sign flipped (N instead of S),-6.246505,106.265971,-6.246505,106.265971,2026-08-09
17643,KOPERASI DESA MERAH PUTIH NGRAJEK KECAMATAN MUNGKID,JAWA TENGAH,KAB. MAGELANG,7.593689,110.240355,latitude sign flipped (N instead of S),-7.59362813,110.24060509,-7.59362813,110.24060509,2026-08-09
22842,KOPERASI DESA MERAH PUTIH SRUWI KECAMATAN WINONGAN KABUPATEN PASURUAN,JAWA TIMUR,KAB. PASURUAN,7.754873,112.952672,latitude sign flipped (N instead of S),-7.74937667,112.95277833,-7.74937667,112.95277833,2026-08-09
25760,KOPERASI DESA MERAH PUTIH GONDANGSLAMET KECAMATAN AMPEL,JAWA TENGAH,KAB. BOYOLALI,7.437952,110.563805,latitude sign flipped (N instead of S),-7.4467121,110.5831847,-7.4467121,110.5831847,2026-08-09
32989,KOPERASI DESA MERAH PUTIH SOCO,JAWA TENGAH,KAB. KUDUS,6.703496,110.860025,latitude sign flipped (N instead of S),-6.70359833,110.85995361,-6.70359833,110.85995361,2026-08-09
33961,KOPERASI DESA MERAH PUTIH KARANGREJO KECAMATAN GUMUKMAS,JAWA TIMUR,KAB. JEMBER,8.33106662,113.4317051,latitude sign flipped (N instead of S),-8.33217583,113.42662778,-8.33217583,113.42662778,2026-08-09
37573,KOPERASI DESA MERAH PUTIH PUCUNG KECAMATAN KISMANTORO KABUPATEN WONOGIRI,JAWA TENGAH,KAB. WONOGIRI,7.92234,111.249453,latitude sign flipped (N instead of S),-7.922265,111.24950333,-7.922265,111.24950333,2026-08-09
38266,KOPERASI KELURAHAN MERAH PUTIH KISMANTORO KECAMATAN KISMANTORO KABUPATEN WONOGIRI,JAWA TENGAH,KAB. WONOGIRI,7.890454,111.249993,latitude sign flipped (N instead of S),-7.89047053,111.25005295,-7.89047053,111.25005295,2026-08-09
42157,KOPERASI DESA MERAH PUTIH SIMO,JAWA TIMUR,KAB. MADIUN,7.491285,111.601297,latitude sign flipped (N instead of S),-7.49650667,111.59915333,-7.49650667,111.59915333,2026-08-09
43712,KOPERASI DESA MERAH PUTIH TIRTOMULYO KECAMATAN PLANTUNGAN,JAWA TENGAH,KAB. KENDAL,7.100643,109.966976,latitude sign flipped (N instead of S),-7.10052361,109.96697667,-7.10052361,109.96697667,2026-08-09
45586,KOPERASI KELURAHAN MERAH PUTIH SINDANGSARI KECAMATAN BOGOR TIMUR,JAWA BARAT,KOTA BOGOR,6.651542,106.844984,latitude sign flipped (N instead of S),-6.64714481,106.84433578,-6.64714481,106.84433578,2026-08-09
50977,KOPERASI DESA MERAH PUTIH BLAJO,JAWA TIMUR,KAB. LAMONGAN,7.042843,112.391402,latitude sign flipped (N instead of S),-7.03931915,112.39528013,-7.03931915,112.39528013,2026-08-09
64703,KOPERASI DESA MERAH PUTIH KAMPUNG WOMBRISAUW,PAPUA,KAB. BIAK NUMFOR,85.05112878,-180.0,"outside Indonesia, cause unclear",-0.80606492,135.74014465,-0.80606492,135.74014465,2026-08-09
69774,KOPERASI DESA MERAH PUTIH PAKURAN KECAMATAN BUAYAN,JAWA TENGAH,KAB. KEBUMEN,7.701004,109.465172,latitude sign flipped (N instead of S),-7.6885703,109.45965382,-7.6885703,109.45965382,2026-08-09
73914,KOPERASI DESA MERAH PUTIH JOGOBOYO KECAMATAN PURWODADI,JAWA TENGAH,KAB. PURWOREJO,7.883067,110.027627,latitude sign flipped (N instead of S),-7.88290278,110.02760028,-7.88290278,110.02760028,2026-08-09
86850,KOPERASI DESA MERAH PUTIH LALETEN,NUSA TENGGARA TIMUR,KAB. MALAKA,9.634751,124.862069,latitude sign flipped (N instead of S),-9.64211904,124.84926062,-9.64211904,124.84926062,2026-08-09
