cooperative_id,province,district,km_non_track,m_to_made_road,error_m
47303,NUSA TENGGARA TIMUR,KAB. SUMBA TIMUR,0.792,595.2226362948095,196.7773637051905
28209,JAWA TIMUR,KOTA MADIUN,0.0,18.302399984029293,-18.302399984029293
68047,JAWA BARAT,KAB. GARUT,0.0,8.570657391891118,-8.570657391891118
46526,JAWA TENGAH,KAB. CILACAP,0.0,5.152665707391206,-5.152665707391206
1279,BENGKULU,KAB. KAUR,1.056,950.3101771532158,105.68982284678418
37286,ACEH,KAB. BIREUEN,0.0,41.32326828882384,-41.32326828882384
17051,JAWA TIMUR,KAB. PACITAN,0.132,101.31431183999379,30.685688160006208
19489,RIAU,KOTA PEKANBARU,1.716,1766.027195731044,-50.027195731044
55273,SULAWESI SELATAN,KAB. TANA TORAJA,0.0,9.979637818454389,-9.979637818454389
36916,SULAWESI TENGAH,KAB. TOLI-TOLI,0.66,667.910213366743,-7.910213366743051
45605,DAERAH ISTIMEWA YOGYAKARTA,KAB. SLEMAN,0.132,49.169137825174985,82.83086217482501
14664,KALIMANTAN BARAT,KAB. KUBU RAYA,0.396,464.76466703710156,-68.76466703710156
20766,SUMATERA UTARA,KAB. DELI SERDANG,0.528,449.6483277509615,78.35167224903847
17993,KALIMANTAN TIMUR,KAB. KUTAI KARTANEGARA,0.132,21.72691065807336,110.27308934192664
41352,KALIMANTAN TENGAH,KAB. KATINGAN,0.0,18.49929080945023,-18.49929080945023
1655,LAMPUNG,KAB. WAY KANAN,0.924,848.5916084047877,75.40839159521227
53752,SULAWESI BARAT,KAB. PASANGKAYU,0.396,386.3153785016364,9.684621498363583
67883,NUSA TENGGARA TIMUR,KAB. TIMOR TENGAH UTARA,0.264,200.05267984132746,63.94732015867254
35699,JAWA TIMUR,KAB. JOMBANG,0.0,107.95353524997542,-107.95353524997542
26088,ACEH,KAB. ACEH BESAR,0.0,18.081948431616606,-18.081948431616606
46325,JAWA BARAT,KAB. GARUT,0.132,54.10963802087962,77.89036197912037
30949,SUMATERA SELATAN,KAB. EMPAT LAWANG,0.528,517.5448122452951,10.455187754704866
28344,SUMATERA SELATAN,KAB. OKU TIMUR,0.0,112.00491409698625,-112.00491409698625
9043,JAWA TENGAH,KAB. BREBES,0.0,18.408546019679083,-18.408546019679083
92089,SULAWESI TENGGARA,KAB. KONAWE,0.132,129.47209191218593,2.527908087814069
92211,PAPUA SELATAN,KAB. MERAUKE,0.0,0.9382005928297116,-0.9382005928297116
32607,GORONTALO,KAB. BONE BOLANGO,3.3,3328.0335218459236,-28.033521845923588
62898,SUMATERA UTARA,KAB. TOBA,0.396,363.8428852435342,32.157114756465774
43114,MALUKU,KAB. MALUKU BARAT DAYA,1.848,1841.2505022448822,6.749497755117773
47222,JAWA TENGAH,KAB. PURWOREJO,0.0,2.483436754463144,-2.483436754463144
6592,JAWA TIMUR,KAB. NGANJUK,0.132,187.54408004177807,-55.544080041778074
33269,GORONTALO,KAB. GORONTALO,2.376,2256.8276145123978,119.17238548760224
69272,SULAWESI BARAT,KAB. POLEWALI MANDAR,0.66,630.4567433373157,29.543256662684257
80509,JAMBI,KAB. SAROLANGUN,0.792,750.7712445946886,41.228755405311404
67229,JAWA BARAT,KAB. PANGANDARAN,0.396,396.4202446331591,-0.42024463315908633
59103,KALIMANTAN TENGAH,KAB. KOTAWARINGIN TIMUR,0.792,676.9224702491156,115.07752975088442
55485,SULAWESI SELATAN,KAB. GOWA,0.0,1.2954530382304903,-1.2954530382304903
54002,SUMATERA UTARA,KAB. PADANG LAWAS UTARA,0.132,128.78684361494038,3.2131563850596194
57141,SUMATERA SELATAN,KAB. OKU SELATAN,0.264,338.38555728384256,-74.38555728384256
73830,SULAWESI UTARA,KAB. BOLAANG MONGONDOW,1.056,891.445805330982,164.554194669018
3704,LAMPUNG,KAB. WAY KANAN,0.264,313.9968129571802,-49.996812957180225
55501,SULAWESI SELATAN,KAB. BONE,0.132,121.89323224318547,10.106767756814534
60361,JAMBI,KAB. TEBO,0.0,90.09266104429383,-90.09266104429383
85055,ACEH,KAB. ACEH JAYA,0.132,167.13930872335965,-35.13930872335965
54896,ACEH,KAB. NAGAN RAYA,1.584,1594.2965031913434,-10.29650319134339
36423,SUMATERA UTARA,KAB. MANDAILING NATAL,0.264,276.0019553435228,-12.001955343522809
51837,ACEH,KAB. ACEH BARAT,0.924,1001.1932507210381,-77.19325072103811
78724,ACEH,KAB. ACEH UTARA,0.132,102.43735406992256,29.562645930077437
17927,KALIMANTAN TIMUR,KAB. KUTAI KARTANEGARA,0.132,89.5567065759397,42.4432934240603
69911,JAWA TIMUR,KAB. LAMONGAN,0.0,26.27935623930299,-26.27935623930299
37195,JAWA TIMUR,KAB. TRENGGALEK,0.0,14.197185839136111,-14.197185839136111
65387,JAWA TENGAH,KAB. SRAGEN,0.0,42.8165243415075,-42.8165243415075
73516,JAMBI,KAB. TANJUNG JABUNG TIMUR,1.32,1318.1446797062856,1.8553202937143851
81664,ACEH,KAB. ACEH TIMUR,0.0,24.738602997034192,-24.738602997034192
15275,JAWA TENGAH,KOTA SEMARANG,0.396,296.416712556878,99.583287443122
62782,SUMATERA UTARA,KAB. MANDAILING NATAL,0.792,736.4818713308167,55.518128669183284
75411,JAWA TENGAH,KAB. BOYOLALI,0.0,6.3845092347341685,-6.3845092347341685
23891,JAWA BARAT,KOTA CIREBON,0.0,37.89379505005488,-37.89379505005488
26320,JAWA TIMUR,KAB. BANGKALAN,0.0,68.25895551672293,-68.25895551672293
22351,SULAWESI TENGGARA,KAB. KOLAKA,0.264,283.9659574863505,-19.965957486350476
23801,JAWA TIMUR,KAB. MALANG,0.0,12.729621051925895,-12.729621051925895
88707,PAPUA BARAT DAYA,KAB. MAYBRAT,0.528,536.7468774525823,-8.74687745258234
39496,JAWA BARAT,KAB. CIAMIS,0.0,94.34078707351009,-94.34078707351009
9739,SULAWESI SELATAN,KAB. TAKALAR,0.0,16.81969494289929,-16.81969494289929
4315,JAWA TENGAH,KAB. KLATEN,0.0,57.95525546575261,-57.95525546575261
4675,JAWA TENGAH,KAB. REMBANG,0.66,580.5562294257086,79.44377057429142
24006,SULAWESI SELATAN,KAB. BONE,0.0,6.28432152576628,-6.28432152576628
79905,NUSA TENGGARA TIMUR,KAB. NGADA,0.264,174.62417494514352,89.37582505485648
26113,SULAWESI TENGAH,KAB. BANGGAI,1.716,1588.5308823347473,127.46911766525272
87545,MALUKU UTARA,KOTA TERNATE,0.0,10.644471270536137,-10.644471270536137
44009,JAWA TIMUR,KAB. PROBOLINGGO,0.132,202.07988637924512,-70.07988637924512
72251,KALIMANTAN TIMUR,KAB. KUTAI TIMUR,2.772,2434.616243461032,337.3837565389681
84460,JAMBI,KAB. KERINCI,2.904,2973.4829382418466,-69.48293824184657
50077,RIAU,KOTA PEKANBARU,0.0,11.413804444414186,-11.413804444414186
92025,LAMPUNG,KAB. TULANG BAWANG BARAT,0.264,358.160940656488,-94.16094065648798
25570,SUMATERA UTARA,KAB. DELI SERDANG,0.0,42.994558507503896,-42.994558507503896
23602,SULAWESI TENGGARA,KAB. KONAWE,0.132,191.91411863353238,-59.91411863353238
59654,NUSA TENGGARA TIMUR,KAB. ALOR,0.924,922.1736722299946,1.8263277700053777
20987,ACEH,KAB. BENER MERIAH,0.264,257.3577013676206,6.642298632379379
68155,ACEH,KAB. BIREUEN,0.0,45.15128932560447,-45.15128932560447
1884,JAWA TENGAH,KAB. BLORA,0.0,17.00792546803414,-17.00792546803414
35473,NUSA TENGGARA TIMUR,KAB. FLORES TIMUR,0.924,804.4679825577778,119.53201744222224
67954,SUMATERA SELATAN,KAB. OGAN KOMERING ILIR,0.0,23.116716918711816,-23.116716918711816
15983,JAWA TENGAH,KAB. KEBUMEN,0.0,8.149250429902018,-8.149250429902018
58383,SUMATERA UTARA,KAB. DAIRI,0.264,319.0899198105937,-55.0899198105937
7592,SULAWESI SELATAN,KAB. PINRANG,0.0,19.621455517927476,-19.621455517927476
84571,ACEH,KAB. ACEH BARAT DAYA,0.528,577.1267540940011,-49.12675409400106
18119,JAWA TENGAH,KOTA SEMARANG,0.264,241.68042274640584,22.31957725359416
7962,SUMATERA SELATAN,KAB. OKU TIMUR,0.0,13.902186240080574,-13.902186240080574
22018,JAWA TIMUR,KOTA KEDIRI,0.0,26.292865534518345,-26.292865534518345
36397,SUMATERA UTARA,KAB. SIMALUNGUN,0.792,862.3085954134255,-70.30859541342545
26074,ACEH,KAB. ACEH BESAR,0.0,19.758778760740842,-19.758778760740842
11739,NUSA TENGGARA BARAT,KAB. DOMPU,0.792,796.0778288104708,-4.077828810470805
17704,JAWA TENGAH,KOTA SEMARANG,0.0,0.5698316424333878,-0.5698316424333878
77007,NUSA TENGGARA TIMUR,KAB. MANGGARAI,2.376,2127.6222239167732,248.37777608322676
6966,SULAWESI TENGGARA,KAB. MUNA,0.264,172.00411134009505,91.99588865990495
36542,JAWA TENGAH,KAB. WONOGIRI,0.264,292.9651255796807,-28.965125579680716
30324,SULAWESI SELATAN,KAB. BULUKUMBA,0.0,12.418758650142577,-12.418758650142577
77195,ACEH,KAB. PIDIE,0.0,68.57254576330331,-68.57254576330331
32179,SUMATERA UTARA,KAB. TAPANULI UTARA,0.528,629.7781635433979,-101.77816354339791
22263,KEPULAUAN RIAU,KAB. NATUNA,0.0,22.693909542324405,-22.693909542324405
88830,PAPUA,KAB. SARMI,4.488,4251.766506731021,236.23349326897915
40410,JAWA TENGAH,KAB. KLATEN,0.0,5.625277653113872,-5.625277653113872
16282,JAWA TENGAH,KOTA SEMARANG,0.0,15.050833642550927,-15.050833642550927
20424,JAWA TENGAH,KAB. KUDUS,0.66,652.7026770424375,7.297322957562528
50020,SUMATERA BARAT,KAB. PASAMAN BARAT,2.772,2552.20471516934,219.79528483065997
29082,JAWA BARAT,KAB. GARUT,0.132,114.58579065985961,17.41420934014039
18238,JAWA BARAT,KAB. CIANJUR,0.0,15.618117418170161,-15.618117418170161
31879,KEPULAUAN BANGKA BELITUNG,KAB. BANGKA BARAT,0.0,1.0321575215601526,-1.0321575215601526
69987,JAWA TENGAH,KAB. SUKOHARJO,0.0,6.70061915799087,-6.70061915799087
24339,JAWA TIMUR,KAB. PASURUAN,0.132,86.56330949128845,45.43669050871155
77545,NUSA TENGGARA BARAT,KAB. BIMA,0.396,481.9585075460016,-85.95850754600161
76131,BENGKULU,KAB. LEBONG,0.66,680.8052101150513,-20.805210115051295
61026,SUMATERA UTARA,KAB. DAIRI,0.264,263.4476288287699,0.5523711712301065
36029,SUMATERA UTARA,KAB. TAPANULI SELATAN,0.132,154.40201353286918,-22.402013532869177
7384,LAMPUNG,KAB. LAMPUNG BARAT,1.056,1058.9550897827983,-2.955089782798268
22692,KEPULAUAN RIAU,KAB. KARIMUN,0.396,303.9336890650301,92.06631093496992
50805,ACEH,KOTA SUBULUSSALAM,0.528,410.2108613258209,117.78913867417913
60061,SULAWESI SELATAN,KAB. BULUKUMBA,0.264,256.7756136372486,7.224386362751375
48499,SULAWESI BARAT,KAB. PASANGKAYU,0.0,53.80178623660309,-53.80178623660309
81890,ACEH,KAB. ACEH BARAT DAYA,0.264,299.5798035081138,-35.5798035081138
93634,PAPUA PEGUNUNGAN,KAB. TOLIKARA,0.264,242.00842670078887,21.991573299211126
55137,SULAWESI TENGAH,KAB. BANGGAI LAUT,1.056,950.7420461623091,105.25795383769093
93930,PAPUA PEGUNUNGAN,KAB. TOLIKARA,0.0,1.485615433864309,-1.485615433864309
69565,SULAWESI SELATAN,KAB. LUWU UTARA,0.0,18.150736981665936,-18.150736981665936
79429,ACEH,KAB. PIDIE,0.0,5.43479528755313,-5.43479528755313
3607,LAMPUNG,KAB. LAMPUNG BARAT,1.32,1212.955122080005,107.04487791999509
74820,JAWA BARAT,KAB. KUNINGAN,0.0,6.98345798638022,-6.98345798638022
85338,KALIMANTAN TIMUR,KAB. KUTAI BARAT,3.564,3388.9458168810725,175.05418311892754
53626,SULAWESI SELATAN,KAB. GOWA,0.132,91.82331613632455,40.17668386367545
75804,NUSA TENGGARA TIMUR,KAB. NAGEKEO,0.924,859.89925626624,64.10074373376005
41192,JAWA BARAT,KOTA CIREBON,0.132,81.48604411550835,50.51395588449165
59568,SULAWESI TENGGARA,KAB. BUTON TENGAH,0.924,898.6714204605495,25.328579539450516
52111,ACEH,KAB. ACEH BESAR,0.396,440.6221824492155,-44.62218244921547
50681,SULAWESI SELATAN,KAB. JENEPONTO,0.132,157.11683449327182,-25.116834493271824
30588,JAWA TIMUR,KAB. PASURUAN,0.132,155.78787936737254,-23.78787936737254
69537,RIAU,KOTA PEKANBARU,0.0,2.8825364448564588,-2.8825364448564588
11372,JAWA TIMUR,KOTA MALANG,0.0,22.198497928801736,-22.198497928801736
51511,KALIMANTAN SELATAN,KAB. TABALONG,0.0,75.07795164664917,-75.07795164664917
40331,JAWA TIMUR,KAB. NGAWI,0.264,250.53573347490033,13.464266525099674
60423,ACEH,KAB. ACEH TAMIANG,0.132,117.50436231591088,14.495637684089118
80563,SULAWESI UTARA,KAB. BOLAANG MONGONDOW TIMUR,0.0,16.138335505148486,-16.138335505148486
72761,JAWA BARAT,KAB. TASIKMALAYA,0.132,59.023716614654205,72.9762833853458
19990,JAWA TIMUR,KAB. SIDOARJO,0.0,11.941852715705913,-11.941852715705913
85674,NUSA TENGGARA TIMUR,KAB. ENDE,0.528,437.12447419505213,90.87552580494787
58174,ACEH,KAB. ACEH BESAR,0.0,0.5840104074924328,-0.5840104074924328
20204,JAWA TIMUR,KAB. LAMONGAN,0.132,159.33923923659788,-27.339239236597876
29109,JAWA BARAT,KAB. TASIKMALAYA,0.0,45.52865180521798,-45.52865180521798
50508,SUMATERA BARAT,KAB. PASAMAN,0.0,11.058387525285195,-11.058387525285195
50051,SUMATERA BARAT,KAB. DHARMASRAYA,0.396,440.57616067251854,-44.57616067251854
44758,MALUKU UTARA,KAB. HALMAHERA TENGAH,0.528,544.9733846371405,-16.973384637140498
41153,RIAU,KAB. KUANTAN SINGINGI,1.056,1185.7714063161156,-129.77140631611564
65129,JAWA TENGAH,KAB. PEKALONGAN,0.0,25.324109374222026,-25.324109374222026
76555,JAWA BARAT,KAB. BANDUNG,0.0,15.09120506823239,-15.09120506823239
21078,JAWA TENGAH,KAB. PEKALONGAN,0.0,40.54796981483315,-40.54796981483315
49091,ACEH,KAB. PIDIE,0.0,1.4098530665529292,-1.4098530665529292
33368,NUSA TENGGARA BARAT,KAB. LOMBOK TIMUR,0.132,104.77364135012017,27.226358649879828
1665,SUMATERA SELATAN,KAB. MUSI RAWAS,0.396,316.3378650480524,79.66213495194762
31469,KALIMANTAN SELATAN,KAB. KOTABARU,5.016,4207.030173471561,808.9698265284387
64005,SULAWESI TENGGARA,KAB. BUTON TENGAH,4.884,4295.529424042348,588.4705759576518
91225,PAPUA PEGUNUNGAN,KAB. YALIMO,0.396,347.49497727234115,48.505022727658854
17105,BENGKULU,KAB. BENGKULU SELATAN,1.32,1126.584896793397,193.4151032066029
47118,SUMATERA UTARA,KAB. PADANG LAWAS,0.396,350.96094285016056,45.03905714983944
25165,KALIMANTAN SELATAN,KAB. BARITO KUALA,0.132,146.2611159541759,-14.261115954175892
86832,PAPUA BARAT DAYA,KAB. MAYBRAT,0.66,608.0244524550133,51.97554754498674
6472,SULAWESI BARAT,KAB. MAJENE,0.264,148.91506858477695,115.08493141522305
48684,RIAU,KOTA DUMAI,0.792,661.051228224441,130.94877177555895
1503,JAWA TIMUR,KAB. SITUBONDO,0.132,88.73537179008824,43.26462820991176
87604,PAPUA BARAT DAYA,KAB. MAYBRAT,1.32,1283.1118315176743,36.88816848232568
64789,KALIMANTAN SELATAN,KAB. TABALONG,0.0,22.663780762896792,-22.663780762896792
36184,KALIMANTAN TIMUR,KAB. PENAJAM PASER UTARA,1.716,1434.9641466995959,281.03585330040414
23551,ACEH,KAB. BIREUEN,0.264,210.4385768097227,53.56142319027731
18616,JAWA TENGAH,KAB. MAGELANG,0.0,32.313742801672504,-32.313742801672504
59246,SULAWESI TENGAH,KAB. BANGGAI KEPULAUAN,0.0,29.666887206810113,-29.666887206810113
12410,SUMATERA UTARA,KAB. LANGKAT,0.528,589.704894066621,-61.70489406662102
81631,NUSA TENGGARA TIMUR,KAB. FLORES TIMUR,0.132,164.06614902120037,-32.066149021200374
61134,JAMBI,KAB. TEBO,0.396,488.6369406130536,-92.63694061305358
44722,SULAWESI UTARA,KAB. BOLAANG MONGONDOW,2.376,2260.741445689782,115.25855431021819
4769,SUMATERA SELATAN,KAB. MUARA ENIM,3.696,3722.0066500023972,-26.006650002397237
89577,PAPUA BARAT,KAB. FAK FAK,1.188,1176.7184345529627,11.281565447037337
77000,KALIMANTAN BARAT,KAB. KAPUAS HULU,0.0,105.39397388687,-105.39397388687
89354,PAPUA PEGUNUNGAN,KAB. TOLIKARA,0.792,762.6948074433861,29.30519255661386
46512,JAWA TENGAH,KAB. CILACAP,0.0,6.095814840374559,-6.095814840374559
17849,JAWA TIMUR,KAB. PROBOLINGGO,0.0,4.499522968156359,-4.499522968156359
28278,JAWA TIMUR,KOTA SURABAYA,0.132,72.1155954957448,59.8844045042552
74217,KALIMANTAN BARAT,KAB. SANGGAU,0.396,439.3165556652933,-43.31655566529332
47921,SULAWESI UTARA,KAB. MINAHASA,0.132,107.45173319241674,24.54826680758326
82438,ACEH,KAB. ACEH UTARA,0.0,16.888259294246396,-16.888259294246396
85173,ACEH,KAB. ACEH UTARA,0.132,55.01650660621378,76.98349339378622
40327,RIAU,KAB. KUANTAN SINGINGI,2.376,2420.0890151370804,-44.08901513708042
54625,JAWA TENGAH,KAB. SEMARANG,0.0,1.5239767189129922,-1.5239767189129922
92586,PAPUA SELATAN,KAB. MAPPI,0.0,65.67750527701465,-65.67750527701465
59273,SULAWESI TENGAH,KAB. SIGI,2.376,2235.862428633195,140.13757136680488
35482,JAWA TENGAH,KAB. WONOGIRI,0.0,3.4789522568591837,-3.4789522568591837
1838,RIAU,KAB. KAMPAR,0.0,1.2011936839833157,-1.2011936839833157
30535,KALIMANTAN SELATAN,KAB. BANJAR,0.132,112.03927504736062,19.96072495263938
35882,NUSA TENGGARA TIMUR,KAB. MANGGARAI BARAT,0.132,84.6142803990173,47.385719600982696
56673,JAWA TENGAH,KAB. PURWOREJO,0.132,223.49156497738213,-91.49156497738213
28390,PAPUA,KAB. BIAK NUMFOR,0.264,279.9761180969512,-15.976118096951211
51006,SULAWESI SELATAN,KAB. SOPPENG,0.132,130.3443176755417,1.6556823244582972
910,SUMATERA UTARA,KAB. BATU BARA,0.0,0.9300986806159441,-0.9300986806159441
60885,ACEH,KAB. PIDIE JAYA,0.132,128.55787126724692,3.4421287327530763
28962,JAWA TENGAH,KAB. KEBUMEN,0.132,43.39575197264407,88.60424802735594
81959,SULAWESI TENGGARA,KAB. KONAWE SELATAN,0.264,248.44553907902383,15.554460920976169
19446,RIAU,KAB. ROKAN HULU,1.056,1004.2376867676595,51.76231323234049
46050,ACEH,KAB. ACEH TENGAH,1.848,1741.5595173679185,106.44048263208151
51456,SUMATERA BARAT,KOTA PADANG,0.0,16.381338739568218,-16.381338739568218
81618,NUSA TENGGARA TIMUR,KAB. LEMBATA,0.132,116.13781068511454,15.862189314885455
51836,ACEH,KAB. ACEH BESAR,0.528,583.2618063770617,-55.2618063770617
48059,SUMATERA UTARA,KAB. KARO,0.0,55.28364031790565,-55.28364031790565
46483,SULAWESI TENGGARA,KAB. BUTON TENGAH,3.96,3422.1492607289724,537.8507392710276
74691,JAWA TENGAH,KAB. PEKALONGAN,0.396,359.085397266687,36.91460273331302
34445,MALUKU UTARA,KAB. HALMAHERA TENGAH,0.396,306.5339123721843,89.46608762781568
32393,SULAWESI TENGAH,KAB. MOROWALI,0.132,20.167946607966513,111.83205339203349
52132,ACEH,KAB. ACEH TAMIANG,0.0,140.33627457595387,-140.33627457595387
9293,LAMPUNG,KAB. MESUJI,0.0,47.48945841862918,-47.48945841862918
5759,GORONTALO,KAB. BONE BOLANGO,0.132,10.28166297980857,121.71833702019143
44677,SUMATERA BARAT,KOTA PARIAMAN,0.0,42.452889121317725,-42.452889121317725
8926,JAWA TENGAH,KAB. TEGAL,0.264,341.2631564610015,-77.26315646100147
36694,NUSA TENGGARA TIMUR,KAB. ROTE NDAO,0.528,516.7053671993215,11.294632800678528
50627,SULAWESI TENGAH,KAB. MOROWALI UTARA,2.64,2495.76364309482,144.23635690517995
21567,MALUKU,KAB. BURU,3.696,3791.7674031321085,-95.76740313210848
56871,SULAWESI TENGAH,KAB. SIGI,0.264,149.71633149666235,114.28366850333765
76336,KALIMANTAN BARAT,KAB. SANGGAU,0.132,110.45195328605229,21.548046713947713
25336,SUMATERA UTARA,KAB. DELI SERDANG,0.132,120.14899422891855,11.851005771081446
85139,RIAU,KAB. SIAK,0.264,276.342863275803,-12.342863275802983
43405,SUMATERA UTARA,KAB. SIMALUNGUN,0.132,55.586959328355476,76.41304067164452
71252,KALIMANTAN UTARA,KAB. MALINAU,0.264,227.11583430733313,36.88416569266687
4974,SUMATERA SELATAN,KOTA LUBUK LINGGAU,0.0,20.120248940397573,-20.120248940397573
35923,SUMATERA UTARA,KAB. SERDANG BEDAGAI,1.98,2091.3678517453536,-111.36785174535362
23912,JAWA TIMUR,KAB. MALANG,0.132,80.32136848822776,51.67863151177224
2760,JAWA TENGAH,KAB. BANJARNEGARA,0.0,34.380979227391435,-34.380979227391435
38559,RIAU,KAB. INDRAGIRI HULU,0.396,339.44624143172615,56.55375856827385
63749,KALIMANTAN SELATAN,KAB. TABALONG,0.0,50.87961137043972,-50.87961137043972
17985,SULAWESI TENGGARA,KAB. KONAWE,0.528,454.0720366202029,73.92796337979712
21388,ACEH,KAB. ACEH TENGAH,0.0,53.91379464326374,-53.91379464326374
77187,ACEH,KAB. PIDIE,0.132,217.23317183895557,-85.23317183895557
29057,JAWA TENGAH,KAB. BATANG,0.0,13.214610221857646,-13.214610221857646
71277,SULAWESI SELATAN,KAB. BULUKUMBA,0.132,230.1149900081841,-98.1149900081841
28400,SUMATERA SELATAN,KAB. EMPAT LAWANG,2.64,2578.273285677261,61.7267143227391
61660,RIAU,KAB. INDRAGIRI HULU,0.0,63.8517985327574,-63.8517985327574
25500,DKI JAKARTA,KOTA ADM. JAKARTA UTARA,0.0,3.85243906839779,-3.85243906839779
90692,PAPUA BARAT,KAB. PEGUNUNGAN ARFAK,2.112,1948.4401768004852,163.55982319951477
1397,SUMATERA SELATAN,KAB. PENUKAL ABAB LEMATANG ILIR,0.66,725.9759531967964,-65.97595319679635
1857,LAMPUNG,KAB. TULANG BAWANG,1.716,1517.8176997925693,198.18230020743067
54323,SUMATERA UTARA,KAB. SIMALUNGUN,0.0,23.44293224382139,-23.44293224382139
73866,NUSA TENGGARA BARAT,KAB. LOMBOK TENGAH,0.0,11.997795002711825,-11.997795002711825
