cooperative_id,name,province,district,subdistrict,latitude,longitude,km_as_recorded,km_if_latitude_flipped,diagnosis
22842,KOPERASI DESA MERAH PUTIH SRUWI KECAMATAN WINONGAN KABUPATEN PASURUAN,JAWA TIMUR,KAB. PASURUAN,Winongan,7.754873,112.952672,1693.0,82.0,latitude sign flipped
33961,KOPERASI DESA MERAH PUTIH KARANGREJO KECAMATAN GUMUKMAS,JAWA TIMUR,KAB. JEMBER,Gumukmas,8.33106662,113.4317051,1760.0,158.0,latitude sign flipped
50977,KOPERASI DESA MERAH PUTIH BLAJO,JAWA TIMUR,KAB. LAMONGAN,Kalitengah,7.042843,112.391402,1612.0,57.0,latitude sign flipped
42157,KOPERASI DESA MERAH PUTIH SIMO,JAWA TIMUR,KAB. MADIUN,Balerejo,7.491285,111.601297,1663.0,70.0,latitude sign flipped
7520,KOPERASI DESA MERAH PUTIH SEMBOWO KECAMATAN SUDIMORO,JAWA TIMUR,KAB. PACITAN,Sudimoro,8.175135,111.389583,1740.0,117.0,latitude sign flipped
280,KOPERASI DESA MERAH PUTIH LENGKONG KECAMATAN LENGKONG KABUPATEN SUKABUMI,JAWA BARAT,KAB. SUKABUMI,Lengkong,7.126233,106.689856,1576.0,108.0,latitude sign flipped
45586,KOPERASI KELURAHAN MERAH PUTIH SINDANGSARI KECAMATAN BOGOR TIMUR,JAWA BARAT,KOTA BOGOR,Bogor Timur,6.651542,106.844984,1522.0,103.0,latitude sign flipped
25760,KOPERASI DESA MERAH PUTIH GONDANGSLAMET KECAMATAN AMPEL,JAWA TENGAH,KAB. BOYOLALI,Ampel,7.437952,110.563805,1614.0,57.0,latitude sign flipped
13600,KOPERASI DESA MERAH PUTIH TEMBOK BANJARAN,JAWA TENGAH,KAB. TEGAL,Adiwerna,6.9436345,109.1349116,1563.0,113.0,latitude sign flipped
17643,KOPERASI DESA MERAH PUTIH NGRAJEK KECAMATAN MUNGKID,JAWA TENGAH,KAB. MAGELANG,Mungkid,7.593689,110.240355,1631.0,50.0,latitude sign flipped
3270,KOPERASI DESA MERAH PUTIH BAKALANKRAPYAK KALIWUNGU KUDUS,JAWA TENGAH,KAB. KUDUS,Kaliwungu,6.8007133,110.8268084,1545.0,85.0,latitude sign flipped
32989,KOPERASI DESA MERAH PUTIH SOCO,JAWA TENGAH,KAB. KUDUS,Dawe,6.703496,110.860025,1534.0,94.0,latitude sign flipped
37573,KOPERASI DESA MERAH PUTIH PUCUNG KECAMATAN KISMANTORO KABUPATEN WONOGIRI,JAWA TENGAH,KAB. WONOGIRI,Kismantoro,7.92234,111.249453,1671.0,149.0,latitude sign flipped
38266,KOPERASI KELURAHAN MERAH PUTIH KISMANTORO KECAMATAN KISMANTORO KABUPATEN WONOGIRI,JAWA TENGAH,KAB. WONOGIRI,Kismantoro,7.890454,111.249993,1668.0,147.0,latitude sign flipped
43712,KOPERASI DESA MERAH PUTIH TIRTOMULYO KECAMATAN PLANTUNGAN,JAWA TENGAH,KAB. KENDAL,Plantungan,7.100643,109.966976,1576.0,20.0,latitude sign flipped
69774,KOPERASI DESA MERAH PUTIH PAKURAN KECAMATAN BUAYAN,JAWA TENGAH,KAB. KEBUMEN,Buayan,7.701004,109.465172,1644.0,96.0,latitude sign flipped
73914,KOPERASI DESA MERAH PUTIH JOGOBOYO KECAMATAN PURWODADI,JAWA TENGAH,KAB. PURWOREJO,Purwodadi,7.883067,110.027627,1663.0,82.0,latitude sign flipped
86850,KOPERASI DESA MERAH PUTIH LALETEN,NUSA TENGGARA TIMUR,KAB. MALAKA,Weliman,9.634751,124.862069,2066.0,430.0,latitude sign flipped
64703,KOPERASI DESA MERAH PUTIH KAMPUNG WOMBRISAUW,PAPUA,KAB. BIAK NUMFOR,Swandiwe,85.05112878,-180.0,10062.0,9120.0,unexplained - coordinate is garbage
