as_of,metric,value,unit,outlet,attributed_to,url,quote
2026-06-08,cooperatives_operating,1061,cooperatives,CNN Indonesia,"Muhammad Qodari, Kepala Badan Komunikasi Pemerintah (Bakom)",https://www.cnnindonesia.com/ekonomi/20260611123103-92-1367861/12-ribu-gerai-kopdes-merah-putih-rampung-1061-sudah-beroperasi,"Hingga 8 Juni 2026, sebanyak 1.061 unit Kopdes Merah Putih telah beroperasi, tersebar di dua provinsi, yaitu 530 unit di Jawa Timur dan 531 unit di Jawa Tengah"
2026-06-08,operating_jawa_timur,530,cooperatives,CNN Indonesia,"Muhammad Qodari (Bakom)",https://www.cnnindonesia.com/ekonomi/20260611123103-92-1367861/12-ribu-gerai-kopdes-merah-putih-rampung-1061-sudah-beroperasi,"530 unit di Jawa Timur"
2026-06-08,operating_jawa_tengah,531,cooperatives,CNN Indonesia,"Muhammad Qodari (Bakom)",https://www.cnnindonesia.com/ekonomi/20260611123103-92-1367861/12-ribu-gerai-kopdes-merah-putih-rampung-1061-sudah-beroperasi,"531 unit di Jawa Tengah"
2026-06-11,outlets_construction_complete,12232,outlets,CNN Indonesia,"Muhammad Qodari (Bakom)",https://www.cnnindonesia.com/ekonomi/20260611123103-92-1367861/12-ribu-gerai-kopdes-merah-putih-rampung-1061-sudah-beroperasi,"12 ribu gerai Kopdes Merah Putih rampung"
2026-07-31,transaction_value_idr,157900000000,IDR,Liputan6,"Zulkifli Hasan (Menko Pangan); Andi Amran Sulaiman (Mentan)",https://www.liputan6.com/bisnis/read/8258962/data-terbaru-total-koperasi-desa-merah-putih-83382-transaksi-rp-1579-miliar,"Volume transaksi di Koperasi Desa Merah Putih telah mencapai 67.664 dengan nilai transaksi Rp 157,9 miliar"
2026-07-31,transaction_count,67664,transactions,Liputan6,"Zulkifli Hasan; Andi Amran Sulaiman",https://www.liputan6.com/bisnis/read/8258962/data-terbaru-total-koperasi-desa-merah-putih-83382-transaksi-rp-1579-miliar,"Volume transaksi ... telah mencapai 67.664"
2026-07-31,cooperatives_total,83382,cooperatives,Liputan6,"Zulkifli Hasan; Andi Amran Sulaiman",https://www.liputan6.com/bisnis/read/8258962/data-terbaru-total-koperasi-desa-merah-putih-83382-transaksi-rp-1579-miliar,"Total Koperasi Desa Merah Putih 83.382"
2026-07-31,cooperatives_with_account,79708,cooperatives,Liputan6,"Zulkifli Hasan; Andi Amran Sulaiman",https://www.liputan6.com/bisnis/read/8258962/data-terbaru-total-koperasi-desa-merah-putih-83382-transaksi-rp-1579-miliar,"Koperasi telah memiliki akun 79.708"
2026-08-09,transaction_value_idr,179720000000,IDR,Liputan6,dashboard SIMKOPDES,https://www.liputan6.com/bisnis/read/8265525/transaksi-koperasi-merah-putih-tembus-rp-179-miliar-beras-terlaris,"Total nilai transaksi di Koperasi Merah Putih telah menembus angka fantastis Rp 179,72 miliar dari keseluruhan 71.454 kali volume transaksi"
2026-08-09,transaction_count,71454,transactions,Liputan6,dashboard SIMKOPDES,https://www.liputan6.com/bisnis/read/8265525/transaksi-koperasi-merah-putih-tembus-rp-179-miliar-beras-terlaris,"71.454 kali volume transaksi"
2026-08-09,top_product_sphp_rice_value,71850000000,IDR,Liputan6,dashboard SIMKOPDES,https://www.liputan6.com/bisnis/read/8265525/transaksi-koperasi-merah-putih-tembus-rp-179-miliar-beras-terlaris,"Beras SPHP kokoh berada di posisi puncak sebagai barang terlaris dengan nilai transaksi mencapai Rp 71,85 miliar"
