cluster_id,size,province,n_districts,centroid_lat,centroid_lon,median_m_to_nearest_other,n_linked,sum_transaction_value,n_reporting
88728b8695fffff,17,PAPUA PEGUNUNGAN,1,-4.094640682352941,138.94576414117648,5.399136128319094,0,0.0,0
88728b86ddfffff,12,PAPUA PEGUNUNGAN,1,-4.073160933333333,138.9289505,0.24358157172611686,0,0.0,0
8865541b6bfffff,8,ACEH,1,3.7204971675,96.81959705625,214.06874737488135,6,0.0,0
888cd542adfffff,7,JAMBI,1,-1.9894386771428572,101.37207515714285,253.7285043888047,7,0.0,0
8868c81243fffff,6,SULAWESI UTARA,1,1.4911361550000002,124.84741533333333,299.2627298237272,1,0.0,0
888cd54253fffff,6,JAMBI,1,-2.0362766716666667,101.40348026666668,151.056158195756,5,0.0,0
88728b868bfffff,6,PAPUA PEGUNUNGAN,1,-4.086364933333333,138.93777431666666,0.26875293734655964,0,0.0,0
888cd540c5fffff,6,JAMBI,1,-1.9665766666666666,101.35191793333333,175.8626876615919,6,0.0,0
88728b86b9fffff,5,PAPUA PEGUNUNGAN,2,-4.10153543,138.93861479,0.4119367298732519,0,0.0,0
8895008125fffff,5,SULAWESI SELATAN,1,-5.162356632,119.40678957999998,226.45292061850603,4,100583750.0,2
886552b999fffff,5,ACEH,1,5.365124698000001,95.918586938,267.9211505245667,1,0.0,0
889500810bfffff,5,SULAWESI SELATAN,1,-5.129077447999999,119.42236313999999,225.06856251997112,4,44000000.0,1
887390d9d7fffff,5,MALUKU UTARA,1,0.783481132,127.38530659999999,310.2738388850603,1,0.0,0
8865295623fffff,5,SUMATERA UTARA,1,1.37624274,99.27157883800001,301.6843537621506,5,726140000.0,2
88728831c7fffff,5,PAPUA PEGUNUNGAN,1,-3.676858894,138.474471394,151.62065308633376,1,0.0,0
8872883185fffff,5,PAPUA PEGUNUNGAN,1,-3.692987212,138.482776328,232.6435581466158,2,0.0,0
888cab6203fffff,5,SUMATERA SELATAN,1,-2.9809329460000002,104.764562914,229.82115930134285,1,0.0,0
888d808f43fffff,5,JAWA TIMUR,1,-7.1546130660000005,112.65497596,275.2111179736587,4,130662000.0,2
88650dd281fffff,5,SUMATERA UTARA,1,2.9473356859999997,99.061869824,285.5380579759992,3,0.0,0
888cf061c7fffff,5,BENGKULU,1,-3.464648544,102.53033293399999,343.5169637436348,5,0.0,0
888cf2b0c9fffff,5,SUMATERA SELATAN,1,-3.293450644,102.86385576,371.8260401803751,4,2748000.0,1
888cf021b1fffff,5,BENGKULU,1,-3.78911786,102.25288716,339.4506944699379,5,0.0,0
8865099435fffff,4,ACEH,1,3.4464373025,97.8510185675,394.7078766624452,1,0.0,0
886509842dfffff,4,ACEH,1,3.56277906,97.75936862500001,360.01970511000434,2,0.0,0
8895008139fffff,4,SULAWESI SELATAN,1,-5.1440368425,119.4301267825,328.4024332332701,3,302280000.0,1
8895008143fffff,4,SULAWESI SELATAN,1,-5.11880564,119.412773075,262.63572700266195,1,10490000.0,1
886552b8e7fffff,4,ACEH,1,5.34198221,95.92150300750001,358.51405400896243,3,0.0,0
8865099439fffff,4,ACEH,1,3.4309983849999997,97.84801623749999,385.7578033921044,1,0.0,0
8895008155fffff,4,SULAWESI SELATAN,1,-5.1217538925,119.42001942499999,265.06219026451856,3,0.0,0
8865560201fffff,4,ACEH,1,4.75635328,96.9143346675,289.34254307160774,2,0.0,0
886554d531fffff,4,ACEH,1,3.55964419,96.9929849,257.98526090466646,4,0.0,0
886553c9c1fffff,4,ACEH,1,5.515919925,95.389711375,417.67282904697663,4,0.0,0
886553c9bbfffff,4,ACEH,2,5.5406749975,95.3506248875,443.59450384389845,4,0.0,0
8895008107fffff,4,SULAWESI SELATAN,1,-5.14330845,119.421152625,313.32381150755344,2,126500000.0,1
886553c91bfffff,4,ACEH,1,5.5116087325,95.40912281749999,512.0928432937101,3,0.0,0
8895008101fffff,4,SULAWESI SELATAN,1,-5.1360644825,119.419313775,293.0835814987861,1,6668000.0,1
8895008103fffff,4,SULAWESI SELATAN,1,-5.1364414175,119.42736115,330.50242067058394,3,0.0,0
886553c839fffff,4,ACEH,1,5.4818654075,95.38675648,350.12713429438986,4,0.0,0
88655291e3fffff,4,ACEH,1,5.1917485575,96.3538788325,275.7186242754228,4,0.0,0
88650995ddfffff,4,ACEH,1,3.4544939375,97.8353879,199.93893051494086,4,0.0,0
886553c849fffff,4,ACEH,1,5.4492273775,95.42248991,385.5655900013172,4,0.0,0
886553c805fffff,4,ACEH,1,5.4811441075,95.4077550625,356.9117303415083,4,0.0,0
886552b9e1fffff,4,ACEH,1,5.3860517525,95.9618840375,322.284734063765,1,0.0,0
886552b9bbfffff,4,ACEH,1,5.3886421625,95.9163962625,458.38275810996385,3,0.0,0
886552b9d1fffff,4,ACEH,1,5.3566548075,95.9314846625,353.3747353699208,2,0.0,0
8865095181fffff,4,ACEH,1,4.2824632225,98.05856462,415.38195891670216,4,0.0,0
886552b857fffff,4,ACEH,1,5.3066145075,95.9566630775,462.65253149820296,4,0.0,0
887288318dfffff,4,PAPUA PEGUNUNGAN,1,-3.6882505775,138.4779046775,212.0816536210632,1,0.0,0
88728831e7fffff,4,PAPUA PEGUNUNGAN,1,-3.7016955649999996,138.4693949675,173.97035069716875,0,0.0,0
8868c85697fffff,4,SULAWESI UTARA,1,1.15106839,124.8307920125,141.68143279866823,4,0.0,0
88689e3547fffff,4,KALIMANTAN SELATAN,1,-2.41598312,115.261631075,251.10825310071033,2,17280000.0,1
88728b86d5fffff,4,PAPUA PEGUNUNGAN,1,-4.07844625,138.93282375,116.31577568039833,0,0.0,0
8872880087fffff,4,PAPUA TENGAH,2,-3.70250443,138.2025072875,278.2533666620636,3,0.0,0
88728831ebfffff,4,PAPUA PEGUNUNGAN,1,-3.68616884,138.471670055,226.7654022846955,0,0.0,0
8868c8030dfffff,4,SULAWESI UTARA,1,1.300978,124.90826945,313.70197730730797,1,0.0,0
88652d6e31fffff,4,SUMATERA UTARA,1,0.8613800549999999,99.5622264525,299.3840540702093,1,0.0,0
886552831bfffff,4,ACEH,1,5.2274302125,96.28386153,285.1149849157441,2,0.0,0
8865726e69fffff,4,ACEH,1,3.3113447525,97.148216475,292.2487859373945,3,0.0,0
8865565231fffff,4,ACEH,1,5.0195190775,97.270214365,363.77348991348043,3,0.0,0
88655226d7fffff,4,ACEH,1,5.5662029125,95.3970259075,256.5972729631828,2,0.0,0
88655664e5fffff,4,ACEH,1,5.1884878075,96.495567185,332.3396996466189,4,0.0,0
88650dd2a9fffff,4,SUMATERA UTARA,1,2.9629366299999997,99.072599665,253.90425203717024,1,0.0,0
887390d981fffff,4,MALUKU UTARA,1,0.768776025,127.37361225000001,466.3528938320916,2,0.0,0
88739080a5fffff,4,MALUKU UTARA,1,1.153933345,127.8313650425,359.6249104595818,2,0.0,0
888d8558e3fffff,4,JAWA TIMUR,1,-7.518591495,112.55884865,280.47142954992904,4,0.0,0
888d816891fffff,4,JAWA TENGAH,1,-6.70014032,111.3222891,284.3710366764727,4,0.0,0
888d843195fffff,4,JAWA TIMUR,1,-7.633786499999999,112.906877,289.27396115257733,4,828000.0,1
8872b240b3fffff,4,MALUKU,1,-4.0650407875,131.44475325000002,405.73683004012184,2,0.0,0
8872aa40cbfffff,4,PAPUA,2,-2.2116139974999998,136.4169052525,15.126076013948616,1,0.0,0
88728b8683fffff,4,PAPUA PEGUNUNGAN,2,-4.093783855,138.93891922,283.25594023767394,1,0.0,0
88650dd285fffff,4,SUMATERA UTARA,1,2.954394705,99.06801638,248.61884944697496,1,0.0,0
888cf3c5ebfffff,4,BENGKULU,1,-3.121877965,102.19870900000001,303.00713531068277,4,0.0,0
888cf6a895fffff,4,SUMATERA SELATAN,1,-3.785602775,103.542276775,350.39561051993576,2,13750000.0,1
888cf6ade7fffff,4,SUMATERA SELATAN,1,-3.7639911625,103.4566689,168.00879090070947,4,0.0,0
888cab620bfffff,4,SUMATERA SELATAN,1,-2.9883748875,104.767355675,289.9300031818756,1,0.0,0
888cadb80bfffff,4,LAMPUNG,1,-5.4420727675,105.26941815,428.615727461573,2,0.0,0
888cab621dfffff,4,SUMATERA SELATAN,1,-2.9886940975,104.75770295,365.53567743392847,2,0.0,0
888cadb9cbfffff,4,LAMPUNG,1,-5.4060664175,105.262388775,291.1209578072619,1,0.0,0
888d808f55fffff,4,JAWA TIMUR,1,-7.154022765000001,112.64972159999999,227.10755037862987,4,34800000.0,1
888cf6ada9fffff,4,SUMATERA SELATAN,1,-3.7613856500000002,103.450167775,83.68282174232156,3,0.0,0
888cd542e1fffff,4,JAMBI,1,-2.0052631775,101.3792329,349.9472614801154,4,0.0,0
888cd542e7fffff,4,JAMBI,1,-1.99471026,101.37588769,292.0029111184898,4,0.0,0
888cded9adfffff,4,SUMATERA BARAT,1,-0.622840625,100.122722575,412.91946585922585,4,0.0,0
888cf02187fffff,4,BENGKULU,1,-3.7958210775,102.264780175,301.2949612011224,2,0.0,0
88650c34edfffff,4,SUMATERA UTARA,1,3.3308340475,99.1575390875,395.52895647737967,4,0.0,0
88650c95a1fffff,4,SUMATERA UTARA,1,2.968661065,99.7992748975,344.2083161359758,4,0.0,0
88650c95adfffff,4,SUMATERA UTARA,1,2.96834984,99.80602011,362.7859322876241,2,0.0,0
889500815dfffff,4,SULAWESI SELATAN,1,-5.113952687499999,119.41939729500001,269.9295202512336,2,0.0,0
8895216421fffff,4,SULAWESI SELATAN,1,-2.9750186425,119.895100375,436.94153385474806,4,0.0,0
8895761811fffff,4,SULAWESI TENGGARA,1,-4.0237002275,122.992634375,318.6304068613365,4,0.0,0
886552b8e9fffff,4,ACEH,1,5.324417365,95.9314350275,372.67348182880295,4,0.0,0
886552b81dfffff,4,ACEH,1,5.3157225025,95.9520922775,318.4371296481306,4,0.0,0
8865098759fffff,4,ACEH,1,3.5043846725,97.8045827025,303.91307335995714,1,0.0,0
8895008151fffff,3,SULAWESI SELATAN,1,-5.112723576666666,119.42665056666668,266.33189822059876,1,3956400.0,1
886552b8e5fffff,3,ACEH,1,5.340693703333333,95.92945682666668,477.0400073192398,3,0.0,0
886552b981fffff,3,ACEH,1,5.378063826666666,95.94027171333335,480.2150453368973,2,0.0,0
886552b95dfffff,3,ACEH,1,5.35014065,96.00490595333333,541.1233364528744,3,0.0,0
886552b95bfffff,3,ACEH,1,5.344373569999999,95.99132971333334,406.88879786131776,2,0.0,0
