cooperative_id,name,province,district,subdistrict,latitude,longitude,type,n_at_coord
84,KOPERASI DESA MERAH PUTIH SUMBERKOLAK,JAWA TIMUR,KAB. SITUBONDO,Panarukan,-6.2,106.8,exact_duplicate_coordinate,11
88,KOPERASI DESA MERAH PUTIH SUKAMELANG KECAMATAN KROYA,JAWA BARAT,KAB. INDRAMAYU,Kroya,-6.2,106.8,exact_duplicate_coordinate,11
91,KOPERASI DESA MERAH PUTIH MUARADUA KECAMATAN KADUDAMPIT KABUPATEN SUKABUMI,JAWA BARAT,KAB. SUKABUMI,Kadudampit,-6.2,106.8,exact_duplicate_coordinate,11
93,KOPERASI KELURAHAN MERAH PUTIH SUNGAIJAWI DALAM,KALIMANTAN BARAT,KOTA PONTIANAK,Pontianak Barat,-6.2,106.8,exact_duplicate_coordinate,11
100,KOPERASI DESA MERAH PUTIH TANJUNGSARI KECAMATAN CURUGKEMBAR,JAWA BARAT,KAB. SUKABUMI,Curugkembar,-6.2,106.8,exact_duplicate_coordinate,11
1000,KOPERASI DESA MERAH PUTIH KAHURIPAN JAYA KECAMATAN BANJAR BARU,LAMPUNG,KAB. TULANG BAWANG,Banjar Baru,-6.2,106.8,exact_duplicate_coordinate,11
1544,KOPERASI DESA MERAH PUTIH SUKARENA KECAMATAN SUKA KARYA,SUMATERA SELATAN,KAB. MUSI RAWAS,Suka Karya,-6.2,106.8,exact_duplicate_coordinate,11
10000,KOPERASI DESA MERAH PUTIH MUARA PADANG,SUMATERA SELATAN,KAB. BANYUASIN,Muara Padang,-6.2,106.8,exact_duplicate_coordinate,11
63682,KOPERASI DESA MERAH PUTIH CLAPAR KECAMATAN BAGELEN,JAWA TENGAH,KAB. PURWOREJO,Bagelen,-6.2,106.8,exact_duplicate_coordinate,11
80000,KOPERASI DESA MERAH PUTIH TALIKURAN KECAMATAN KAKAS,SULAWESI UTARA,KAB. MINAHASA,Kakas,-6.2,106.8,exact_duplicate_coordinate,11
94135,KOPERASI DESA MERAH PUTIH KAMPUNG AUKUNI DISTRIK TELENGGEME,PAPUA PEGUNUNGAN,KAB. TOLIKARA,Telenggeme,-6.2,106.8,exact_duplicate_coordinate,11
92876,KOPERASI DESA MERAH PUTIH LUAREN,PAPUA PEGUNUNGAN,KAB. NDUGA,Wutpaga,-4.042087,138.223751,exact_duplicate_coordinate,7
93154,KOPERASI DESA MERAH PUTIH MULI,PAPUA PEGUNUNGAN,KAB. NDUGA,Wutpaga,-4.042087,138.223751,exact_duplicate_coordinate,7
93155,KOPERASI DESA MERAH PUTIH TINIGELE,PAPUA PEGUNUNGAN,KAB. NDUGA,Wutpaga,-4.042087,138.223751,exact_duplicate_coordinate,7
93156,KOPERASI DESA MERAH PUTIH WUONE,PAPUA PEGUNUNGAN,KAB. NDUGA,Wutpaga,-4.042087,138.223751,exact_duplicate_coordinate,7
93157,KOPERASI DESA MERAH PUTIH WUTPAGA,PAPUA PEGUNUNGAN,KAB. NDUGA,Wutpaga,-4.042087,138.223751,exact_duplicate_coordinate,7
93202,KOPERASI DESA MERAH PUTIH MUMUGU,PAPUA PEGUNUNGAN,KAB. NDUGA,Krepkuri,-4.042087,138.223751,exact_duplicate_coordinate,7
93205,KOPERASI DESA MERAH PUTIH WANGUN KECAMATAN WUTPAGA,PAPUA PEGUNUNGAN,KAB. NDUGA,Wutpaga,-4.042087,138.223751,exact_duplicate_coordinate,7
86,KOPERASI DESA MERAH PUTIH SELIKA TIGA,BENGKULU,KAB. KAUR,Tanjung Kemuning,-7.250445,112.768845,exact_duplicate_coordinate,5
98,KOPERASI KELURAHAN MERAH PUTIH KALIJUDAN,JAWA TIMUR,KOTA SURABAYA,Mulyorejo,-7.250445,112.768845,exact_duplicate_coordinate,5
101,KOPERASI DESA MERAH PUTIH BENTENG KECAMATAN PANGKALAN BARU,KEPULAUAN BANGKA BELITUNG,KAB. BANGKA TENGAH,Pangkalan Baru,-7.250445,112.768845,exact_duplicate_coordinate,5
500,KOPERASI DESA MERAH PUTIH MEKARJAYA KECAMATAN CIEMAS,JAWA BARAT,KAB. SUKABUMI,Ciemas,-7.250445,112.768845,exact_duplicate_coordinate,5
5000,KOPERASI DESA MERAH PUTIH TETEWUA,SULAWESI TENGGARA,KAB. KOLAKA TIMUR,Dangia,-7.250445,112.768845,exact_duplicate_coordinate,5
9453,KOPERASI DESA MERAH PUTIH OJAN BUA,KALIMANTAN BARAT,KAB. KAPUAS HULU,Kalis,0.60826105,112.9592772,exact_duplicate_coordinate,3
9571,KOPERASI DESA MERAH PUTIH DESA RANTAU KALIS KECAMATAN KALIS,KALIMANTAN BARAT,KAB. KAPUAS HULU,Kalis,0.60826105,112.9592772,exact_duplicate_coordinate,3
9573,KOPERASI DESA MERAH PUTIH RANTAU KALIS,KALIMANTAN BARAT,KAB. KAPUAS HULU,Kalis,0.60826105,112.9592772,exact_duplicate_coordinate,3
13469,KOPERASI DESA MERAH PUTIH SEMELAKO ATAS,BENGKULU,KAB. LEBONG,Lebong Tengah,-3.16763466,102.2492788,exact_duplicate_coordinate,3
15654,KOPERASI DESA MERAH PUTIH SYARIAH TRANS BARU,ACEH,KAB. SIMEULUE,Teupah Selatan,2.35681714,96.4518372,exact_duplicate_coordinate,3
15784,KOPERASI DESA MERAH PUTIH SEMELAKO II,BENGKULU,KAB. LEBONG,Lebong Tengah,-3.16763466,102.2492788,exact_duplicate_coordinate,3
21002,KOPERASI DESA MERAH PUTIH SYARIAH TRANS JERNGE,ACEH,KAB. SIMEULUE,Teupah Selatan,2.35681714,96.4518372,exact_duplicate_coordinate,3
22208,KOPERASI KELURAHAN MERAH PUTIH INOBONTO,SULAWESI UTARA,KAB. BOLAANG MONGONDOW,Bolaang,0.9090916,124.0970955,exact_duplicate_coordinate,3
33512,KOPERASI DESA MERAH PUTIH SYARIAH LATIUNG,ACEH,KAB. SIMEULUE,Teupah Selatan,2.35681714,96.4518372,exact_duplicate_coordinate,3
51767,KOPERASI DESA MERAH PUTIH TANAH PUTIH KECAMATAN TELAWANG,KALIMANTAN TENGAH,KAB. KOTAWARINGIN TIMUR,Telawang,-2.4244444,112.6275833,exact_duplicate_coordinate,3
52101,KOPERASI DESA MERAH PUTIH SYARIAH GAMPONG BAROH,ACEH,KAB. PIDIE,Pidie,5.36175337,95.96727,exact_duplicate_coordinate,3
58057,KOPERASI KELURAHAN MERAH PUTIH BAGAN BATU KOTA KECAMATAN BAGAN SINEMBAH,RIAU,KAB. ROKAN HILIR,Bagansinembah,1.6892683,100.3963334,exact_duplicate_coordinate,3
67817,KOPERASI DESA MERAH PUTIH BAGAN BATU KECAMATAN BAGAN SINEMBAH,RIAU,KAB. ROKAN HILIR,Bagansinembah,1.6892683,100.3963334,exact_duplicate_coordinate,3
70771,KOPERASI DESA MERAH PUTIH BAGAN BATU BARAT KECAMATAN BAGAN SINEMBAH,RIAU,KAB. ROKAN HILIR,Bagansinembah,1.6892683,100.3963334,exact_duplicate_coordinate,3
71658,KOPERASI DESA MERAH PUTIH SYARIAH GAMPONG KAMPONG BARO,ACEH,KAB. PIDIE,Pidie,5.36175337,95.96727,exact_duplicate_coordinate,3
75288,KOPERASI DESA MERAH PUTIH SEMELAKO I,BENGKULU,KAB. LEBONG,Lebong Tengah,-3.16763466,102.2492788,exact_duplicate_coordinate,3
78518,KOPERASI DESA MERAH PUTIH BATUAH KECAMATAN SERANAU,KALIMANTAN TENGAH,KAB. KOTAWARINGIN TIMUR,Seranau,-2.4244444,112.6275833,exact_duplicate_coordinate,3
79510,KOPERASI DESA MERAH PUTIH TERANTANG KECAMATAN SERANAU,KALIMANTAN TENGAH,KAB. KOTAWARINGIN TIMUR,Seranau,-2.4244444,112.6275833,exact_duplicate_coordinate,3
80058,KOPERASI DESA MERAH PUTIH SYARIAH GAMPONG TEUNGOH KECAMATAN GRONG GRONG,ACEH,KAB. PIDIE,Grong-grong,5.36888329,95.90362405,exact_duplicate_coordinate,3
80529,KOPERASI KELURAHAN MERAH PUTIH INOBONTO I KECAMATAN BOLAANG,SULAWESI UTARA,KAB. BOLAANG MONGONDOW,Bolaang,0.9090916,124.0970955,exact_duplicate_coordinate,3
81656,KOPERASI DESA MERAH PUTIH SYARIAH GAMPONG TEUNGOH KECAMATAN GRONG GRONG KABUATEN PIDIE,ACEH,KAB. PIDIE,Grong-grong,5.36888329,95.90362405,exact_duplicate_coordinate,3
83234,KOPERASI DESA MERAH PUTIH NAUW KAMPUNG NAFASI DISTRIK MARE KABUPATEN MAYBRAT,PAPUA BARAT DAYA,KAB. MAYBRAT,Mare,-1.01558856,132.2937248,exact_duplicate_coordinate,3
84541,KOPERASI DESA MERAH PUTIH SYARIAH GAMPONG TEUNGOH KECAMATAN GRONG GRONG KABUPATEN PIDIE,ACEH,KAB. PIDIE,Grong-grong,5.36888329,95.90362405,exact_duplicate_coordinate,3
85484,KOPERASI DESA MERAH PUTIH MAYOR SIBAT KAMPUNG NAFASI DISTRIK MARE KABUPATEN MAYBRAT,PAPUA BARAT DAYA,KAB. MAYBRAT,Mare,-1.01558856,132.2937248,exact_duplicate_coordinate,3
85856,KOPERASI DESA MERAH PUTIH INOBONTO KECAMATAN BOLAANG,SULAWESI UTARA,KAB. BOLAANG MONGONDOW,Bolaang,0.9090916,124.0970955,exact_duplicate_coordinate,3
88016,KOPERASI DESA MERAH PUTIH SYARIAH GAMPONG BAROH KECAMATAN PIDIE KABUPATEN PIDIE,ACEH,KAB. PIDIE,Pidie,5.36175337,95.96727,exact_duplicate_coordinate,3
92121,KOPERASI DESA MERAH PUTIH PUAHUN,PAPUA PEGUNUNGAN,KAB. YAHUKIMO,Sobaham,-1.01558856,132.2937248,exact_duplicate_coordinate,3
194,KOPERASI DESA MERAH PUTIH PARUNG KECAMATAN PARUNG,JAWA BARAT,KAB. BOGOR,Parung,-6.42827029,106.7291248,exact_duplicate_coordinate,2
251,KOPERASI DESA MERAH PUTIH BIS AGATS,PAPUA SELATAN,KAB. ASMAT,Agats,-5.54689528,138.1492912,exact_duplicate_coordinate,2
492,KOPERASI KELURAHAN MERAH PUTIH PALABUHANRATU,JAWA BARAT,KAB. SUKABUMI,Palabuhanratu,-6.99593313,106.5546373,exact_duplicate_coordinate,2
600,KOPERASI DESA MERAH PUTIH PANGKALAN BENTENG KECAMATAN TALANG KELAPA,SUMATERA SELATAN,KAB. BANYUASIN,Talang Kelapa,-2.86407887,104.6676797,exact_duplicate_coordinate,2
1130,KOPERASI DESA MERAH PUTIH CANDI BUMI AYU,SUMATERA SELATAN,KAB. PENUKAL ABAB LEMATANG ILIR,Tanah Abang,-3.3496533,104.0862369,exact_duplicate_coordinate,2
1364,KOPERASI DESA MERAH PUTIH SINUNUKAN I,SUMATERA UTARA,KAB. MANDAILING NATAL,Sinunukan,0.51875604,99.20912034,exact_duplicate_coordinate,2
1366,KOPERASI DESA MERAH PUTIH SINUNUKAN I CENTRAL,SUMATERA UTARA,KAB. MANDAILING NATAL,Sinunukan,0.51875604,99.20912034,exact_duplicate_coordinate,2
