cluster_id,size,province,district,centroid_lat,centroid_lon,member_cooperatives
88728b8695fffff,17,PAPUA PEGUNUNGAN,KAB. JAYAWIJAYA,-4.095560202052681,138.94782752494294,KOPERASI DESA MERAH PUTIH ABONERI | KOPERASI DESA MERAH PUTIH ABULUKMO | KOPERASI DESA MERAH PUTIH ELABOGE | KOPERASI DESA MERAH PUTIH WOGI | KOPERASI KELURAHAN MERAH PUTIH WAMENA KOTA | KOPERASI DESA MERAH PUTIH DUABALEK | KOPERASI DESA MERAH PUTIH FILIA | KOPERASI DESA MERAH PUTIH MULUKMO | KOPERASI DESA MERAH PUTIH WUKAHILAPOK | KOPERASI DESA MERAH PUTIH WITALAK | KOPERASI DESA MERAH PUTIH YABEM | KOPERASI DESA MERAH PUTIH ISUGUNIK | KOPERASI DESA MERAH PUTIH ALEAK | KOPERASI DESA MERAH PUTIH INANEKELOK | KOPERASI DESA MERAH PUTIH LANDIA | KOPERASI DESA MERAH PUTIH HEATNEM | KOPERASI DESA MERAH PUTIH HITELOWA
88728b86ddfffff,12,PAPUA PEGUNUNGAN,KAB. LANNY JAYA,-4.068984333164783,138.92960151411162,KOPERASI DESA MERAH PUTIH GENENA | KOPERASI DESA MERAH PUTIH DANGGUNI | KOPERASI DESA MERAH PUTIH KABIGA | KOPERASI DESA MERAH PUTIH TEKUL | KOPERASI DESA MERAH PUTIH TIMOLOME | KOPERASI DESA MERAH PUTIH WUNIME | KOPERASI DESA MERAH PUTIH KARUNGGAME | KOPERASI DESA MERAH PUTIH KULOGONGGAME | KOPERASI DESA MERAH PUTIH KAMPUNG PONALO | KOPERASI DESA MERAH PUTIH KAMPUNG DUGU DUGU | KOPERASI DESA MERAH PUTIH KAMPUNG ILUNGGIJIME | KOPERASI DESA MERAH PUTIH KAMPUNG KOLARI
8865541b6bfffff,8,ACEH,KAB. ACEH BARAT DAYA,3.7201798867209495,96.82097395759382,KOPERASI DESA MERAH PUTIH SYARIAH BAHARU KECAMATAN SUSOH | KOPERASI DESA MERAH PUTIH SYARIAH PALAK HILIR | KOPERASI DESA MERAH PUTIH SYARIAH GAMPONG DURIAN JANGEK | KOPERASI DESA MERAH PUTIH SYARIAH GAMPONG PINANG | KOPERASI DESA MERAH PUTIH SYARIAH KEDAI SUSOH | KOPERASI DESA MERAH PUTIH SYARIAH PALAK HULU | KOPERASI DESA MERAH PUTIH SYARIAH KEDAI PALAK KERAMBIL | KOPERASI DESA MERAH PUTIH SYARIAH RUMAH DUA LAPIS
888cd542adfffff,7,JAMBI,KAB. KERINCI,-1.9895146881233514,101.37127735720729,KOPERASI DESA MERAH PUTIH HAMPARAN PUGU | KOPERASI DESA MERAH PUTIH KOTO DATUK | KOPERASI DESA MERAH PUTIH KOTO MUDIK | KOPERASI DESA MERAH PUTIH PUGU | KOPERASI DESA MERAH PUTIH KOTO TENGAH KECAMATAN AIR HANGAT BARAT | KOPERASI DESA MERAH PUTIH KOTO CAYO | KOPERASI DESA MERAH PUTIH KOTO DUA BARU
88728b868bfffff,6,PAPUA PEGUNUNGAN,KAB. JAYAWIJAYA,-4.0856991145561015,138.93581975195008,KOPERASI DESA MERAH PUTIH PIRAMID DISTRIK PIRAMID | KOPERASI DESA MERAH PUTIH KOMBAGWE | KOPERASI DESA MERAH PUTIH LOGOTPAGA | KOPERASI DESA MERAH PUTIH KAMPUNG KEWIN | KOPERASI DESA MERAH PUTIH APNAE | KOPERASI DESA MERAH PUTIH KAMPUNG BATU MERAH
8868c81243fffff,6,SULAWESI UTARA,KOTA MANADO,1.4908808591134297,124.84623152251504,KOPERASI KELURAHAN MERAH PUTIH LAWANGIRUNG | KOPERASI KELURAHAN MERAH PUTIH ISTIQLAL KECAMATAN WENANG | KOPERASI KELURAHAN MERAH PUTIH PINAESAAN KECAMATAN WENANG | KOPERASI KELURAHAN MERAH PUTIH KOMO LUAR | KOPERASI KELURAHAN MERAH PUTIH KARAME | KOPERASI KELURAHAN MERAH PUTIH WAWONASA
888cd54253fffff,6,JAMBI,KOTA SUNGAI PENUH,-2.0370422879065924,101.40237256544651,KOPERASI DESA MERAH PUTIH KOTO TELUK | KOPERASI DESA MERAH PUTIH KOTO DIAN KECAMATAN HAMPARAN RAWANG | KOPERASI DESA MERAH PUTIH MALIKI AIR | KOPERASI DESA MERAH PUTIH DUSUN DIILIR | KOPERASI DESA MERAH PUTIH CEMPAKA KECAMATAN HAMPARAN RAWANG | KOPERASI DESA MERAH PUTIH SRIMENANTI KECAMATAN KOTO BARU
888cd540c5fffff,6,JAMBI,KAB. KERINCI,-1.9654312028967527,101.35131679805544,KOPERASI DESA MERAH PUTIH PASAR SIULAK GEDANG | KOPERASI DESA MERAH PUTIH KOTO BERINGIN | KOPERASI DESA MERAH PUTIH DUSUN BARU KECAMATAN SIULAK | KOPERASI DESA MERAH PUTIH DUSUN DALAM | KOPERASI DESA MERAH PUTIH SIULAK PANJANG | KOPERASI DESA MERAH PUTIH SENIMPIK
88728831c7fffff,5,PAPUA PEGUNUNGAN,KAB. TOLIKARA,-3.6784354738994582,138.47566541110191,KOPERASI DESA MERAH PUTIH KAMPUNG YILOGONIME DISTRIK NELAWI | KOPERASI DESA MERAH PUTIH KAMPUNG GININGGADONAK DISTRIK KARUBAGA | KOPERASI DESA MERAH PUTIH KAMPUNG NALORINI DISTRIK KARUBAGA | KOPERASI DESA MERAH PUTIH KAMPUNG GURIKAGEWA DISTRIK KARUBAGA | KOPERASI DESA MERAH PUTIH KAMPUNG MUARA DISTRIK KARUBAGA
886552b999fffff,5,ACEH,KAB. PIDIE,5.364748492690161,95.9193519332556,KOPERASI DESA MERAH PUTIH SYARIAH GAMPONG SAGOE | KOPERASI DESA MERAH PUTIH SYARIAH GAMPONG SEUKEUM KECAMATAN DELIMA | KOPERASI DESA MERAH PUTIH SYARIAH GAMPONG RUSEB KECAMATAN DELIMA | KOPERASI DESA MERAH PUTIH SYARIAH GAMPONG SIRONG | KOPERASI DESA MERAH PUTIH SYARIAH GAMPONG JEULEUPEE
