province,villages,pct_any_savings,pct_pokok,pct_wajib,total_savings,total_tx_value,average_health_index,health_status
DAERAH ISTIMEWA YOGYAKARTA,438,31.28,29.91,26.03,550206000,1087498440,56,unhealthy
JAWA BARAT,5952,22.61,21.15,17.69,6497051499,15944469949,55,unhealthy
BANTEN,1548,21.83,20.09,17.18,3084829020,7513811312,54,unhealthy
BALI,716,21.37,20.81,17.18,1267766000,1327063562,55,unhealthy
JAWA TENGAH,8519,21.12,20.03,16.4,5884232410,22128252291,55,unhealthy
DKI JAKARTA,267,19.85,19.1,15.73,521085000,4679971659,57,unhealthy
KALIMANTAN SELATAN,2012,19.23,18.24,15.21,3175835110,1719659580,54,unhealthy
NUSA TENGGARA BARAT,1164,18.73,18.13,12.03,987402480,378719879,54,unhealthy
SUMATERA BARAT,1255,18.41,17.77,13.55,700235100,3508997860,55,unhealthy
JAWA TIMUR,8491,17.8,16.88,13.64,4549433100,70335841885,55,unhealthy
NUSA TENGGARA TIMUR,3436,16.24,15.66,11.29,2317764423,6708340968,54,unhealthy
JAMBI,1581,15.75,15.37,11.45,614772000,44408200,53,unhealthy
GORONTALO,728,14.97,14.42,7.69,212980025,66207250,53,unhealthy
SULAWESI BARAT,648,14.2,13.73,8.64,239090060,81520868,53,unhealthy
LAMPUNG,2650,14.0,13.06,10.26,1514309101,6752593880,54,unhealthy
SUMATERA SELATAN,3257,12.65,12.1,9.89,1196936679,10881391900,54,unhealthy
RIAU,1858,12.22,11.57,7.97,750487978,89912000,52,unhealthy
KEPULAUAN BANGKA BELITUNG,393,12.21,11.45,8.4,98885230,414000,54,unhealthy
KALIMANTAN TIMUR,1037,11.57,10.8,9.55,523377000,2167682289,53,unhealthy
SULAWESI SELATAN,3057,11.19,10.63,7.49,1058125080,1138175100,54,unhealthy
SULAWESI TENGGARA,2263,9.72,9.41,6.36,788964130,25220100,53,unhealthy
KEPULAUAN RIAU,407,9.09,8.85,6.63,112020000,0,53,unhealthy
SULAWESI UTARA,1828,9.03,8.81,5.74,506516790,232867000,53,unhealthy
BENGKULU,1497,8.02,7.88,6.01,204722685,306708880,52,unhealthy
SULAWESI TENGAH,1979,7.43,7.12,5.0,405340860,155493760,53,unhealthy
KALIMANTAN TENGAH,1542,5.9,5.64,4.54,372660000,4829024960,51,unhealthy
SUMATERA UTARA,6093,5.32,5.01,3.4,692948375,9733795900,52,unhealthy
ACEH,6485,4.95,4.8,3.07,432249260,510343085,53,unhealthy
KALIMANTAN BARAT,2143,4.43,4.29,3.59,406175070,5354937095,52,unhealthy
KALIMANTAN UTARA,410,3.41,3.41,2.93,56900450,1231127000,52,unhealthy
PAPUA,978,3.17,3.07,1.84,68645050,289785600,52,unhealthy
PAPUA BARAT,822,2.8,2.43,1.82,13085000,108326000,51,unhealthy
MALUKU,1231,2.76,2.6,1.71,72830000,196965360,51,unhealthy
MALUKU UTARA,1185,2.36,2.03,1.52,191690000,29805000,52,unhealthy
PAPUA TENGAH,1195,0.75,0.75,0.25,14685000,0,52,unhealthy
PAPUA BARAT DAYA,1010,0.69,0.69,0.4,22081000,0,52,unhealthy
PAPUA SELATAN,639,0.47,0.31,0.47,2920000,0,50,unhealthy
PAPUA PEGUNUNGAN,2355,0.08,0.08,0.04,180000,0,53,unhealthy
