product,value,volume,n_provinces,share_of_value
BERAS SPHP,89243253575.0,7970684,26,47.64
MINYAK GORENG,47129856178.96,3223180,26,25.16
Pupuk NPK Phonska,15093971120.0,8178743,24,8.06
BARANG LAINNYA,13392491873.41,741875,29,7.15
Pupuk Urea N 46%,11234968800.0,6184914,23,6.0
BERAS,3655066362.34,178364,26,1.95
BERAS MEDIUM SPHP 5 KG,2963764253.0,64247,28,1.58
GULA DN,1217994550.0,72860,22,0.65
SUSU ULTRAMILK 125 ML,527020000.0,4054,1,0.28
SUNCO MINYAK GORENG POUCH 2L,519358805.74,11468,1,0.28
GAS LPG 3 KG,482191031.0,25831,17,0.26
TELUR AYAM,408636900.0,6893,6,0.22
SUSU FRISIAN FLAG 110 ML,388585000.0,3379,1,0.21
GULA KTM 1KG,285098230.87,16222,1,0.15
Pupuk NPK Formula Khusus,220611600.0,83565,4,0.12
Pupuk Organik Granul,119877760.0,187309,9,0.06
MINYAK KITA 1 LITER,96334100.45,5998,2,0.05
MINYAK GORENG BIMOLI 5L,76625000.0,613,1,0.04
MINYAK KITA REFILL 1L,47428700.0,2591,6,0.03
SUSU CLEVO,44965000.0,391,1,0.02
MINYAK GORENG BANTAL POUCH MINYAK KITA 1L,36188900.0,1709,5,0.02
RINSO ANTI NODA+MOLTO CLASSIC FRESH BAG 770GR,33143000.0,1251,1,0.02
TEPUNG TERIGU,19324000.0,2260,2,0.01
FORTUNE PILLOW PACK 1LT,14852500.0,650,1,0.01
Pupuk Amonium Sulfat ZA,13600000.0,10000,1,0.01
MINYAK KITA 1L,12842600.0,818,2,0.01
PUPUK,12110000.0,335,4,0.01
PSM GULA PASIR 1KG,7204750.0,481,4,0.0
GAS LPG 12 KG,3945000.0,16,2,0.0
KAPAL API KOPI SUSU 10+1X31G,3387000.0,55,1,0.0
BRIGHT GAS 5.5 KG,3130000.0,25,1,0.0
MINYAK KITA PCH 1 LT,3009960.0,180,1,0.0
GULA NUSA KITA 1KG,1782500.0,46,1,0.0
MINYAK KITA REFILL POUCH 1L,740600.0,46,1,0.0
MINYAK KITA BOTOL 1L,460000.0,23,1,0.0
MINYAK KITA 2 LITER,204100.0,13,1,0.0
TERIGU GATOTKACA 1KG,204000.0,12,1,0.0
LE MINERAL 600ML,165000.0,3,1,0.0
GARAM KAPAL SSD 1 PCS,108000.0,9,1,0.0
ULTRA MILK UHT COKLAT 250ML,68000.0,8,1,0.0
MINYAK GORENG SAWIT MINYAKITA KARTON POUCH 2 LITER,37000.0,1,1,0.0
2KELINCI KACANG GARING 145G(S),6000.0,1,1,0.0
