province,cooking_oil,dairy,fertilizer,lpg,other,rice,sugar
ACEH,0.86,0.0,64.76,0.01,1.01,33.36,0.0
BALI,15.47,0.0,14.28,0.72,12.67,56.85,0.0
BANTEN,87.47,0.05,0.0,1.26,5.1,5.49,0.63
BENGKULU,0.0,0.0,100.0,0.0,0.0,0.0,0.0
DAERAH ISTIMEWA YOGYAKARTA,4.04,0.0,92.01,0.0,0.85,3.03,0.08
DKI JAKARTA,62.98,0.0,0.0,0.3,7.04,29.68,0.0
GORONTALO,0.83,0.0,0.0,0.0,36.59,60.94,1.64
JAMBI,0.28,0.0,63.59,0.36,27.53,8.15,0.08
JAWA BARAT,23.64,0.0,9.15,0.0,9.87,56.97,0.37
JAWA TENGAH,37.2,0.0,20.02,0.85,4.27,36.22,1.43
JAWA TIMUR,21.34,0.0,7.17,0.0,4.76,65.49,1.24
KALIMANTAN BARAT,16.67,0.0,2.75,0.0,1.71,78.59,0.28
KALIMANTAN SELATAN,1.87,0.0,88.61,2.48,6.29,0.46,0.3
KALIMANTAN TENGAH,43.52,0.0,43.91,0.12,0.04,12.41,0.0
KALIMANTAN TIMUR,15.53,0.0,3.68,0.01,0.98,79.13,0.66
KALIMANTAN UTARA,5.09,0.0,0.0,0.0,74.84,19.6,0.47
KEPULAUAN BANGKA BELITUNG,0.0,0.0,100.0,0.0,0.0,0.0,0.0
LAMPUNG,0.0,0.0,97.54,0.56,1.05,0.84,0.0
MALUKU,1.18,0.0,18.58,0.0,0.0,80.15,0.09
MALUKU UTARA,0.0,0.0,0.0,0.0,100.0,0.0,0.0
NUSA TENGGARA BARAT,42.54,0.0,0.0,0.0,10.29,46.06,1.1
NUSA TENGGARA TIMUR,6.54,10.01,0.0,0.0,46.31,37.13,0.0
PAPUA,0.99,0.0,79.95,0.0,10.16,8.74,0.16
PAPUA BARAT,14.42,0.0,61.49,0.0,0.0,23.09,1.0
PAPUA BARAT DAYA,17.72,0.0,0.0,0.0,0.0,81.19,1.08
PAPUA PEGUNUNGAN,0.0,0.0,0.0,0.0,0.0,100.0,0.0
PAPUA SELATAN,85.88,0.0,0.0,0.0,0.0,0.0,14.12
PAPUA TENGAH,0.0,0.0,0.0,0.0,0.0,100.0,0.0
RIAU,12.75,0.0,49.0,3.89,16.42,17.94,0.0
SULAWESI BARAT,66.34,0.0,0.0,11.23,5.33,7.01,10.1
SULAWESI SELATAN,11.48,0.0,7.82,0.1,2.32,77.66,0.62
SULAWESI TENGAH,33.17,0.0,60.88,0.0,0.21,5.08,0.66
SULAWESI TENGGARA,3.51,0.0,0.0,0.0,19.57,76.5,0.42
SULAWESI UTARA,64.28,0.0,4.53,0.0,22.66,5.76,2.77
SUMATERA BARAT,59.99,0.0,22.24,0.0,8.36,8.14,1.28
SUMATERA SELATAN,8.67,0.0,14.19,0.12,0.13,76.17,0.72
SUMATERA UTARA,33.91,0.0,3.17,0.04,0.02,62.47,0.38
