province,product,category,value,province_total_value,top_product_share
JAWA TIMUR,BERAS SPHP,rice,33802686700.0,55305507718.55,61.12
JAWA TENGAH,MINYAK GORENG,cooking_oil,8214620600.0,22070594191.0,37.22
JAWA BARAT,BERAS SPHP,rice,8500800000.0,15912402649.0,53.42
SUMATERA SELATAN,BERAS SPHP,rice,8011300000.0,10878530800.0,73.64
SUMATERA UTARA,BERAS SPHP,rice,5981033500.0,9731997900.0,61.46
BANTEN,MINYAK GORENG,cooking_oil,6556444800.0,7486498367.0,87.58
LAMPUNG,Pupuk NPK Phonska,fertilizer,3621813680.0,6752593880.0,53.64
KALIMANTAN BARAT,BERAS SPHP,rice,3919405000.0,5354937081.0,73.19
KALIMANTAN TENGAH,MINYAK GORENG,cooking_oil,2137348558.6,4829016018.6,44.26
DKI JAKARTA,MINYAK GORENG,cooking_oil,2951910000.0,4680118400.0,63.07
NUSA TENGGARA TIMUR,BUAH ANGGUR,other,628880000.0,3892873000.0,16.15
SUMATERA BARAT,MINYAK GORENG,cooking_oil,2110657600.0,3506534660.0,60.19
KALIMANTAN TIMUR,BERAS SPHP,rice,1502674000.0,2166739789.0,69.35
KALIMANTAN SELATAN,Pupuk NPK Phonska,fertilizer,951210080.0,1717605580.0,55.38
BALI,BARANG LAINNYA,other,412847919.81,1259648261.71,32.77
KALIMANTAN UTARA,BARANG LAINNYA,other,921398000.0,1231127000.0,74.84
SULAWESI SELATAN,Pupuk NPK Phonska,fertilizer,382812000.0,1138016100.0,33.64
DAERAH ISTIMEWA YOGYAKARTA,Pupuk NPK Phonska,fertilizer,588483520.0,1087498440.0,54.11
ACEH,Pupuk NPK Phonska,fertilizer,180358640.0,510344540.0,35.34
NUSA TENGGARA BARAT,BARANG LAINNYA,other,278065800.0,372045050.0,74.74
BENGKULU,Pupuk NPK Phonska,fertilizer,178750480.0,306708880.0,58.28
PAPUA,Pupuk NPK Phonska,fertilizer,149684000.0,289781600.0,51.65
SULAWESI UTARA,BARANG LAINNYA,other,176748900.0,232867000.0,75.9
MALUKU,Pupuk NPK Phonska,fertilizer,118503360.0,196965360.0,60.16
SULAWESI TENGAH,Pupuk NPK Formula Khusus,fertilizer,119196000.0,155493760.0,76.66
PAPUA BARAT,Pupuk NPK Phonska,fertilizer,63848000.0,108326000.0,58.94
RIAU,Pupuk NPK Phonska,fertilizer,18400000.0,89912000.0,20.46
SULAWESI BARAT,GAS LPG 3 KG,lpg,41900500.0,81520868.0,51.4
GORONTALO,BERAS,rice,28085000.0,66207250.0,42.42
JAMBI,Pupuk NPK Phonska,fertilizer,13248000.0,44422200.0,29.82
MALUKU UTARA,BARANG LAINNYA,other,29805000.0,29805000.0,100.0
SULAWESI TENGGARA,BERAS MEDIUM SPHP 5 KG,rice,14454000.0,25220100.0,57.31
KEPULAUAN BANGKA BELITUNG,Pupuk NPK Phonska,fertilizer,414000.0,414000.0,100.0
