province,cooperatives,npwp,nib,pct_npwp,pct_nib
DKI JAKARTA,269,267,267,99.26,99.26
KEPULAUAN BANGKA BELITUNG,394,393,385,99.75,97.72
JAWA TENGAH,8524,8523,8153,99.99,95.65
JAWA TIMUR,8494,8494,7882,100.0,92.79
DAERAH ISTIMEWA YOGYAKARTA,438,438,403,100.0,92.01
SUMATERA BARAT,1270,1270,1149,100.0,90.47
JAWA BARAT,5970,5964,5264,99.9,88.17
GORONTALO,731,731,637,100.0,87.14
BANTEN,1553,1552,1341,99.94,86.35
NUSA TENGGARA BARAT,1172,1170,985,99.83,84.04
KALIMANTAN SELATAN,2013,2013,1652,100.0,82.07
SULAWESI SELATAN,3081,3074,2517,99.77,81.69
SUMATERA SELATAN,3265,3262,2655,99.91,81.32
LAMPUNG,2651,2651,2107,100.0,79.48
SUMATERA UTARA,6102,6054,4818,99.21,78.96
SULAWESI BARAT,648,648,510,100.0,78.7
KALIMANTAN UTARA,411,411,311,100.0,75.67
KEPULAUAN RIAU,407,407,305,100.0,74.94
BALI,718,716,497,99.72,69.22
SULAWESI TENGGARA,2273,2270,1556,99.87,68.46
KALIMANTAN TIMUR,1037,1036,707,99.9,68.18
ACEH,6535,6529,4449,99.91,68.08
JAMBI,1591,1586,1059,99.69,66.56
BENGKULU,1508,1506,1002,99.87,66.45
KALIMANTAN BARAT,2156,2151,1406,99.77,65.21
SULAWESI TENGAH,1983,1982,1284,99.95,64.75
NUSA TENGGARA TIMUR,3452,3451,2219,99.97,64.28
SULAWESI UTARA,1839,1838,1145,99.95,62.26
RIAU,1866,1864,1109,99.89,59.43
MALUKU,1236,1236,682,100.0,55.18
MALUKU UTARA,1191,1187,616,99.66,51.72
KALIMANTAN TENGAH,1543,1543,741,100.0,48.02
PAPUA,985,881,256,89.44,25.99
PAPUA BARAT,826,668,210,80.87,25.42
PAPUA BARAT DAYA,1024,956,209,93.36,20.41
PAPUA TENGAH,1200,1041,143,86.75,11.92
PAPUA SELATAN,639,259,41,40.53,6.42
PAPUA PEGUNUNGAN,2386,954,134,39.98,5.62
