province,cooperatives,with_stage,pct_with_stage,pct_build_ge76,pct_build_100,transaction_value,tx_per_coop
ACEH,6534,1816,27.79,18.55,10.28,514347785,78719.0
BALI,718,138,19.22,15.18,12.12,3468041262,4830141.0
BANTEN,1553,737,47.46,33.68,23.44,7534602907,4851644.0
BENGKULU,1508,771,51.13,33.75,30.24,306708880,203388.0
DAERAH ISTIMEWA YOGYAKARTA,438,191,43.61,21.69,15.98,1087498440,2482873.0
DKI JAKARTA,268,9,3.36,2.61,2.61,4687059659,17489029.0
GORONTALO,731,252,34.47,22.98,18.06,66207250,90571.0
JAMBI,1591,849,53.36,27.4,21.62,44408200,27912.0
JAWA BARAT,5970,3468,58.09,39.4,28.61,15947199949,2671223.0
JAWA TENGAH,8524,6296,73.86,66.8,59.53,22137354588,2597062.0
JAWA TIMUR,8494,6552,77.14,66.32,59.1,70537349380,8304374.0
KALIMANTAN BARAT,2156,695,32.24,23.38,17.63,5354937095,2483737.0
KALIMANTAN SELATAN,2013,565,28.07,15.75,12.37,1721624580,855253.0
KALIMANTAN TENGAH,1543,484,31.37,11.54,6.68,4910963960,3182737.0
KALIMANTAN TIMUR,1037,503,48.51,33.85,24.01,2167991689,2090638.0
KALIMANTAN UTARA,411,124,30.17,11.92,8.03,1231127000,2995443.0
KEPULAUAN BANGKA BELITUNG,393,281,71.5,52.67,40.46,414000,1053.0
KEPULAUAN RIAU,407,204,50.12,25.8,19.16,0,0.0
LAMPUNG,2651,1525,57.53,44.1,31.87,6754111880,2547760.0
MALUKU,1236,433,35.03,6.31,4.13,1059941860,857558.0
MALUKU UTARA,1191,154,12.93,2.6,1.09,29805000,25025.0
NUSA TENGGARA BARAT,1172,549,46.84,17.58,11.77,2859815454,2440116.0
NUSA TENGGARA TIMUR,3452,1867,54.08,11.07,7.39,9793401468,2837022.0
PAPUA,985,25,2.54,1.02,0.71,308585400,313285.0
PAPUA BARAT,826,130,15.74,7.51,3.87,176148000,213254.0
PAPUA BARAT DAYA,1024,19,1.86,0.88,0.29,318585000,311118.0
PAPUA PEGUNUNGAN,2387,1,0.04,0.0,0.0,23200000,9719.0
PAPUA SELATAN,638,32,5.02,1.88,0.63,99590000,156097.0
PAPUA TENGAH,1202,17,1.41,0.58,0.08,208800000,173710.0
RIAU,1866,1090,58.41,33.71,24.71,89912000,48184.0
SULAWESI BARAT,648,476,73.46,39.97,34.1,423238560,653146.0
SULAWESI SELATAN,3080,1136,36.88,25.71,20.58,9693759870,3147325.0
SULAWESI TENGAH,1983,777,39.18,13.46,10.34,254240760,128210.0
SULAWESI TENGGARA,2273,863,37.97,17.2,13.07,3859632800,1698035.0
SULAWESI UTARA,1839,275,14.95,5.93,3.43,779945000,424114.0
SUMATERA BARAT,1270,323,25.43,16.3,12.52,3535170860,2783599.0
SUMATERA SELATAN,3265,1960,60.03,42.85,21.93,10883491900,3333382.0
SUMATERA UTARA,6102,2418,39.63,23.45,15.26,9733795900,1595181.0
