province_id,province,cooperatives,rat_count,transaction_value,rat_pct,tx_per_coop
11,DKI JAKARTA,268,266,4687059659,99.3,17489029.0
3,SUMATERA BARAT,1270,1256,3535170860,98.9,2783599.0
14,DAERAH ISTIMEWA YOGYAKARTA,438,398,1087498440,90.9,2482873.0
17,BALI,718,642,3468041262,89.4,4830141.0
30,SULAWESI BARAT,648,547,423238560,84.4,653146.0
9,KEPULAUAN BANGKA BELITUNG,393,324,414000,82.4,1053.0
22,KALIMANTAN SELATAN,2013,1651,1721624580,82.0,855253.0
13,JAWA TENGAH,8524,6832,22137354588,80.2,2597062.0
18,NUSA TENGGARA BARAT,1172,893,2859815454,76.2,2440116.0
15,JAWA TIMUR,8494,6367,70537349380,75.0,8304374.0
6,SUMATERA SELATAN,3265,2433,10883491900,74.5,3333382.0
27,SULAWESI SELATAN,3080,2242,9693759870,72.8,3147325.0
1,ACEH,6534,4472,514347785,68.4,78719.0
8,LAMPUNG,2651,1791,6754111880,67.6,2547760.0
25,SULAWESI UTARA,1839,1160,779945000,63.1,424114.0
26,SULAWESI TENGAH,1983,1245,254240760,62.8,128210.0
7,BENGKULU,1508,900,306708880,59.7,203388.0
19,NUSA TENGGARA TIMUR,3452,2053,9793401468,59.5,2837022.0
29,GORONTALO,731,431,66207250,59.0,90571.0
12,JAWA BARAT,5970,3508,15947199949,58.8,2671223.0
4,RIAU,1866,1065,89912000,57.1,48184.0
23,KALIMANTAN TIMUR,1037,564,2167991689,54.4,2090638.0
5,JAMBI,1591,812,44408200,51.0,27912.0
28,SULAWESI TENGGARA,2273,1125,3859632800,49.5,1698035.0
16,BANTEN,1553,758,7534602907,48.8,4851644.0
24,KALIMANTAN UTARA,411,195,1231127000,47.4,2995443.0
31,MALUKU,1236,576,1059941860,46.6,857558.0
2,SUMATERA UTARA,6102,2731,9733795900,44.8,1595181.0
10,KEPULAUAN RIAU,407,181,0,44.5,0.0
33,PAPUA,985,373,308585400,37.9,313285.0
34,PAPUA BARAT,826,274,176148000,33.2,213254.0
21,KALIMANTAN TENGAH,1543,465,4910963960,30.1,3182737.0
20,KALIMANTAN BARAT,2156,646,5354937095,30.0,2483737.0
32,MALUKU UTARA,1191,280,29805000,23.5,25025.0
36,PAPUA TENGAH,1202,279,208800000,23.2,173710.0
38,PAPUA BARAT DAYA,1024,218,318585000,21.3,311118.0
35,PAPUA SELATAN,638,102,99590000,16.0,156097.0
37,PAPUA PEGUNUNGAN,2387,145,23200000,6.1,9719.0
