province,cooperatives,no_building_5km,pct_no_building_5km
ACEH,6534,18.0,0.28
BALI,718,,
BANTEN,1553,,
BENGKULU,1508,1.0,0.07
DAERAH ISTIMEWA YOGYAKARTA,438,,
DKI JAKARTA,268,,
GORONTALO,731,,
JAMBI,1591,4.0,0.25
JAWA BARAT,5970,,
JAWA TENGAH,8524,,
JAWA TIMUR,8494,,
KALIMANTAN BARAT,2156,18.0,0.83
KALIMANTAN SELATAN,2013,5.0,0.25
KALIMANTAN TENGAH,1543,20.0,1.3
KALIMANTAN TIMUR,1037,15.0,1.45
KALIMANTAN UTARA,411,30.0,7.3
KEPULAUAN BANGKA BELITUNG,393,,
KEPULAUAN RIAU,407,1.0,0.25
LAMPUNG,2651,,
MALUKU,1236,5.0,0.4
MALUKU UTARA,1191,2.0,0.17
NUSA TENGGARA BARAT,1172,1.0,0.09
NUSA TENGGARA TIMUR,3452,1.0,0.03
PAPUA,985,70.0,7.11
PAPUA BARAT,826,29.0,3.51
PAPUA BARAT DAYA,1024,15.0,1.46
PAPUA PEGUNUNGAN,2387,400.0,16.76
PAPUA SELATAN,638,161.0,25.24
PAPUA TENGAH,1202,148.0,12.31
RIAU,1866,5.0,0.27
SULAWESI BARAT,648,2.0,0.31
SULAWESI SELATAN,3080,11.0,0.36
SULAWESI TENGAH,1983,9.0,0.45
SULAWESI TENGGARA,2273,7.0,0.31
SULAWESI UTARA,1839,2.0,0.11
SUMATERA BARAT,1270,1.0,0.08
SUMATERA SELATAN,3265,6.0,0.18
SUMATERA UTARA,6102,4.0,0.07
