cooperative_id,name,province,district,subdistrict,latitude,longitude,building_band
84,KOPERASI DESA MERAH PUTIH SUMBERKOLAK,JAWA TIMUR,KAB. SITUBONDO,Panarukan,-6.2,106.8,on a building cell (<70 m)
5579,KOPERASI DESA MERAH PUTIH ALASMALANG KECAMATAN PANARUKAN,JAWA TIMUR,KAB. SITUBONDO,Panarukan,-7.68790078,113.9906195,> ~5 km / none found
6284,KOPERASI DESA MERAH PUTIH DUWET KECAMATAN PANARUKAN,JAWA TIMUR,KAB. SITUBONDO,Panarukan,-7.64925,113.984515,on a building cell (<70 m)
6712,KOPERASI DESA MERAH PUTIH KILENSARI,JAWA TIMUR,KAB. SITUBONDO,Panarukan,-7.703407,113.945125,on a building cell (<70 m)
12829,KOPERASI DESA MERAH PUTIH WRINGINANOM PANARUKAN,JAWA TIMUR,KAB. SITUBONDO,Panarukan,-7.69800869,113.966255,> ~5 km / none found
13089,KOPERASI DESA MERAH PUTIH PELEYAN,JAWA TIMUR,KAB. SITUBONDO,Panarukan,-7.68114321,113.965576,< ~530 m
48177,KOPERASI DESA MERAH PUTIH GELUNG,JAWA TIMUR,KAB. SITUBONDO,Panarukan,-7.64501373,113.9996953,< ~530 m
57894,KOPERASI DESA MERAH PUTIH PAOWAN,JAWA TIMUR,KAB. SITUBONDO,Panarukan,-7.7195772,113.9610898,< ~260 m
94,KOPERASI DESA MERAH PUTIH CURAH COTTOK KECAMATAN KAPONGAN,JAWA TIMUR,KAB. SITUBONDO,Kapongan,-7.72182001,114.0636097,> ~5 km / none found
10016,KOPERASI DESA MERAH PUTIH KAPONGAN,JAWA TIMUR,KAB. SITUBONDO,Kapongan,-7.69394236,114.0712405,< ~260 m
16895,KOPERASI DESA MERAH PUTIH GEBANGAN,JAWA TIMUR,KAB. SITUBONDO,Kapongan,-7.67860014,114.0602458,> ~5 km / none found
19092,KOPERASI DESA MERAH PUTIH POKAAN,JAWA TIMUR,KAB. SITUBONDO,Kapongan,-7.6642955,114.0604274,on a building cell (<70 m)
19873,KOPERASI DESA MERAH PUTIH PELEYAN KECAMATAN KAPONGAN,JAWA TIMUR,KAB. SITUBONDO,Kapongan,-7.71412201,114.0745319,on a building cell (<70 m)
25115,KOPERASI DESA MERAH PUTIH KESAMBIRAMPAK,JAWA TIMUR,KAB. SITUBONDO,Kapongan,-7.68924037,114.0574515,< ~260 m
28722,KOPERASI DESA MERAH PUTIH KANDANG KECAMATAN KAPONGAN,JAWA TIMUR,KAB. SITUBONDO,Kapongan,-7.74239137,114.0779495,> ~5 km / none found
31638,KOPERASI DESA MERAH PUTIH SELETRENG,JAWA TIMUR,KAB. SITUBONDO,Kapongan,-7.71579442,114.1017637,< ~260 m
40173,KOPERASI DESA MERAH PUTIH LANDANGAN,JAWA TIMUR,KAB. SITUBONDO,Kapongan,-7.68164193,114.0790656,> ~5 km / none found
40405,KOPERASI DESA MERAH PUTIH WONOKOYO KECAMATAN KAPONGAN,JAWA TIMUR,KAB. SITUBONDO,Kapongan,-7.7135895,114.0802281,on a building cell (<70 m)
523,KOPERASI DESA MERAH PUTIH KALIMAS KECAMATAN BESUKI,JAWA TIMUR,KAB. SITUBONDO,Besuki,-7.73847101,113.7006374,on a building cell (<70 m)
1588,KOPERASI DESA MERAH PUTIH DEMUNG,JAWA TIMUR,KAB. SITUBONDO,Besuki,-7.72569362,113.7068274,> ~5 km / none found
1746,KOPERASI DESA MERAH PUTIH WIDOROPAYUNG,JAWA TIMUR,KAB. SITUBONDO,Besuki,-7.77771503,113.7102384,on a building cell (<70 m)
3730,KOPERASI DESA MERAH PUTIH PESISIR KECAMATAN BESUKI,JAWA TIMUR,KAB. SITUBONDO,Besuki,-7.72743045,113.6870146,on a building cell (<70 m)
3771,KOPERASI DESA MERAH PUTIH BLIMBING KECAMATAN BESUKI,JAWA TIMUR,KAB. SITUBONDO,Besuki,-7.76196048,113.6972241,> ~5 km / none found
3886,KOPERASI DESA MERAH PUTIH JETIS KECAMATAN BESUKI,JAWA TIMUR,KAB. SITUBONDO,Besuki,-7.75764238,113.7090438,on a building cell (<70 m)
4139,KOPERASI DESA MERAH PUTIH BESUKI KECAMATAN BESUKI,JAWA TIMUR,KAB. SITUBONDO,Besuki,-7.73296948,113.6932502,on a building cell (<70 m)
14941,KOPERASI DESA MERAH PUTIH BLORO,JAWA TIMUR,KAB. SITUBONDO,Besuki,-7.75701412,113.683425,< ~530 m
16959,KOPERASI DESA MERAH PUTIH SUMBEREJO KECAMATAN BESUKI,JAWA TIMUR,KAB. SITUBONDO,Besuki,-7.78256134,113.7219913,> ~5 km / none found
22369,KOPERASI DESA MERAH PUTIH LANGKAP KECAMATAN BESUKI,JAWA TIMUR,KAB. SITUBONDO,Besuki,-7.745728,113.691012,on a building cell (<70 m)
920,KOPERASI KELURAHAN MERAH PUTIH MIMBAAN,JAWA TIMUR,KAB. SITUBONDO,Panji,-7.70790508,114.0259705,on a building cell (<70 m)
4103,KOPERASI KELURAHAN MERAH PUTIH ARDIREJO PANJI SITUBONDO,JAWA TIMUR,KAB. SITUBONDO,Panji,-7.722992,114.017831,on a building cell (<70 m)
6601,KOPERASI DESA MERAH PUTIH TENGGIR,JAWA TIMUR,KAB. SITUBONDO,Panji,-7.673766,114.026737,< ~260 m
9284,KOPERASI DESA MERAH PUTIH PANJI KIDUL,JAWA TIMUR,KAB. SITUBONDO,Panji,-7.71932746,114.0428532,> ~5 km / none found
9292,KOPERASI DESA MERAH PUTIH KAYUPUTIH KECAMATAN PANJI,JAWA TIMUR,KAB. SITUBONDO,Panji,-7.660582,114.024133,on a building cell (<70 m)
20755,KOPERASI DESA MERAH PUTIH JUGLANGAN,JAWA TIMUR,KAB. SITUBONDO,Panji,-7.71527744,114.0576568,on a building cell (<70 m)
22030,KOPERASI DESA MERAH PUTIH CURAH JERU,JAWA TIMUR,KAB. SITUBONDO,Panji,-7.693394,114.032891,on a building cell (<70 m)
34109,KOPERASI DESA MERAH PUTIH SLIWUNG,JAWA TIMUR,KAB. SITUBONDO,Panji,-7.74903848,114.0200803,> ~5 km / none found
37687,KOPERASI DESA MERAH PUTIH KLAMPOKAN,JAWA TIMUR,KAB. SITUBONDO,Panji,-7.7433396,114.0508579,> ~5 km / none found
41212,KOPERASI DESA MERAH PUTIH BATTAL,JAWA TIMUR,KAB. SITUBONDO,Panji,-7.74626871,114.0369572,> ~5 km / none found
47991,KOPERASI DESA MERAH PUTIH TOKELAN,JAWA TIMUR,KAB. SITUBONDO,Panji,-7.68579877,114.040027,> ~5 km / none found
63520,KOPERASI DESA MERAH PUTIH PANJI LOR KECAMATAN PANJI,JAWA TIMUR,KAB. SITUBONDO,Panji,-7.69948697,114.0480616,< ~530 m
1503,KOPERASI DESA MERAH PUTIH TEPOS,JAWA TIMUR,KAB. SITUBONDO,Banyuglugur,-7.77882965,113.6097813,> ~5 km / none found
16983,KOPERASI DESA MERAH PUTIH BANYUGLUGUR,JAWA TIMUR,KAB. SITUBONDO,Banyuglugur,-7.73128974,113.6107615,> ~5 km / none found
18980,KOPERASI DESA MERAH PUTIH TELEMPONG,JAWA TIMUR,KAB. SITUBONDO,Banyuglugur,-7.75182744,113.62468,< ~260 m
19044,KOPERASI DESA MERAH PUTIH SELOBANTENG,JAWA TIMUR,KAB. SITUBONDO,Banyuglugur,-7.7511895,113.5927804,on a building cell (<70 m)
19836,KOPERASI DESA MERAH PUTIH KALIANGET KECAMATAN BANYUGLUGUR,JAWA TIMUR,KAB. SITUBONDO,Banyuglugur,-7.735703,113.6796959,on a building cell (<70 m)
25057,KOPERASI DESA MERAH PUTIH KALISARI KECAMATAN BANYUGLUGUR,JAWA TIMUR,KAB. SITUBONDO,Banyuglugur,-7.77185987,113.6293979,< ~260 m
63530,KOPERASI DESA MERAH PUTIH LUBAWANG,JAWA TIMUR,KAB. SITUBONDO,Banyuglugur,-7.76534308,113.6703442,> ~5 km / none found
2501,KOPERASI DESA MERAH PUTIH KALIREJO SUMBERMALANG,JAWA TIMUR,KAB. SITUBONDO,Sumbermalang,-7.86385667,113.7121063,on a building cell (<70 m)
3497,KOPERASI DESA MERAH PUTIH PLALANGAN KECAMATAN SUMBERMALANG,JAWA TIMUR,KAB. SITUBONDO,Sumbermalang,-7.8133784,113.7048432,> ~5 km / none found
4442,KOPERASI DESA MERAH PUTIH TAMANSARI SUMBERMALANG,JAWA TIMUR,KAB. SITUBONDO,Sumbermalang,-7.83693043,113.7239935,on a building cell (<70 m)
5188,KOPERASI DESA MERAH PUTIH TAMANKURSI SUMBERMALANG,JAWA TIMUR,KAB. SITUBONDO,Sumbermalang,-7.9389051,113.6346576,> ~5 km / none found
6627,KOPERASI DESA MERAH PUTIH TLOGOSARI SUMBERMALANG,JAWA TIMUR,KAB. SITUBONDO,Sumbermalang,-7.84839483,113.7055576,on a building cell (<70 m)
13802,KOPERASI DESA MERAH PUTIH BADERAN,JAWA TIMUR,KAB. SITUBONDO,Sumbermalang,-7.91694349,113.6393024,> ~5 km / none found
14688,KOPERASI DESA MERAH PUTIH ALASTENGAH,JAWA TIMUR,KAB. SITUBONDO,Sumbermalang,-7.88456468,113.6576076,> ~5 km / none found
19100,KOPERASI DESA MERAH PUTIH TAMAN KECAMATAN SUMBERMALANG,JAWA TIMUR,KAB. SITUBONDO,Sumbermalang,-7.83898441,113.6939933,on a building cell (<70 m)
22524,KOPERASI DESA MERAH PUTIH SUMBERARGO KECAMATAN SUMBERMALANG,JAWA TIMUR,KAB. SITUBONDO,Sumbermalang,-7.87675766,113.7124605,> ~5 km / none found
3366,KOPERASI DESA MERAH PUTIH SUBOH,JAWA TIMUR,KAB. SITUBONDO,Suboh,-7.7557774,113.7279801,on a building cell (<70 m)
3966,KOPERASI DESA MERAH PUTIH KETAH,JAWA TIMUR,KAB. SITUBONDO,Suboh,-7.73252098,113.7180431,> ~5 km / none found
4071,KOPERASI DESA MERAH PUTIH BUDUAN,JAWA TIMUR,KAB. SITUBONDO,Suboh,-7.7364714,113.7265903,on a building cell (<70 m)
4774,KOPERASI DESA MERAH PUTIH GUNUNG PUTRI KECAMATAN SUBOH,JAWA TIMUR,KAB. SITUBONDO,Suboh,-7.77898483,113.7449644,> ~5 km / none found
4835,KOPERASI DESA MERAH PUTIH GUNUNG MALANG KECAMATAN SUBOH,JAWA TIMUR,KAB. SITUBONDO,Suboh,-7.7769334,113.7316587,on a building cell (<70 m)
14566,KOPERASI DESA MERAH PUTIH MOJODUNGKOL,JAWA TIMUR,KAB. SITUBONDO,Suboh,-7.80265751,113.7321321,on a building cell (<70 m)
14748,KOPERASI DESA MERAH PUTIH DAWUAN,JAWA TIMUR,KAB. SITUBONDO,Suboh,-7.75900181,113.7220672,< ~260 m
