province_id,province,island,cooperatives,health_total_cooperative,scored_share,healthy_count,fairly_healthy_count,unhealthy_count,unhealthy_share_of_scored,average_health_index,health_score,health_status,rat_share,nib_share,tx_per_coop,savings_per_coop
11,DKI JAKARTA,Jawa,268,212,0.7910447761194029,16,35,161,0.7594339622641509,57,30,unhealthy,0.9925373134328358,0.996268656716418,17489028.57835821,1965279.8507462686
14,DAERAH ISTIMEWA YOGYAKARTA,Jawa,438,285,0.6506849315068494,14,45,226,0.7929824561403509,56,30,unhealthy,0.908675799086758,0.9200913242009132,2482873.1506849313,1256497.7168949773
17,BALI,BaliNusa,718,411,0.5724233983286908,14,50,347,0.8442822384428224,55,30,unhealthy,0.8941504178272981,0.6935933147632312,4830141.033426184,1944771.5877437326
15,JAWA TIMUR,Jawa,8494,4686,0.551683541323287,102,365,4219,0.9003414425949637,55,30,unhealthy,0.7495879444313633,0.9281846008947492,8304373.602542971,537959.5125971274
12,JAWA BARAT,Jawa,5970,2380,0.39865996649916247,148,267,1965,0.8256302521008403,55,30,unhealthy,0.5876046901172529,0.8817420435510888,2671222.7720268006,1089373.8055276382
13,JAWA TENGAH,Jawa,8524,5727,0.6718676677616142,110,534,5083,0.8875502008032129,55,30,unhealthy,0.8015016424213984,0.9564758329422807,2597061.777099953,692578.2977475363
3,SUMATERA BARAT,Sumatera,1270,793,0.6244094488188976,13,37,743,0.9369482976040353,55,30,unhealthy,0.988976377952756,0.9047244094488189,2783599.102362205,552208.7401574804
6,SUMATERA SELATAN,Sumatera,3265,1344,0.4116385911179173,29,110,1205,0.8965773809523809,54,30,unhealthy,0.7451761102603369,0.8131699846860643,3333381.8989280243,367354.2661562021
16,BANTEN,Jawa,1553,750,0.48293625241468124,25,58,667,0.8893333333333333,54,30,unhealthy,0.4880875724404379,0.8641339343206696,4851643.855119124,1990340.6439150032
27,SULAWESI SELATAN,Sulawesi,3080,1111,0.3607142857142857,33,55,1023,0.9207920792079208,54,30,unhealthy,0.727922077922078,0.8172077922077922,3147324.633116883,345655.87012987013
8,LAMPUNG,Sumatera,2651,1340,0.5054696341003395,17,69,1254,0.935820895522388,54,30,unhealthy,0.6755941154281403,0.7947944172010563,2547760.045265937,572440.2493398717
18,NUSA TENGGARA BARAT,BaliNusa,1172,610,0.5204778156996587,10,37,563,0.9229508196721311,54,30,unhealthy,0.7619453924914675,0.840443686006826,2440115.5750853242,843688.1228668942
9,KEPULAUAN BANGKA BELITUNG,Sumatera,393,176,0.44783715012722647,4,4,168,0.9545454545454546,54,30,unhealthy,0.8244274809160306,0.9796437659033079,1053.4351145038167,252366.99745547073
22,KALIMANTAN SELATAN,Kalimantan,2013,892,0.4431197218082464,18,17,857,0.9607623318385651,54,30,unhealthy,0.8201689021361153,0.8206656731246895,855253.1445603577,1583619.0312965722
19,NUSA TENGGARA TIMUR,BaliNusa,3452,1474,0.42699884125144844,25,59,1390,0.9430122116689281,54,30,unhealthy,0.5947276940903824,0.6428157589803013,2837022.441483198,671750.991599073
1,ACEH,Sumatera,6534,2092,0.320171411080502,17,117,1958,0.9359464627151052,53,30,unhealthy,0.6844199571472299,0.6812059993878176,78718.669268442,66163.03336394245
25,SULAWESI UTARA,Sulawesi,1839,464,0.2523110386079391,17,23,424,0.9137931034482759,53,30,unhealthy,0.6307775965198478,0.622620989668298,424113.6487221316,276985.7476889614
30,SULAWESI BARAT,Sulawesi,648,275,0.4243827160493827,3,8,264,0.96,53,30,unhealthy,0.8441358024691358,0.7870370370370371,653145.925925926,382847.31481481483
10,KEPULAUAN RIAU,Sumatera,407,80,0.19656019656019655,1,6,73,0.9125,53,30,unhealthy,0.44471744471744473,0.7493857493857494,0.0,275724.8157248157
23,KALIMANTAN TIMUR,Kalimantan,1037,376,0.36258437801350046,6,16,354,0.9414893617021277,53,30,unhealthy,0.5438765670202508,0.6817743490838959,2090638.080038573,505811.95756991324
5,JAMBI,Sumatera,1591,543,0.34129478315524825,4,24,515,0.9484346224677717,53,30,unhealthy,0.5103708359522313,0.6656191074795726,27912.13073538655,386814.58202388434
29,GORONTALO,Sulawesi,731,311,0.42544459644322846,3,6,302,0.9710610932475884,53,30,unhealthy,0.5896032831737346,0.8714090287277702,90570.79343365254,291354.34336525307
26,SULAWESI TENGAH,Sulawesi,1983,383,0.19314170448814927,4,4,375,0.97911227154047,53,30,unhealthy,0.6278366111951589,0.6475037821482602,128210.16641452345,204541.53303076146
37,PAPUA PEGUNUNGAN,MalukuPapua,2387,16,0.006702974444909929,1,1,14,0.875,53,30,unhealthy,0.06074570590699623,0.056137410976120655,9719.312945119396,75.4084625052367
28,SULAWESI TENGGARA,Sulawesi,2273,540,0.23757149142102948,9,20,511,0.9462962962962963,53,30,unhealthy,0.4949406071271447,0.6845578530576331,1698034.6678398591,347494.1179058513
7,BENGKULU,Sumatera,1508,467,0.3096816976127321,2,5,460,0.9850107066381156,52,30,unhealthy,0.596816976127321,0.6644562334217506,203387.85145888594,136460.66644562336
20,KALIMANTAN BARAT,Kalimantan,2156,277,0.1284786641929499,9,4,264,0.9530685920577617,52,30,unhealthy,0.29962894248608535,0.6521335807050093,2483737.0570500926,188736.11781076065
38,PAPUA BARAT DAYA,MalukuPapua,1024,118,0.115234375,1,1,116,0.9830508474576272,52,30,unhealthy,0.212890625,0.2041015625,311118.1640625,21563.4765625
24,KALIMANTAN UTARA,Kalimantan,411,115,0.2798053527980535,0,7,108,0.9391304347826087,52,30,unhealthy,0.4744525547445255,0.7566909975669099,2995442.8223844282,139052.1897810219
32,MALUKU UTARA,MalukuPapua,1191,87,0.07304785894206549,1,3,83,0.9540229885057471,52,30,unhealthy,0.23509655751469352,0.5172124265323258,25025.188916876574,160948.7825356843
36,PAPUA TENGAH,MalukuPapua,1202,51,0.042429284525790346,3,3,45,0.8823529411764706,52,30,unhealthy,0.23211314475873543,0.11896838602329451,173710.48252911813,12217.138103161398
2,SUMATERA UTARA,Sumatera,6102,1742,0.28548017043592266,17,68,1657,0.9512055109070034,52,30,unhealthy,0.4475581776466732,0.7897410685021304,1595181.2356604391,113715.72844968863
33,PAPUA,MalukuPapua,985,134,0.13604060913705585,7,2,125,0.9328358208955224,52,30,unhealthy,0.3786802030456853,0.2598984771573604,313284.67005076143,70116.80203045685
4,RIAU,Sumatera,1866,492,0.26366559485530544,4,12,476,0.967479674796748,52,30,unhealthy,0.5707395498392283,0.594855305466238,48184.35155412647,402608.77706323686
31,MALUKU,MalukuPapua,1236,175,0.14158576051779936,1,6,168,0.96,51,30,unhealthy,0.46601941747572817,0.551779935275081,857558.139158576,59101.94174757282
21,KALIMANTAN TENGAH,Kalimantan,1543,157,0.101749837977965,1,5,151,0.9617834394904459,51,30,unhealthy,0.3013609850939728,0.48023331173039535,3182737.4983797795,241957.22618276085
34,PAPUA BARAT,MalukuPapua,826,231,0.2796610169491525,7,5,219,0.948051948051948,51,30,unhealthy,0.33171912832929784,0.2542372881355932,213254.2372881356,15841.404358353511
35,PAPUA SELATAN,MalukuPapua,638,37,0.05799373040752351,1,1,35,0.9459459459459459,50,30,unhealthy,0.15987460815047022,0.06426332288401254,156097.17868338557,4592.476489028213
