cooperative_id,landcover_code,landcover
84,50,Built-up
5579,40,Cropland
6284,10,Tree cover
6712,40,Cropland
12829,10,Tree cover
13089,40,Cropland
48177,40,Cropland
57894,40,Cropland
94,40,Cropland
10016,40,Cropland
16895,10,Tree cover
19092,50,Built-up
19873,50,Built-up
25115,40,Cropland
28722,40,Cropland
31638,30,Grassland
40173,40,Cropland
40405,10,Tree cover
523,10,Tree cover
1588,40,Cropland
1746,50,Built-up
3730,50,Built-up
3771,10,Tree cover
3886,10,Tree cover
4139,10,Tree cover
14941,40,Cropland
16959,10,Tree cover
22369,30,Grassland
920,50,Built-up
4103,10,Tree cover
6601,40,Cropland
9284,10,Tree cover
9292,50,Built-up
20755,10,Tree cover
22030,50,Built-up
34109,40,Cropland
37687,10,Tree cover
41212,10,Tree cover
47991,40,Cropland
63520,40,Cropland
1503,10,Tree cover
16983,10,Tree cover
18980,10,Tree cover
19044,10,Tree cover
19836,50,Built-up
25057,10,Tree cover
63530,10,Tree cover
2501,10,Tree cover
3497,40,Cropland
4442,10,Tree cover
5188,10,Tree cover
6627,10,Tree cover
13802,10,Tree cover
14688,10,Tree cover
19100,10,Tree cover
22524,10,Tree cover
3366,50,Built-up
3966,40,Cropland
4071,50,Built-up
4774,10,Tree cover
4835,10,Tree cover
14566,10,Tree cover
14748,40,Cropland
22497,10,Tree cover
5202,10,Tree cover
9931,10,Tree cover
11824,10,Tree cover
12107,50,Built-up
13115,10,Tree cover
64251,10,Tree cover
66623,10,Tree cover
7706,40,Cropland
9195,50,Built-up
10457,50,Built-up
12087,50,Built-up
27182,40,Cropland
55062,50,Built-up
12195,10,Tree cover
15178,10,Tree cover
27194,10,Tree cover
28546,10,Tree cover
48557,10,Tree cover
53186,10,Tree cover
70872,10,Tree cover
77477,10,Tree cover
12344,30,Grassland
24046,10,Tree cover
25236,10,Tree cover
29449,40,Cropland
30975,10,Tree cover
31529,10,Tree cover
65619,10,Tree cover
66175,40,Cropland
12448,50,Built-up
14743,50,Built-up
18649,10,Tree cover
25049,40,Cropland
40737,30,Grassland
14175,40,Cropland
36316,10,Tree cover
50158,10,Tree cover
53076,10,Tree cover
73761,10,Tree cover
79856,10,Tree cover
81135,40,Cropland
17631,10,Tree cover
17833,10,Tree cover
17888,10,Tree cover
18054,40,Cropland
18106,40,Cropland
21737,40,Cropland
21967,40,Cropland
27165,40,Cropland
28713,50,Built-up
65334,40,Cropland
25154,40,Cropland
39292,10,Tree cover
68509,10,Tree cover
69170,10,Tree cover
83661,10,Tree cover
83732,30,Grassland
83796,10,Tree cover
36458,40,Cropland
38711,10,Tree cover
42146,40,Cropland
43148,40,Cropland
61070,40,Cropland
62788,50,Built-up
65254,30,Grassland
68258,10,Tree cover
40791,40,Cropland
41217,40,Cropland
55969,10,Tree cover
68946,50,Built-up
75471,40,Cropland
83998,40,Cropland
98,50,Built-up
28354,80,Water
40114,50,Built-up
43166,10,Tree cover
43998,50,Built-up
51003,50,Built-up
6102,50,Built-up
14817,50,Built-up
28347,50,Built-up
36467,30,Grassland
38176,50,Built-up
15353,50,Built-up
26410,10,Tree cover
30040,50,Built-up
34886,50,Built-up
39671,50,Built-up
39737,50,Built-up
17828,50,Built-up
23469,50,Built-up
28525,50,Built-up
35873,50,Built-up
50375,50,Built-up
18678,40,Cropland
31659,50,Built-up
39037,30,Grassland
46769,10,Tree cover
20923,50,Built-up
34096,50,Built-up
37191,50,Built-up
38390,50,Built-up
38945,50,Built-up
41895,50,Built-up
22535,50,Built-up
27997,50,Built-up
38967,50,Built-up
39022,50,Built-up
40432,50,Built-up
53126,50,Built-up
53181,50,Built-up
55033,50,Built-up
23044,50,Built-up
24141,50,Built-up
31898,30,Grassland
31967,90,Herbaceous wetland
23440,50,Built-up
37723,50,Built-up
37806,50,Built-up
38316,50,Built-up
38438,50,Built-up
23834,50,Built-up
27913,50,Built-up
35079,50,Built-up
40962,50,Built-up
41884,50,Built-up
41898,50,Built-up
44125,50,Built-up
24216,50,Built-up
26548,40,Cropland
37783,50,Built-up
58759,50,Built-up
26586,50,Built-up
26781,50,Built-up
29538,50,Built-up
34913,50,Built-up
26655,50,Built-up
37673,50,Built-up
37952,50,Built-up
43146,50,Built-up
49295,50,Built-up
27411,50,Built-up
28381,10,Tree cover
30599,50,Built-up
31701,50,Built-up
31854,50,Built-up
35964,50,Built-up
27604,50,Built-up
29262,80,Water
33417,50,Built-up
37099,50,Built-up
44127,50,Built-up
27952,50,Built-up
37637,40,Cropland
37803,50,Built-up
37883,50,Built-up
39681,10,Tree cover
41894,50,Built-up
28278,50,Built-up
37932,50,Built-up
39233,50,Built-up
39714,50,Built-up
41230,50,Built-up
28329,50,Built-up
37895,50,Built-up
38291,50,Built-up
39768,50,Built-up
29282,50,Built-up
30615,50,Built-up
39749,50,Built-up
41864,50,Built-up
41873,50,Built-up
53072,50,Built-up
30604,80,Water
34898,50,Built-up
38505,50,Built-up
39018,95,Mangrove
39732,10,Tree cover
49595,50,Built-up
31789,40,Cropland
35101,30,Grassland
41243,60,Bare / sparse
41846,50,Built-up
34169,50,Built-up
38230,50,Built-up
41851,30,Grassland
48362,50,Built-up
35087,10,Tree cover
39325,30,Grassland
43065,40,Cropland
47628,50,Built-up
35774,50,Built-up
35777,30,Grassland
38486,50,Built-up
39721,50,Built-up
40721,50,Built-up
37178,50,Built-up
37814,50,Built-up
40361,50,Built-up
56084,50,Built-up
37645,50,Built-up
39738,50,Built-up
39755,80,Water
50248,50,Built-up
37648,50,Built-up
39049,50,Built-up
39802,50,Built-up
43934,50,Built-up
37688,30,Grassland
37782,50,Built-up
38358,30,Grassland
48398,50,Built-up
37862,50,Built-up
38572,10,Tree cover
38602,50,Built-up
41240,50,Built-up
41868,50,Built-up
74763,50,Built-up
37935,50,Built-up
41238,50,Built-up
41888,50,Built-up
43189,50,Built-up
40716,80,Water
44803,50,Built-up
47818,50,Built-up
113,50,Built-up
115,10,Tree cover
135,50,Built-up
150,40,Cropland
167,50,Built-up
179,50,Built-up
182,50,Built-up
192,10,Tree cover
195,50,Built-up
268,50,Built-up
298,10,Tree cover
341,50,Built-up
507,50,Built-up
604,50,Built-up
717,50,Built-up
2693,50,Built-up
117,50,Built-up
138,50,Built-up
191,50,Built-up
196,50,Built-up
217,30,Grassland
248,10,Tree cover
629,50,Built-up
640,50,Built-up
645,50,Built-up
649,50,Built-up
654,50,Built-up
657,50,Built-up
662,50,Built-up
664,50,Built-up
670,10,Tree cover
767,50,Built-up
773,50,Built-up
782,50,Built-up
791,50,Built-up
914,50,Built-up
3789,50,Built-up
118,10,Tree cover
228,50,Built-up
321,50,Built-up
1083,50,Built-up
1290,10,Tree cover
1292,30,Grassland
1301,50,Built-up
1345,40,Cropland
1402,50,Built-up
1417,50,Built-up
1447,50,Built-up
1450,50,Built-up
1493,40,Cropland
1526,50,Built-up
119,50,Built-up
121,50,Built-up
137,30,Grassland
142,50,Built-up
279,50,Built-up
365,30,Grassland
602,50,Built-up
625,50,Built-up
628,40,Cropland
630,10,Tree cover
643,40,Cropland
660,40,Cropland
678,50,Built-up
681,40,Cropland
755,50,Built-up
1553,10,Tree cover
123,90,Herbaceous wetland
129,50,Built-up
146,50,Built-up
284,80,Water
357,80,Water
411,80,Water
594,80,Water
795,30,Grassland
839,80,Water
847,50,Built-up
924,40,Cropland
960,40,Cropland
1004,80,Water
1029,10,Tree cover
1036,80,Water
1628,80,Water
2253,50,Built-up
2783,50,Built-up
3032,40,Cropland
